Gender,Group,Exam_1,Midterm,Final
1,2,76.26,82.63,87.58
2,1,94.71,79.69,87.5
1,1,84.11,87.65,87.48
1,1,85.46,66.11,87.45
2,2,72.98,77.92,87.32
1,1,93.45,91.63,87.28
2,2,77.66,79.98,87.27
2,2,77.78,79.86,87.1
2,2,96.02,78.23,86.93
1,2,84.2,81.48,86.79
2,1,73.17,94.05,86.67
2,2,66.11,79.4,86.63
1,1,80.37,99.44,86.58
2,2,92.3,71.43,86.5
1,1,79.79,93.97,86.45
2,1,61.23,77.42,86.41
1,2,83.98,82.72,86.38
1,1,77.54,89.78,86.36
2,2,82.78,83.11,86.35
1,1,73.77,79.35,86.34
1,1,79.21,87.81,86.32
1,1,96.71,79.64,86.24
1,2,74.4,85.54,86.24
1,2,84.02,71.88,86.18
1,2,78.14,82.38,86.16
2,1,82.93,84.12,86.16
2,1,81.46,79.02,86.14
2,2,87.63,78.65,86.07
2,1,88.73,71.04,86.04
1,2,82.43,84.1,86.03
1,2,97.31,84.05,86
2,2,83.36,86.05,85.88
2,1,92.59,73.2,85.87
1,1,73.5,89.34,85.84
2,1,83.38,92.76,85.81
2,2,85.57,82.02,85.77
2,1,103.83,78.52,85.76
2,1,74.26,95.33,85.75
1,1,82.9,84.49,85.74
1,1,95.11,86.46,85.69
1,2,92.46,93.25,85.62
2,1,77.85,73.41,85.61
1,1,89.41,92.07,85.61
1,1,91.25,96.93,85.57
2, ,76.38,76.25,85.47
2,2,74.65,76.33,85.41
2,1,89.62,85.8,85.41
2,2,22,77.48,85.39
1,1,84.45,81.95,85.23
1,2,82.41,87.29,85.16
2,2,89.66,75.69,85.1
2,1,82.53,93.23,85.03
2,1,92.03,89.31,84.9
1,2,90.16,78.79,84.87
2,2,88.68,83.66,84.79
1,2,77.59,87.89,84.79
1,1,95.86,84.6,84.68
1,2,93.29,84.5,84.49
1,1,91.93,94.78,84.47
1,2,91.74,81.01,84.3
2,1,73.51,96.17,84.26
1,2,75.95,83.46,84.18
2,1,77.61,80.38,84.12
1,1,81.46,98.52,84.05
2,1,84.57,62.25,84.04
1,1,66.62,82.73,83.88
2,2,80.48,85.56,83.84
1,1,63.94,84.75,83.78
1,2,95.14,86.31,83.78
1,2,92.33,95.65,83.76
1,1,75.42,108.08,83.71
1,1,79.08,74.69,83.69
1,1,86.01,85.4,83.62
2,2,80.99,77.76,83.52
2,1,88.84,88.11,83.47
2,1,94.07,69.74,83.37
2,1,92.05,85.52,83.34
2,1,83.68,86.37,83.34
2,1,95.55,77.32,83.29
1,2,79.58,78.39,83.25
1,1,74.49,93.34,83.19
2,1,79.93,63.94,83.15
1,1,68.64,72.82,83.12
1,1,82.71,79.64,83.08
1,2,78.67,78.28,83.07
1,1,93.73,72.31,82.91
2,1,77.85,81.83,82.89
2,1,92.5,87.82,82.87
1,1,99.12,86.89,82.82
2,1,82.9,78.55,82.79
2,1,87.45,80.82,82.77
2,1,78.43,84.67,82.64
2,2,66.75,85.42,82.55
1,1,76.47,77.31,82.48
2,2,90.88,92.54,82.39
1,1,76.84,87.94,82.35
2,1,90.47,85.37,82.29
2,1,88.87,83,82.2
2,2,74.14,84.77,82.2
2,2,85.7,76.18,81.94
2,1,86.75,85.95,81.85
2,2,89.08,81.65,81.84
1,2,68.41,81.37,81.61
1,1,85.65,78.13,81.59
1,1,74.49,67.35,81.52
2,1,82.69,86.98,81.52
2,1,83.25,76.41,81.42
2,1,83.2,93.31,81.39
2,2,95.84,89.69,81.35
1,1,88.34,105.35,81.07
2,1,76.94,81.65,80.95
1,1,80.1,81.62,80.82
1,1,71.27,88.16,80.75
2,1,79.53,73.4,80.68
1,1,85.51,80.39,80.65
1,1,73.26,80.83,80.58
 ,1,73.74,101.36,80.57
1,1,89.22,103.42,80.56
2,1,91.12,86.63,80.55
2,1,99.47,87.06,80.53
2,1,91.47,95.86,80.38
2,1,75.26,71.85,80.25
2,1,77,72.77,80.17
1,1,81.81,84.87,80
1,1,86.89,70.67,79.92
2,1,84.13,82.19,79.76
2,1,77.99,88.06,79.7
1,1,89.42,71.39,79.61
2,1,85.39,86.73,79.57
2,1,89.45,79.96,79.5
1,2,96.85,95.84,79.48
1,2,75.48,95.98,79.45
1,1,70.74,98.67,79.23
1,1,85.67,64.72,79.21
2,1,88.06,85.09,79.18
1,1,82.83,78.61,79.07
2,1,88.67,84.05,78.84
2,1,73.64,94.44,78.75
1,1,71.7,93.49,78.55
1,1,96.01,64.18,78.52
1,1,89.21,84.66,78.45
2,1,78.36,90.01,78.43
1,1,84.82,86.25,78.24
2,1,85.72,82.72,78.07
1,1,86.49,93.82,78.03
2,1,69.46,87.51,78.02
2,1,83.58,77.72,77.98
1,1,85.22,88.87,77.95
1,1,84.89,94.89,77.78
2,1,82.15,77.67,77.72
2,1,85.77,85.75,77.7
2,1,77.26,92.73,77.67
2,1,80.38,94.53,77.55
2,1,74.23,78.51,77.52
2,1,86.14,85.98,77.43
2,1,79.54,71.44,77.19
2,1,75.19,94.14,77.19
1,1,75.08,93.95,77.16
1,1,106.46,83.04,77.15
1,1,97.38,90.22,77.13
1,1,87.43,91.92,77.04
1,1,85.66,76.7,76.89
1,1,71.45,88.59,76.89
2,1,83.02,82.78,76.84
1,1,74.22,72.2,76.79
2,2,80.87,84.49,76.57
1,1,77.65,66.08,75.97
1,1,78.6,84.42,75.93
2,1,90.43,71.23,75.78
1,1,103.04,84.53,75.71
1,1,69.57,85.43,75.7
1,1,81,90.38,75.56
2,1,77.63,92.34,75.31
1, ,68.76,81.19,75.29
1, ,97.08,82.57,75.17
1,1,80.69,96.14,75.14
2,1,84.21,58.41,75.05
2,1,83.28,93.41,74.98
2,1,85.22,81.43,74.81
1,1,75.37,72.09,74.77
1,1,90.1,67.48,74.68
2,1,71.55,85.29,74.67
1,1,78.83,81.28,74.65
2,1,93.26,83.11,74.55
1,1,83.38,91.91,74.39
2,1,89.42,70.26,74.32
2,1,83.26,71.88,74.28
1,1,66.23,81.8,74.16
2,1,81.63,88.53,74.1
2,1,67.95,70.02,74.08
12,1,85.85,84.21,74.08
2,1,93.14,82.73,74.03
2,1,78.64, ,74.01
1,1,99.51,87.7,73.93
1,1,66.86,82.19,73.91
1,1,77.38,70.66,73.85
1,1,90.93,92.52,73.75
1,1,84.37,71.99,73.68
2,1,81.69,75.53,73.56
1,1,83.27,86.01,73.45
1,1,61.93,92.88,73.39
1,1,89.41,72.19,73.38
2,0, ,80.81,73.21
2,1,87.51,81.65,73.12
1,1,84.05,97.65,73.06
2,1,85.36,80.23,72.99
2,1,74.82,91.23,72.87
1,1,87.25,83.38,72.77
1,1,83.35,75.94,72.73
2,1,82.96,87.82,72.26
2,1,95.82,74.81,72.13
1,1,68.82,32,72.06
1,1,73.03,82.1,72.01
1,1,75.33,87.71,71.63
2,1,101.73,82.79,71.5
2,1,74.4,72.12,71.38
2,1,84.3,89.53,71.17
1,1,78.76,74.3,71.16
1,1,98.28,81.92,71.14
2,1,84.54,89.45,71.07
2,1,87.63,69.43,70.86
1,1,72.61,23,70.72
1,1,91.57,92.05,70.65
2,1,83.02,83.99,70.62
1,1,70.41,80.21,70.58
1,1,83.52,79.37,70.54
1,1,81.91,81.08,70.25
1,1,78.05,90.2,70.24
1,1,83.23,88.31,70.19
1,1,79.04,89.73,70.09
2,0,91.73,97.13,70.08
1,1,84.5,95.47,69.96
2,1,98.23,83,69.81
1,1,85.04,79.72,69.75
1,1,69.89,87.17,69.66
2,1,83.72,101.68,69.47
1,1,67.23,94.25,69.35
2,1,81.9,90.9,69.27
1,1,82.97,78.19,69.12
1,1,66.87,81.71,69.1
2,1,73.15,86.09,69.06
1,1,77.99,83.21,69
1,1,95.45,95.6,68.91
1,1,66.4,95.83,68.91
2,1,81.97,80.02,68.72
2,1,83.64,89.97,68.43
2,1,85.86,85.9,68.4
2,1,80.81,84.51,68.06
1,1,96.02,77.49,67.41
1,1,94.35,93.84,66.77
2,1,93.71,81.45,66.67
1,1,87.45,79.89,66.27
2,1,87.18,76.23,66.09
2,1,89.3,79.28,66.02
2,1,71.54,78.17,65.78
2,1,86.45,94.02,64.98
2,1,87.89,85.71,64.83
2,1,80.33,97.24,63.7
2,1,90.23,86.14,61.07
1,1,67.92,88.03,60.57
2,1,69.4,81.54,57.4
1,1,69.87,74.68,26
1,1,68.65,68.05,15
1,1,79.74,87.76,12
1,1,80.96,91.78,8
1,2, , , 
2,1,81.06,60.38, 
1, , ,70.73, 
2, , ,75.31, 
2,2,87.62,80.49, 
1,2,80.81,82.23, 
