Gender,Class,Q1,Q2,Q3
Male,2,2,5,5
Female,2, ,5,4
Male,3,5,7,6
Female,3,6,5,6
Female,3,3,7,4
Male,1,2,6,7
Male,3,5,7,7
Male,2,2,6,4
Male,3,2,7,7
Male,4,1,6,6
Female,4,2,5,5
Male, ,4,6,6
Male,1,4,5,7
Female,4,4,7,4
Male,1,5,7,4
Male,13,6,7,4.5
Male,3,1,8,8
Female,2,3,6,4
Male,4,2,6,4
 ,4,4,6,7
Female,2,6,6,5
Male,2,4,5,5
Male,4,7,6,4
Male,2,6,6,6
 , ,4, , 
Male,4,2,5,4
Female,4,7,5,5
Female,2,1,5,6
3,2,5,6,4
Female,4,1,6,5
Female,2,3,7,7
Male,4,4,5,5
Female,2,1,7,5
Female,2,2,6,7
Female,2,3,6,5
Female,2,2,6,4
Female,2,5,5,6
Male,1,6,6,4
Female,1,4,7,7
Female,2,3,5,4
Male,1,3,6,6
Male, ,2,6,6
 ,4,2,5,4
Male,3,5,7,4
Female,3,3,6,4
Male,2,5,7,5
Female,3,3,6,4
Male,3,3,6,4
Male,4,2,6,7
Male,2,3,6,6
Male,2,7,7,7
Male,4,7,7,7
Male,4,1,6,4
Female,3,3,6,7
Male,4.5,6,6,7
Male,4,1,4,1
Female,4,5,5,5
Male,3,1,6,4
Male,3,2,6,5
Male,1,6,6, 
Female,2,5,6,7
Female,2,1,7,5
 ,4,1,1,2
Male,4,8,7,7
Male, ,2,5,5
Male,3,7,5,4
Male,3,2,5,6
Male,1,4,7,4
Male,3,7,5,6
Female,3,3,6,4
Male,4,7,5,5
Male,3,4,7,5
Male,1,6,7,6
Female,1,5,7,5
Female,2,3,7,6
Male,3,6,5,7
Female,1,4,6,5
Male,1,6,6,6
Female,1,7,6,6
Female,4,1,5,4
Male,4,5,6,6
Male,1,2,5,7
Female,2,5,6,7
0,4,5,7,4
Female,2,7,5,6
Male,2,2,7,4
Female,22,3,5,7
 ,3,1,5,4
Male,3,3,5,6
Female,3,1,5,4
Female,4,3,5,4
Male,2,4,7,4
Female,3,3,7,6
Female,3,6,7,4
Female,2,3,6,7
Male,3,3,6,7
Female, ,5,7,7
Female,4,4,7,6
Male,4,2,6,5
Male,2,1,2,3
Male,4,2,6,6
Female,4,1,7,5
Male,4,6,5,4
Male,3,5,7,5
Male,1,7,7,7
Male,3,6,6,4
Male,3,2, ,5
Female,3,7,5,4
Male,4,5,6,5
 ,4,2,5,4
Male,2,5,6,4
Male,1,5,5,7
Male, ,7,7,4
Male,1,3,5,5
Female,1,7,6,5
Male,2,4,6,4
Male,4,3,6,6
Female,2,4,6,7
Male,3,5,5,4
Female,43,7,6,7
3,3,2,7,6
Female,3,1,5,6
Female,2,5,5,7
Female,3,0.5,3,3
 ,2,2,2,2
Female,1, ,5,6
Male,2,3,6,5
