"spelling","lexicality","rt","subtlex.frequency","length","POS","bigram.freq"
"alarm","W",546.5641026,1521,5,"N",94398
"album","W",608.3157895,253,5,"N",48999
"albums","W",585.1578947,53,6,"N",79799
"alen","W",471,15,4,"N",290285
"alert","W",623.7428571,263,5,"ADJ",239293
"alfa's","W",665.5517241,3,6,"N",76166
"algen","W",706.1034483,51,5,"N",319508
"allee","W",793.2857143,55,5,"N",179806
"allooi","W",704,7,6,"N",90524
"almacht","W",750.4074074,5,7,"N",150354
"alreeds","W",761.5,1,7,"ADJ",175149
"alt","W",746.9444444,13,3,"N",77227
"altaar","W",609,231,6,"N",142289
"alten","W",705.8,5,5,"N",335028
"ambacht","W",595.8378378,10,7,"N",140870
"ambt","W",622.6857143,103,4,"N",66987
"ambten","W",679.7567568,4,6,"N",324788
"amens","W",682,1,5,"N",244589
"ander","W",597.2571429,8318,5,"ADJ",323469
"angst","W",524.5526316,3032,5,"N",186509
"angsten","W",547.5405405,285,7,"N",444310
"angstig","W",530.2432432,179,7,"ADJ",214643
"angstzweet","W",660,4,10,"N",259212
"anijs","W",682.5,3,5,"N",129402
"anjer","W",608.8947368,13,5,"N",213846
"anjers","W",627.78125,49,6,"N",243020
"anker","W",616.3157895,220,5,"N",237343
"ankers","W",637.2162162,24,6,"N",266517
"anti","W",704.6944444,56,4,"ADJ",103135
"antiek","W",602.8648649,194,6,"N",161852
"antwoord","W",567.3333333,6127,8,"N",184186
"antwoordt","W",678.9393939,220,9,"WW",190793
"anus","W",699.0526316,94,4,"N",94980
"apart","W",609.8421053,650,5,"ADJ",109581
"apen","W",601.6666667,626,4,"N",269417
"appel","W",535.8421053,446,5,"N",113701
"appels","W",567.8947368,314,6,"N",144275
"applaus","W",587.6052632,760,7,"N",102506
"arbeid","W",572.6315789,108,6,"N",126884
"archief","W",598.3611111,257,7,"N",137112
"aren","W",675.6428571,1,4,"N",312711
"arend","W",677.8235294,90,5,"N",313923
"argwaan","W",684.7777778,131,7,"N",209398
"arm","W",536.0512821,3466,3,"N",56046
"armband","W",597.2564103,274,7,"N",175908
"arme","W",553.5405405,3893,4,"ADJ",140062
"armen","W",534.1282051,2255,5,"N",294370
"armer","W",629.8918919,38,5,"ADJ",219345
"armoe","W",635.5862069,33,5,"N",149925
"armpje","W",607.1538462,22,6,"N",135410
"armpjes","W",625.5641026,17,7,"N",127705
"armslag","W",628.0606061,5,7,"N",106183
"armste","W",658.8857143,26,6,"ADJ",248039
"arrest","W",581.0833333,505,6,"N",211419
"artiest","W",591.7894737,441,7,"N",238759
"arts","W",523.5128205,1434,4,"N",103032
"artsen","W",577.0789474,554,6,"N",309256
"as","W",559.4857143,673,2,"N",64190
"asbak","W",626.5945946,134,5,"N",60499
"asfalt","W",661.7352941,67,6,"N",90800
"asiel","W",619.4444444,213,5,"N",133038
"aspect","W",638.3235294,119,6,"N",108494
"assen","W",606.7058824,22,5,"N",279047
"asters","W",725,2,6,"N",333840
"astma","W",661.1111111,145,5,"N",102944
"at","W",650.2777778,672,2,"WW",73357
"aten","W",654.9285714,265,4,"WW",331158
"atlas","W",594.5555556,48,5,"N",105421
"atleet","W",615.4571429,113,6,"N",159987
"atoom","W",667.1515152,50,5,"N",97482
"attent","W",591.5128205,309,6,"ADJ",316027
"augurk","W",674.8888889,59,6,"N",52419
"aula","W",597,30,4,"N",52014
"aura","W",590.5454545,71,4,"N",60518
"aura's","W",650.7666667,4,6,"N",93033
"auteur","W",574.2307692,180,6,"N",143011
"auteurs","W",648.6153846,31,7,"N",172185
"autist","W",667.2424242,1,6,"N",167144
"auto","W",517.974359,20028,4,"N",43428
"auto's","W",558.3421053,1959,6,"N",77605
"avond","W",521.2702703,7898,5,"N",142362
"avonds","W",611.8,48,6,"N",153835
"azen","W",724.96875,126,4,"WW",254877
"azijn","W",575.1351351,74,5,"N",135812
"baadde","W",742.1034483,7,6,"WW",221296
"baai","W",611.1025641,197,4,"N",74808
"baaien","W",699.483871,8,6,"N",330798
"baak","W",566,4,4,"N",87994
"baal","W",639.9259259,173,4,"WW",96274
"baan","W",531.0833333,6929,4,"N",182720
"baande","W",651.3428571,6,6,"WW",294056
"baanden","W",757.0434783,3,7,"WW",448364
"baantje","W",638.0769231,551,7,"N",209659
"baantjes","W",603.0512821,119,8,"N",201954
"baar","W",611.1304348,39,4,"N",119568
"baard","W",588,509,5,"N",146545
"baarde","W",682.0769231,55,6,"WW",256669
"baarden","W",627.6486486,36,7,"N",410977
"baardje","W",594.2368421,11,7,"N",196564
"baars","W",655.2962963,47,5,"N",148742
"baart","W",673.6666667,154,5,"WW",143601
"baarzen","W",813,3,7,"N",330705
"baas","W",545.6410256,7312,4,"N",114060
"baasje","W",590.8378378,110,6,"N",160994
"baasjes","W",624.7352941,15,7,"N",153289
"baat","W",658.0344828,108,4,"N",123227
"baatte","W",700.1176471,1,6,"WW",234655
"baby","W",527.1282051,6638,4,"N",37354
"baby's","W",553.5897436,746,6,"N",71742
"bacon","W",662.5,166,5,"N",157865
"bad","W",526.7631579,1862,3,"N",70582
"baden","W",670.8461538,153,5,"N",335014
"badend","W",732.4571429,21,6,"WW",336226
"badjas","W",562,99,6,"N",87930
"badje","W",556.1025641,19,5,"N",120601
"badjes","W",630.9428571,1,6,"N",112896
"badkuip","W",614.7368421,170,7,"N",74156
"badmuts","W",645.5142857,10,7,"N",93153
"badpak","W",576.7179487,115,6,"N",68101
"badplaats","W",587.6756757,4,9,"N",169652
"bak","W",557.4054054,1739,3,"N",51062
"bakboord","W",671.3611111,199,8,"N",157156
"baken","W",655.6956522,190,5,"N",292382
"bakens","W",715.3333333,16,6,"N",263698
"bakje","W",607.4358974,64,5,"N",122904
"bakjes","W",563.1052632,13,6,"N",115199
"bakken","W",597.9210526,518,6,"WW",299761
"bakker","W",564.025641,175,6,"N",224736
"bakkers","W",622,12,7,"N",253910
"baksteen","W",593.5789474,83,8,"N",432654
"bakte","W",624.6578947,50,5,"WW",189476
"bal","W",537.5,3526,3,"N",59342
"balans","W",589.4473684,424,6,"N",155456
"balde","W",735.65,2,5,"WW",201079
"balen","W",650.8378378,186,5,"WW",303223
"balie","W",625.4358974,193,5,"N",179620
"balies","W",689.59375,2,6,"N",171915
"baljuw","W",600.2,4,6,"N",58191
"balk","W",559.2894737,79,4,"N",60473
"balken","W",604.5405405,57,6,"N",301793
"balkje","W",612.0540541,1,6,"N",132315
"balkon","W",545.1282051,290,6,"N",168097
"balkons","W",572.7894737,8,7,"N",139413
"ballast","W",666.6428571,58,7,"N",181235
"ballen","W",591.974359,2047,6,"N",311278
"ballet","W",588.3076923,270,6,"N",142327
"balling","W",757.8333333,10,7,"N",171178
"ballon","W",566.0769231,231,6,"N",180615
"ballons","W",579.972973,9,7,"N",151931
"ballpoint","W",749.8,4,9,"N",166223
"ballpoints","W",811.65,1,10,"N",175524
"balpen","W",589.6388889,26,6,"N",293361
"bals","W",659.1538462,19,4,"N",89916
"balsem","W",611.1794872,15,6,"N",89476
"balzaal","W",655.4864865,62,7,"N",117948
"bamboe","W",614.5405405,30,6,"N",146052
"ban","W",628.4411765,138,3,"N",145788
"banaal","W",617.5588235,52,6,"ADJ",140976
"banaan","W",554.8205128,233,6,"N",227422
"band","W",573.2820513,3467,4,"N",147000
"banden","W",604.5,942,6,"N",411432
"bandiet","W",592.8157895,204,7,"N",219229
"bandje","W",597.0512821,351,6,"N",197019
"bandjes","W",566.5405405,93,7,"N",189314
"bands","W",693.8,110,5,"N",158473
"banen","W",607.3846154,413,5,"N",309740
"bange","W",750.8965517,164,5,"ADJ",223781
"banger","W",682.28,130,6,"ADJ",303064
"banjo's","W",697.5806452,1,7,"N",105196
"bank","W",543.3846154,4019,4,"N",83986
"banken","W",571.7631579,418,6,"N",325306
"banket","W",639.6052632,129,6,"N",156355
"bankier","W",591.6052632,163,7,"N",262654
"bankiers","W",612.0833333,55,8,"N",291828
"bankje","W",562.6315789,66,6,"N",155828
"bankjes","W",579.5384615,7,7,"N",148123
"bankroet","W",596.9210526,111,8,"ADJ",182420
"bankroof","W",685.53125,48,8,"N",142049
"bankstel","W",846.1363636,5,8,"N",268827
"bannen","W",657.5588235,36,6,"WW",315000
"bar","W",552.9736842,2354,3,"N",82636
"barak","W",672.1724138,155,5,"N",99785
"barbaar","W",646.5135135,89,7,"N",157801
"barbaars","W",626.5405405,76,8,"ADJ",186975
"bard","W",843,22,4,"N",109613
"barden","W",691.2,4,6,"N",374045
"baren","W",582.5862069,168,5,"WW",325649
"baret","W",708.3076923,33,5,"N",156698
"barkruk","W",791.9642857,13,7,"N",91406
"barman","W",597.9428571,281,6,"N",188592
"barnsteen","W",815.375,7,9,"N",460776
"barok","W",656.8055556,9,5,"N",93395
"baron","W",619.1842105,336,5,"N",188229
"barre","W",748.5833333,40,5,"ADJ",174362
"bars","W",701.5217391,118,4,"N",111810
"barse","W",728.2,2,5,"ADJ",163726
"barst","W",590.7105263,519,5,"WW",169510
"barsten","W",633.4324324,284,7,"WW",427311
"barstte","W",653.9714286,66,7,"WW",280938
"barstten","W",639.6944444,5,8,"WW",435246
"bas","W",650.6969697,84,3,"N",77128
"basalt","W",624.625,4,6,"N",106120
"baseball","W",763.4705882,105,8,"N",109386
"baseert","W",747.6,31,7,"WW",268134
"bases","W",770.9444444,59,5,"N",121339
"basis","W",598.025641,1518,5,"N",103976
"basket","W",599.7027027,71,6,"N",126625
"baskets","W",678.59375,4,7,"N",135926
"bassen","W",721.7058824,15,6,"N",291985
"bassin","W",684,64,6,"N",178368
"bassins","W",755.9166667,2,7,"N",149684
"bast","W",640.5,16,4,"N",134828
"basta","W",685.2,32,5,"N",116379
"bastaard","W",653.7,306,8,"N",226867
"bastaards","W",697.3157895,46,9,"N",238340
"bat","W",790.2,110,3,"N",86295
"bate","W",801,5,4,"N",189788
"baten","W",714.516129,21,5,"WW",344096
"bats","W",1033,15,4,"N",95596
"bazaar","W",635.7741935,47,6,"N",124928
"bazaars","W",725.28,1,7,"N",154102
"bazel","W",641.5,72,5,"WW",106838
"bazen","W",592.8421053,329,5,"N",267815
"bazin","W",589.7105263,66,5,"N",160173
"bed","W",572.7179487,10492,3,"N",89748
"bedaard","W",681.0294118,23,7,"WW",178706
"bedacht","W",607.0526316,1829,7,"WW",165220
"bedankt","W",522.5897436,29406,7,"WW",151068
"bedbank","W",776.125,5,7,"N",121440
"bedden","W",589.1578947,289,6,"N",357838
"bedding","W",691.3529412,16,7,"N",163781
"bede","W",789.1304348,13,4,"N",199872
"bedeesd","W",667.28125,15,7,"ADJ",226076
"bedekt","W",624,373,6,"WW",191828
"beden","W",641.6470588,6,5,"N",354180
"bedenk","W",604.5714286,994,6,"WW",292378
"bedenkt","W",648.8285714,348,7,"WW",327299
"bederf","W",595.4864865,80,6,"N",261797
"bediend","W",620.4473684,99,7,"WW",332140
"bedient","W",638.7368421,64,7,"WW",307862
"bedierf","W",689.4516129,9,7,"WW",238545
"beding","W",771.8235294,48,6,"N",160123
"bedje","W",540.3333333,91,5,"N",139767
"bedjes","W",587.1388889,5,6,"N",132062
"bedoel","W",611.1351351,24275,6,"WW",154250
"bedoeld","W",559.2368421,1183,7,"WW",185863
"bedoelt","W",594.5897436,5345,7,"WW",185073
"bedraagt","W",731.2058824,75,8,"WW",174404
"bedrag","W",566.6153846,644,6,"N",115996
"bedreef","W",646.9166667,22,7,"WW",161433
"bedreigd","W",564.0277778,608,8,"WW",182878
"bedreigt","W",639.75,230,8,"WW",186919
"bedriegt","W",591.9444444,279,8,"WW",182425
"bedrijf","W",542.1578947,3209,7,"N",131921
"bedrijfs","W",637.3333333,11,8,"N",162373
"bedroefd","W",651.0263158,236,8,"WW",153428
"bedroeg","W",577.0285714,10,7,"WW",144712
"bedrog","W",575.7894737,420,6,"N",112837
"bedroog","W",641.2432432,211,7,"WW",139682
"bedrukt","W",622.2432432,40,7,"ADJ",123439
"bedrust","W",740.5384615,15,7,"N",172983
"bedstee","W",660.7222222,3,7,"N",298188
"bedtijd","W",567.7631579,329,7,"N",148689
"beducht","W",708.52,5,7,"ADJ",155173
"beduusd","W",763.7727273,6,7,"ADJ",103029
"bedwang","W",685.0606061,9,7,"N",149962
"bedwong","W",700.9666667,9,7,"WW",138415
"beefde","W",646.7631579,30,6,"WW",229247
"beefden","W",673.1388889,4,7,"WW",383555
"beek","W",624.9722222,150,4,"N",105899
"beekje","W",628.9230769,45,6,"N",177741
"beekjes","W",675.6,11,7,"N",170036
"beeld","W",512.8461538,1752,5,"N",173808
"beeldbuis","W",716.5142857,7,9,"N",224600
"beelden","W",546.1025641,1133,7,"N",438240
"beeldend","W",654.5263158,6,8,"ADJ",439452
"beeldje","W",578.027027,104,7,"N",223827
"beeldjes","W",589.3333333,39,8,"N",216122
"beeldscherm","W",606.2564103,15,11,"N",364454
"beeldschoon","W",637.4871795,300,11,"ADJ",359972
"beeldspraak","W",665.0789474,39,11,"N",252427
"been","W",554.5897436,2345,4,"N",303172
"beende","W",697,1,6,"WW",414508
"beenmerg","W",698.9428571,50,8,"N",390360
"beentje","W",580.5945946,39,7,"N",330111
"beentjes","W",608.3888889,49,8,"N",322406
"beer","W",571.5641026,1113,4,"N",228147
"beertje","W",585.2972973,87,7,"N",302185
"beertjes","W",622.1052632,12,8,"N",294480
"beest","W",555.6153846,2298,5,"N",198859
"beesten","W",587,863,7,"N",456660
"beestje","W",634.1794872,116,7,"N",248864
"beestjes","W",595.4615385,112,8,"N",241159
"beet","W",590.2972973,809,4,"N",134221
"beetje","W",600.1891892,19781,6,"N",184226
"beetjes","W",745.9333333,44,7,"N",176521
"befaamd","W",689.6666667,19,7,"WW",131777
"begaafd","W",597.7027027,107,7,"ADJ",148085
"begaan","W",581.2894737,601,6,"WW",214499
"begaf","W",626.969697,67,5,"WW",85013
"begeeft","W",634.9189189,138,7,"WW",197781
"begeerd","W",669.1111111,26,7,"WW",328247
"begin","W",558.7948718,8445,5,"N",184585
"beging","W",705.4375,84,6,"WW",150998
"begint","W",561.1282051,5433,6,"WW",161519
"begon","W",594,4646,5,"WW",170110
"begreep","W",621.9444444,1002,7,"WW",162305
"begrensd","W",627.4324324,8,8,"WW",304258
"begrijp","W",620.3846154,14183,7,"WW",129461
"begrijpt","W",613.4871795,4487,8,"WW",163632
"begrip","W",557.9736842,611,6,"N",103706
"begroef","W",697.2413793,97,7,"WW",126247
"begroeid","W",657,14,8,"WW",170627
"begroet","W",617.027027,151,7,"WW",167485
"beha","W",614.4166667,180,4,"N",62341
"beha's","W",629.5789474,21,6,"N",94856
"behaald","W",587.1315789,57,7,"WW",154171
"behaard","W",614.4594595,32,7,"WW",172829
"behang","W",558.0512821,94,6,"N",138485
"beheer","W",560.4594595,102,6,"N",247874
"beheerd","W",645.8378378,35,7,"WW",274851
"beheerst","W",597.0526316,278,8,"WW",334748
"behelst","W",774.8333333,8,7,"WW",214422
"behept","W",791.2857143,5,6,"ADJ",113020
"behield","W",672.9117647,18,7,"WW",180241
"behoeft","W",665.6206897,46,7,"WW",127656
"behoor","W",582.1666667,113,6,"WW",136656
"behoord","W",662.8148148,12,7,"WW",163633
"behoort","W",666.3823529,537,7,"WW",160689
"behoud","W",689.5714286,107,6,"N",100136
"behoudt","W",633.8857143,59,7,"WW",106743
"behulp","W",563.5,4,6,"N",63196
"beige","W",674,74,5,"ADJ",208573
"beitel","W",634.1875,31,6,"N",211302
"beitels","W",679.5277778,4,7,"N",241876
"bejaard","W",605.9210526,24,7,"ADJ",161332
"bek","W",607.1621622,2236,3,"N",70125
"bekaf","W",740.3,97,5,"ADJ",90492
"bekeek","W",657.3888889,179,6,"WW",149946
"bekeerd","W",651.0263158,81,7,"WW",299171
"beken","W",736,217,5,"N",311445
"bekend","W",528.7027027,3927,6,"ADJ",312657
"bekendst","W",716.12,3,8,"ADJ",381830
"bekent","W",609.6363636,249,6,"WW",288379
"beker","W",589.2105263,384,5,"N",236420
"bekers","W",624.1081081,85,6,"N",265594
"bekijk","W",614.4210526,1465,6,"WW",109623
"bekijkt","W",609.2571429,479,7,"WW",144544
"bekje","W",637.75,1,5,"N",141967
"bekjes","W",689.4411765,2,6,"N",134262
"bekken","W",604.2058824,98,6,"N",318824
"bekkens","W",786.5,2,7,"N",290140
"beklaagd","W",628.2702703,9,8,"WW",168643
"beklag","W",678.9354839,15,6,"N",114276
"bekleed","W",630.1142857,36,7,"WW",180197
"beklemd","W",694.6666667,6,7,"WW",142159
"beklom","W",690.483871,32,6,"WW",102034
"beknopt","W",679.8648649,12,7,"ADJ",124367
"bekroond","W",660.4210526,12,8,"WW",226518
"bekroop","W",722.9545455,7,7,"WW",137746
"bekwaam","W",624.3157895,124,7,"ADJ",125514
"bel","W",527.8888889,13629,3,"WW",106421
"belaagd","W",682.1666667,62,7,"WW",196872
"beland","W",695.6052632,327,6,"WW",232431
"belang","W",532.2820513,1411,6,"N",197632
"belast","W",629.0540541,107,6,"WW",220259
"belde","W",583.8055556,3442,5,"WW",248158
"belden","W",805.0555556,209,6,"WW",402466
"beleefd","W",562.7435897,765,7,"WW",202027
"beleeft","W",588.3055556,62,7,"WW",207562
"beleg","W",598.9487179,79,5,"N",157537
"belegd","W",638.7179487,36,6,"WW",174972
"beleid","W",597.8888889,437,6,"N",184493
"belet","W",600.7567568,54,5,"WW",181351
"belgisch","W",596.0769231,22,8,"ADJ",187814
"bellen","W",538.2051282,10004,6,"WW",358357
"beloof","W",592.8965517,4966,6,"WW",149366
"beloofd","W",544.3846154,3077,7,"WW",175506
"belooft","W",596.4473684,472,7,"WW",181041
"beloond","W",606.1842105,213,7,"WW",247696
"beloop","W",647.483871,33,6,"N",158924
"belt","W",545.875,2495,4,"WW",137244
"belust","W",659,8,6,"WW",198598
"bemand","W",658.3939394,46,6,"WW",181554
"bemerkt","W",653.6388889,12,7,"WW",249298
"bemind","W",643.6052632,84,6,"WW",185885
"bemoei","W",666.3225806,859,6,"WW",103733
"bemoeid","W",661.6363636,47,7,"WW",143112
"bemoeit","W",675.0645161,201,7,"WW",156001
"ben","W",621.2058824,238367,3,"WW",267398
"benam","W",695.7741935,11,5,"WW",214199
"benauwd","W",648.3157895,118,7,"ADJ",238943
"bende","W",594.1944444,1410,5,"N",378734
"benden","W",708.2608696,22,6,"N",533042
"bendes","W",626.6285714,239,6,"N",371029
"benen","W",542.5945946,2965,5,"N",431350
"benieuwd","W",587.9473684,646,8,"ADJ",281338
"benig","W",858.7619048,5,5,"ADJ",236682
"benoemd","W",626.3684211,219,7,"WW",261764
"bent","W",648.7391304,122036,4,"WW",244332
"benul","W",698.9090909,128,5,"N",205165
"benut","W",620.8611111,43,5,"WW",231298
"beoogd","W",751.2333333,5,6,"WW",112608
"beoogt","W",753.2222222,3,6,"WW",116649
"bepaald","W",585.2368421,1444,7,"ADJ",157132
"bepaalt","W",644.5135135,482,7,"WW",156342
"beperkt","W",575.1794872,321,7,"ADJ",245990
"bepleit","W",777.0416667,9,7,"WW",161281
"beproefd","W",640.1944444,7,8,"WW",148929
"beraad","W",685.5333333,52,6,"N",265974
"beraamd","W",742.5333333,44,7,"WW",270029
"berbers","W",713.8125,11,7,"N",369517
"bereid","W",588.1282051,2137,6,"ADJ",269577
"bereidt","W",661.0857143,168,7,"WW",276184
"bereik","W",610.5142857,703,6,"N",242723
"bereikt","W",612.2972973,1303,7,"WW",277644
"beren","W",604.0769231,410,5,"N",435386
"berg","W",563.8157895,1500,4,"N",187856
"bergen","W",555.3157895,1495,6,"N",453744
"berging","W",675.5,25,7,"N",264221
"bergplaats","W",637.5135135,25,10,"N",301058
"bergt","W",727.5,13,5,"WW",209332
"bergwand","W",780.21875,7,8,"N",296353
"bericht","W",548.3684211,2614,7,"N",291923
"beriep","W",757.3571429,3,6,"WW",244976
"berk","W",634.5714286,10,4,"N",182717
"berken","W",709.9333333,5,6,"ADJ",424037
"berm","W",620.030303,30,4,"N",178721
"bermen","W",790.7391304,1,6,"N",417045
"beroemd","W",550.2631579,1071,7,"ADJ",257101
"beroep","W",573.0526316,1128,6,"N",228739
"beroeps","W",618.9459459,204,7,"N",260006
"beroept","W",605.1923077,15,7,"WW",262910
"beroerd","W",628.6756757,348,7,"ADJ",388967
"beroofd","W",590.4324324,647,7,"WW",253833
"berooid","W",688.6923077,24,7,"ADJ",260192
"berouw","W",675.7428571,253,6,"N",205378
"berucht","W",620.6756757,84,7,"ADJ",268235
"berust","W",605.8947368,74,6,"WW",272521
"bes","W",657.4444444,27,3,"N",105385
"beschaafd","W",623.3055556,274,9,"ADJ",228700
"beschaamd","W",594.8684211,206,9,"ADJ",223963
"beschermd","W",591.9210526,638,9,"WW",311308
"beschermt","W",615.0526316,692,9,"WW",315775
"beschikt","W",610.5833333,75,8,"WW",187171
"beschouw","W",639.6111111,446,8,"WW",160643
"beschouwd","W",588.5789474,305,9,"WW",190064
"beschouwt","W",608.4285714,136,9,"WW",194872
"beschreef","W",618.8421053,132,9,"WW",230150
"beschrijf","W",637.3243243,157,9,"WW",200638
"beschuit","W",675,16,8,"N",213642
"beschut","W",633,18,7,"WW",178048
"besef","W",565.8974359,1036,5,"WW",101420
"beseft","W",612.0810811,656,6,"WW",133095
"besje","W",655,10,5,"N",152319
