"sentiment","tweet"
"negative","Weigh ins today I'm so fuckin thirsty but can't drink anything until I make weight "
"negative","Was just about to head out for coffee break and my boss starts running around like a madman... must wait now and see what is up~! "
"negative","I haven't seen SNL in so long.  I'm in Germany where it's not shown."
"negative","@bpaciorka but it looks so cool! Hey! You're by my house! ... Only, I'm in Louisiana... "
"negative","Dozing off at 8:30. What "
"negative","@queenzee_ent i had a ruffffff childhood!! "
"negative","still no accomplishment "
"negative","i just found out that it's Golden Week in Japan. no manga "
"negative","@SomeSayDave Oh no D= thats reallly not good "
"negative","i'll have to wait another 6 months or more? "
"negative","@ruyen Certainly broke your ability to instant message "
"negative","@gregorywilson Cool. Code formatting's not too happy for me  preview==good, posted no go... (ColdFusion formatted)"
"negative","missses someone special  going out in a bit"
"negative","lost a follower  ahh fudge a fudge"
"negative","i guess i wasnt meant to go to the #mmva's @MuchMusic this year "
"negative","@kaylaeffbbie no luck on therapy app "
"negative","Im bored. Lets chat. Text me. i have to be up and at college for exam by 745. "
"negative","@cakiiebakiie It would be. That's one of the reasons I want one. I find the touch screen awesome.  Doubt it'll ever happen though "
"negative","I hate back drive!!  it's so hot! She always puts me here!"
"negative","its raining "
"negative","Seriously I NEED to clean. This place is a sty. Why can't I focus??  If I don't clean NOW I won't be able to write soon. "
"negative","@brittneysaxberg Buenos Dias!! Did you make it this mornin?? I hate Monday's   Especially after the Lakers Win"
"negative","It's gonna be a long day. I'm not looking forward to it at all. I wish it was May 10th, again. "
"negative","@carlacharisse the price is MYR7 i think, which is USD2 .but no picture of him in suspenders  i want that pic"
"negative","ugh!!! i don't like thunderstorms... "
"negative","@sum1cute i didnt think that i was invited "
"negative","its a mess "
"negative","waited on charter all day to come and hook up my internet &amp; cable since 8:30 this morn, in the morn they said.. I hope so "
"negative","#myweakness I must be boring, because I only have 19 followers.  At least Tyra Banks is following me...fake or real, I don't care."
"negative","Craving 85 degrees' cakes so badly "
"negative","@NYaliciaPA ehh I'm ok I'm taking dumb ass classes and working all summer no fun for me "
"negative","@MegSinclair ... miss ya Megs!  I'm not going to Boyle either "
"negative","i new this was going to happpen ...... i'm feeling sick "
"negative","Street was no longer flooded on my way out.  off to work I go."
"negative","Last day with Jayter-gator "
"negative","It's the weekend, which means no more Bonanza until Monday. "
"negative","@cuddlez01 Hey Cud! I can't see your updates. You haven't approved my request. "
"negative","I fail at life  fml"
"negative","...so did not miss the thunderstorms here. "
"negative","@chchchelly same here. feels like i'm in college and i've lost touch with my friends from high school "
"negative","At the dentist again  this sucks lol"
"negative","June seems to be passing by sloowly  I just want it to be my birthday already! gawd"
"negative","@ShashiTharoor sounds like all your party men see in a human being is that they are going to vote one day... :x makes me sad "
"negative","Tiger not playing too well today...  3 over on the day and even for the tourney sitting 8 strokes back!"
"negative","@tommcfly olá, toom! why do you say hi if you don't read your messages? "
"negative","Figuring the checkbook.  No fun.  "
"negative","Still needs to get away. What's going on my dear canucks?  agrees w/ CheriBeri.. What happened to the 'nucks magic?"
"negative","@bertyswis Oh that's no good!  R u following @wimbledon on here for updates?"
"negative","awesome!  fell on my hip again "
"negative","I accidently deleted the split vid!!! @TruStar  ugh."
"negative","Was headed to bed when I realized I have Tafe and my designs will defult to helvetica when I arriive with out all my fonts "
"negative","my blow torch has broken  this is a REAL bummer"
"negative","@TVXQUKnow: why did you make your concert in ThaiLand but not VietNam ?? "
"negative","Whoaaaaa I just missing picipi "
"negative","@nikkin00dle  Sad that you have to go so soon!  You'll have to stay longer next time!"
"negative","tired. going to bed! work tomorrow "
"negative","@QueenM81 Lol. xD Im really excited. Although I'm gonna be knackered - Plus it takes 1 hour from S.S to get to the hotel "
"negative","@maaikeanne hot and I wasn't there? "
"negative","is dead tired. "
"negative","@Cressboy Flickr and Facebook don't love each other at the moment, the links been broken for past month or so... "
"negative","@CjMo unlucky dude  hope the rest of the day goes well!"
"negative","@iPhoneDenzel I will, when I get a chance! It's been hectic. "
"negative","@UtorVita Can you come over and make me breakfast? I'm not fully functionable right now. Haha. Oh crap...I have to work today too. Boo. "
"negative","@ddlovato me tooo!!! I have Acid Reflux which is so annoying and I can't eat anything i like.  hope you feel better!"
"negative","Macbook fail - literally "
"negative","@sipdrink I feel your pain "
"negative","SO TIRED  Last Friday of 7M .. wow , its gone by Too Too Fast , Getting Out @ 12 today .. missing art .. SO UPSET"
"negative","@Beekum Wish we could go. "
"negative","@gabboucla awe i would totally come meet you since your near my house but im at work "
"negative","@mitchelmusso I want a call from you.  GO MICHIGAN! hahha"
"negative","actually...i'm kinda bummed too "
"negative","i need a job man... im so bored "
"negative","Never watching a film about a dog again "
"negative","Just said bye to all my babies leaving for camp.    Realized how much i adore mr. ryan davis."
"negative","@_supernatural_ http://twitpic.com/6dqm1 - gotta be in the right light to look at it though "
"negative","@SteveMoyes hi steve - feeling worse - have just spent �20 at Boots and am going back to bed "
"negative","@twotrickpony_ EW! I had two in college  They were TERRIBLE"
"negative","@TrinityComedy afternoon "
"negative","@Ms_NiMSz aim me ima b on my kick n a lildo j3nkn33 yoo he hella wantsz me 2 kkick it w em bt icnt cuz skoo "
"negative","@willcarling Pickle in a toasted sandwich? Are you sure? That's like inviting Chernobyl into your mouth "
"negative","It gets so old being a pro living in a world of noobs.  of course, we could die, but we ourselves are just so amazing that we're worth ..."
"negative","I realllllly shld stop for gas, but I'm soooooooooo not in the mood. "
"negative","my teeth really hurt!  and is wanting him to call.."
"negative","Living on the edge right now "
"negative","@ddlovato where have you gone on vacation. im in the uk its 10.22am and 78f. off to work in an hour "
"negative","i think im getting sick noooooooo "
"negative","wanna go a walk buh its raining "
"negative","I hate web blockers, stupid company. At least I have my iPod to keep me company on this quietest of Saturdays. It'll be worse on Monday "
"negative","@liliona not everyone!! U haven't even tried me "
"negative","i hurt all over. "
"negative","@ddaly9 are we givin blood? Txt me cos this isn't free "
"negative","Watching the rain  "
"negative","Homework is a bore. "
"negative","Just ordered the built-in webcam part for my mini 9. Prices have gone up since I first considered this mod...guess parts are running out. "
"negative","@itzstarruh ur just mean! Im tellin him too! lol. Naw i was askin Cne and Sasha about the club n they said it was all short dudes  lol"
"negative","@theblackestsea no sorry, I don't. Oh and I went to buy one and they didn't have any in Noblesville, same with the purse. "
"negative","Not ready for today. I need it to be the weekend. "
"negative","Just woke up... Want to go back to bed!! Watching teevee! Todays Sunday and I get to go home... But don't want to go to school  text meee!"
"negative","@freosan Also, all my hard work voting for Tom Price went down the drain overnight... "
"negative","pffffffffff..as3 cé chiant "
"negative","@TessiieS2 look forward to hearing from you, I have things to tell you AND I'm home alone and super lonely  lol"
"negative","@Anthony_Head the weekend was bliss but joy turned to pain when bliss became blisters "
"negative","@marurokz i like paramore "
"negative","@datnguyen Very doubtful "
"negative","@icouldtellyou Awww "
"negative","got to sleep in a bit more today, but has a headache  boo!"
"negative","I woke up thinking of strawberry lips, but I don't remember any of my dreams   was probably too drunk!"
"negative","@jonathanrknight ur at the susquahanna bank center in camden, NJ where I wish I were but unfortunately I won't be tonite "
"negative","@gravityletusfly it's ok love, it happens to the best of us sometimes  Better late than never! - Can't wait to chop my hair off!"
"negative","misses her friends!  miss da good ol day :'("
"negative","@AmandaJMichalka I miss you  Before almost everyday we talked and now , you are not so much here"
"negative","#RG09 for the women, I'm hoping Dina will pull this off. The Williams sisters are ALWAYS contenders. Shreika isn't back to form yet "
"negative","mmmm.....spicy chicken pizza  Suppose i really get on with some uni work "
"negative","@jaspercullen thanks, &amp; you know I do as well.... already ran out of props for you  haha"
"negative","At the studio now...sleepy, have to b at work at 10  womp womp."
"negative","ut oh, I wonder if the RAM on the desktop is starting to go "
"negative","Iranian hardliners kill 8 protesters #iranelection http://bit.ly/Ft0TC - sad, just sad.. "
"negative","Wish I had black/yellow terminators "
"negative","Lol i have duty tonight  hopefully i get to shoot someone"
"negative","cant believe America voted out Danny Gokey "
"negative","i feel sick     i've got a cold   "
"negative","push play moving means that whenever i go to long island to see my cousins i can't be like omg maybe they're at the mall!!  sadddddness!"
"negative","@agustina1 here's the update. He has mycoplama =walking pneumonia   he's home now.  Taking antibiotics."
"negative","@atozzio u had a crazyyy song I was feeling but... I forgot the name damn I was mad "
"negative","@saraswathi He he which woman doesn't?! But the supply is so low(almost nil) and the demand is so high!! "
"negative","@D2LC_ZERO that movie made me cry "
"negative","@geminianeyes Even thinking about it now makes me queezy  No more talk about PCM or I'll puke on my desk. :p"
"negative","Someone in SWEDEN didn't like Mystic Myre http://www.smartestgames.com/gotd.php "
"negative","@britneyspears i soo wanted to come and see your tour it looked amazing but your leaving soon  no tickets left!"
"negative","I'm so boring now "
"negative","grrrrrrrrrrrr ellen had a game which i could not play since i do not live in the us of a  :'("
"negative","can i go home now? I really don't wanna be here "
"negative","@typicaal  my cookie is cute then me "
"negative","It's cold outside "
"negative","didn't play frisbee...it was raining  but at least I got to spend time with friends!"
"negative","Going home today.Back to kolkata.Dont know if I will be able to be on net for the coming days.Bad for me! "
"negative","@gfalcone601 that is seriously freaky but i wish my phone did that "
"negative","At work hardly working. Someone should come visit me. Kinda lonely. "
"negative","So why did Monica own Keyshia her own song &quot;Trust &quot;   She got Key singing the hook and ad libs LOL  Cant wait 4 Mo to come back !"
"negative","Horse abuse, injury &amp; death set to continue for the mirth of men. Shameful.  http://bit.ly/YPhtW"
"negative","I have to work from 9 - 2 on Mothers day "
"negative","@SleeplessInATX knee surgery? ouch!  Wua dat on yur dancing leg or yur kickin leg? '-)"
"negative","My bellybutton hurts "
"negative","mmmm pizza - I burnt myself getting it out the oven  that would be what i call one of my joe moments :/ @TamboManJoe"
"negative","Napoli decided to wear his pants classic style tonight. Too bad he's not playing "
"negative","waiting for unlock at 3g &amp; os 3.0  but @MuscleNerd is master of unlocking ;D still waiting for you ;)"
"negative","@AlbertinaPdC Money probably. Pft. I had to go through a huge one full of muddy water yesterday cos a lorry was coming  boo"
"negative","@lilyish shawn doesnt even get off til 6:30 in torrance. just let me know! we wont have time to come back home to get ready "
"negative","@X360A I've checked out some videos on YouTube, I don't think it will appeal to me sadly. "
"negative","oh god a plane just fell in brazil "
"negative","@cloverdash Here too  I'll be staying in all day tucked up under the covers, I think!"
"negative","@bobbyllew Am so jealous you're doing the eco-rally. My day job (eugh!) prohibits participation "
"negative","On my way in to work, weekends need to be longer "
"negative","Riding bike to campus and back for the second time today. I'm gonna sleep well tonight! Oh, and tons of homework for this evening "
"negative","@heavensgame thanks ! found a stream on justintv, but hard with a bad connexion "
"negative","already home on saturday night "
"negative","@jordanknight  We cant get those one over here in Ireland!! "
"negative","1 pint of Alexander Keiths = inability to shut mouth for extended periods of time. My jaw hurts "
"negative","At the library real quick. It feels so weird typing in a keyboard. I miss my computer "
"negative","Good Morning Tweeples I can't believe I have class so early for session 2  Grrr"
"negative","Feeling fat today. No I'm not fat I just feel fat. I need to figure out what to wear. "
"negative","Fizzy pop league here we come... thanks to you Mr Ashley! "
"negative","Whoa i cant believe my graduation is in 1 day!!...Its so bittersweet "
"negative","@tearose552005 What am I doing wrong? I don't see anything but an empty text box. "
"negative","@KathyFriend Did u hear about our visit to the Indian ER today?  Her ear is infected and she is in serious pain. "
"negative","Ugh ! Im so tired and do not want to do homework ! "
"negative","i just finished my polos   i can't reach the othe 18 rolls...  "
"negative","Today was an off day. "
"negative","@Shopaholic_Mama yep happened to me after doing a few paid blog posts. I've never come back from 0 "
"negative","@SimsDL It doesn't work for me "
"negative","@fiddlermikey I can't...  I still have entirely too much to do today and I'm TOTALLY wiped out. Need sleep early"
"negative","@leolaporte be glad you're not at this game with me, the Mets are getting KILLED! "
"negative","The train's delayed "
"negative","I'm bored  balancing a stolen spoon on my nose"
"negative","@srod1978  well next time for sure! ;) http://myloc.me/5f5Z"
"negative","i want to run but i can't "
"negative","@Cobolisdead @StudioElle Yeah, boo on the rain. I was looking forward to grilling out. We were even going to have grilled corn! "
"negative","Holy fuck gamestops are terrible. Phase 3 finally complete and almost late for kogi  !!!!"
"negative","@ausher8 Oh, I'm sorry, though. Really. I hate making people mad, uncomfortable or what ever at me. It makes me feel terrible. "
"negative","1 day left without hold any books ! wheres my spirit be ? "
"negative","My noodle soup doesnt seem to be filling me up...still hungry and it hurts "
"negative","OWW! woz standing on a chair and well i fell.... and hit my knee and cut myself  All my dad asked was if i had broke anything!"
"negative","I have left my aquarium to its own. Thats bad! Looks bad!  I have 6 days to fix it! Wish me good luck!"
"negative","just dont wanna do bridal shower or bachelor party anymore "
"negative","I'm up, but I never said I'd like it lol..my eyes are sore, and allergies are going crazy  &lt;&lt;thats right... double frown..."
"negative","going out for lunch with my auntie, my brothers dropping me off. i have to share the car with 'her'...  bye everyone!!"
"negative","@mareyachristina you're so mean to @taylorswift13 "
"negative","@thatgirlallie @rhfmatt I can only wear them when I have contacts on  I should get LASIK"
"negative"," missing the Evelyn....she is out having a good time....good for her! good night good folks...."
"negative","@jobsworth sign of things to come - a hundred business models for mobile are predicated on lpushing ocation based Ads. Yippee "
"negative","I miss my phone sooo bad!! Need a job STAT!! Hmm... I hate babysitting "
"negative","I will never eat broadway pizza again.. feelin ill. "
"negative","doing homework !! I have a lot to doo "
"negative","@Charified sadly, I don't   hehe"
"negative","@thagiftfromgod that so wrong... you are mean  lol"
"negative","...scratch that! 1 boy is moody.  Just me and Josh hanging out tonight!    Heading out for burgers, fries, and a donut...&amp; maybe the mall?"
"negative","Its 7pm on a Saturday night...... and i am ready to get in my pjs and go to bed "
"negative","@destiniya I'm gone!  I don't know when I'll be back, either... at least 4 months, but it could be up to 14!"
"negative"," i close my eyes nd i see your face..:/ whens it gonna stop? ::sigh times 5::"
"negative","Bacl to work from north ryde to Surry Hills.  taxi driver asked if I could guide him  he has a fucking GPS in the car!!"
"negative","@Nathaniel_Smith go to the/rent movies, start a blog, make a Youtube vid, tweet, or you can study like me "
"negative","I &lt;3 legacy enterprise software (via @readyState) ditto  especially locked down crippled runtimes "
"negative","Cuddling up on my nice new sofa about to watch a chick flick tonight i think, the only thing missing is my hot coco. "
"negative","@blasha no  , so i can buy yours"
"negative","@richardmartinez Becky bailed on me for Rancid "
"negative","Going out for dinner. Who can be bothered? "
"negative","@golfetail Have any women's, mine lst in fire "
"negative","my interview with the child care expert didn't happen  what to do, what to do??"
"negative","I woke up too early "
"negative","Now we must wait another year for lost "
"negative","is pretty hurt... just need you here.. and your not... as usual "
"negative","About to get shots. Scared. "
"negative","My parents were heading down to Myrtle Beach &amp; my mom just called from Maryland. A deer ran in front of them &amp; totalled their car. "
"negative","@tommcfly i can't believe that i saw you, that i heard your voice yet. Brazil isn't the same when you guys are here, please don't go "
"negative","having a nice cold cider before doing some ironing "
"negative","oh shit. SO's department has individual meetings with the boss - the first chick was laid off.  hope they're not laying them all off!!"
"negative","Still raining  http://twitpic.com/3pica"
"negative","@kat_n awww damn  tht sux so i'm too late to add my pic?? tht sux "
"negative","@Belitoito the trailer of new moon is so great ! i love it  i hope that you love it too jaja it's been a long time since i see you last "
"negative","I think I may cry. I just sold my 97 civic. Its no longer mine. "
"negative","@zandraisabelle omg i didnt know she was so mad at you  srry for just leaving you :/ *feeling bad* hope you're kinda fine? ;3 :*"
"negative","@tommcfly  you guys are literally a few mins drive away and i cant come to see you. Been to all your other wolves gigs  X"
"negative","Listening to @PRI World Books podcast, which I discovered via #podcastfriday. I wish more would participate in that. "
"negative","@prokleta ooh. That sounds bad.  [I'm not a VP, and therefore can emoticon my tweets] ;-)"
"negative","broke her work pants  hahaha"
"negative","laying down, listening to dave matthews band; missing him "
"negative","@CathrineSchack hahaha noo i was just kidding :p cause you said it! What's your msn address? It didn't work "
"negative","Wondering how to make this Twitter dealie work properly. God, I feel old "
"negative","[this profile pic does NOT show the 'new me'.... this pic prior to haircut of disasterous proportions "
"negative"," live with me"
"negative","Dude! I am so hungry! I think I'm about to pass out... "
"negative","another day gone by....time is moving so fast... "
"negative","is bored, bored, bored, but not sleepy "
"negative","@in53cto mi descarga máxima es 25 kbps  but hey, its free!"
"negative","Getting one of our field vehicles cleaned. Looks like our action hero governor wants to give me another furlough day. How nice of him "
"negative","@shanedawson who r u sometimes and do u like younger girls shane? srry just being like u oh well i will be alone for the rest of my life "
"negative","@TMoney_Sculls you should go down another week.... so i can come. ive never been to wildwood "
"negative","@romram: exactly..akele to pagal kar deti hai ye jagah "
"negative","Neighbors=party busters. "
"negative","I just had to take my LG Rumour for repairs. "
"negative","@japchap Yes my kids have their moments... where I think they're going to permanently mame each other "
"negative","hurry up and email and/or text!! Its fustrating!! "
"negative","Just sitting waiting for my husband to get home "
"negative","Picked up a cat for my neighbor. It's freaking out and is scared "
"negative","I have to put up w/ one of my gymnastics teammates today, shes so fucking annoying "
"negative","i would very much love to be on summer holidays right now "
"negative","Jealous of all the cool people going to E3 "
"negative","@Roy_from_IT yep! turning it off &amp; on again still yielded a completely blank white screen.  "
"negative","Home alone...want to play, but have to clean. "
"negative","@paulaabdulfan I WISH I WAS STILL A DANCER  stupid injuries "
"negative","@chrissswag went to work and im bored "
"negative","Weird achiness and fever "
"negative","Working on a project plan. Ergh - this is definitely *not* fun! "
"negative","Ahhh, Im hungry  what can I eat at this time that wont go straight to my thighs?? NOTHING lol, a slice of pizza it is, GYM in the AM!"
"negative","hate packing. Such a sad feeling. And too many things to put away. "
"negative","@SofiaAlessandra I didn't mean to, I was hungover  how are you? X"
"negative","Laying in bed, my chin is hurting from the pillow I'm proping it up on "
"negative","@TaliyAllTimeLow pretty sure that was a dream. "
"negative","@dauph too bad we saw neither of them "
"negative","Am up way too early. Court today    Time to give the City of Norman more money that I DONT have. Grrrrr ifuckinghatepatsies"
"negative","@purky_sweet missed you this weekend "
"negative","@AlexaRPD awww rough day today huh? "
"negative","@augiebop  Clean Me!"
"negative","@tomihawk Eek poor guy  Glad it was nothing more serious!!!! #torchsong"
"negative","Starting with twiter and hurts me throughout the body,that bad luck "
"negative","I usually like to root for the underdog but i'm djokovic lost "
"negative","@clumsyclover oh man, I don't "
"negative","so is anyone gonna send in a request to be in Demi's new music video? who's heard about it? i really wish i could go. "
"negative","looks like l'll be staying home tonight doing flvs "
"negative","I hate that bloggers take Sundays off. "
"negative","@catrinasupple Will explain later ;-) Just home from spending monies i dont have! Whats new! Gonna be a quiet night me thinks "
"negative","afternoon wood? http://tinyurl.com/p95l8o it's really like zoolander lol I can't believe I won't be here to see it "
"negative","Packing makes me sad. "
"negative","@Montelimart63 I can't. My parents are watching a movie. "
"negative","@JaneLebak Poor little boy.  Hopefully he'll get better at it as he grows up."
"negative","@zachmcnulty http://bit.ly/2RSUI  Looks like its PC only though "
"negative","Want some HIP Jelly balms soooo bad after watching @BonBbyJess show them on YT   cant find them anywhere"
"negative","@Harrygep I'm not sure it's completely fixed. A load (though not all) of my tweets from Gwibber are still showing as web. "
"negative","@thepete SFM = science fiction museum.  Didn't take pics sorry....no camera on me. "
"negative","@honeylove21 lucky u!! I get off @ freakin 930 2night "
"negative","@ckute  &lt;3 You okay? (Well, I mean, clearly no, but... &lt;3? )"
"negative","i honestly think im going to cry when i get dragged onto oblivion! "
"negative","@electrodoodle: ohhh shiiit. That sucks "
"negative","wish i wasnt going back to school tomorrow  i want to wear my new top :'( oh well i will just have to wait till the weekend."
"negative","A little sick and HAVE to get better before Sunday "
"negative","Work is making me stressed!! "
"negative","@risandiani ris td gmn? hp gue mati and I desperately need a new swin suit "
"negative","Boo the U.S. lost to Italy today AND they freaking scored on themselves! It didn't count cause the guy was offsides, but STILL! Horrible "
"negative","is locking himself away for the day. Medical help in progress... "
"negative","has had a productive day of study, however is still really nervous for her italian exam tomorrow "
"negative","Changed my profile at singlemuslim.com and myspace.com 'cause I'm single and looking again. Oh well.  Hopefully, Ms. Right will come along"
"negative","i wish i were british, or in britain atleast, to be there when HP related stuff happens "
"negative","@kelseysohns I coulda helped you with that, but I'm in there  I slept til 2:30pm =DD Still sleepy  Have fun? &lt;3"
"negative","walking home from the post office see Animal Safety truck and complete paw prints in blood on sidewalk, like full on dipped in it "
"negative","Something about my new job: I'm constantly nervous that I'll do something wrong and get fired. It's so freaking stressful! "
"negative","4 am. and i still can't fall asleep argh. what i'm going to do tomorrow? "
"negative","heading home... its still early "
"negative","Still feeling gross. "
"negative","Pub Crawl was a total win! Night finished off at 322 with the most amazing drag performance ever! Shit was epic. Also, April was amazing. "
"negative","@totaltrainwreck HI TRACY. Whaat! :O Taylor Swift's Thug Story is rly cool/nice. Ehmagawd. "
"negative","i miss tucson "
"negative","I think Frank Mullen is wearing Lugz in the spread in the latest Decibel "
"negative","@snogzilla great timing.. mine is broken "
"negative","Working NSO..... its gonna be a long day "
"negative","lame thing is, the people that actually deserve to win probably won't  overrated 'twilight' will most likely dominate the awards."
"negative","Nobody cares about Jon &amp; Kate. What about Ed McMahon?  &quot;Heeeeere's Johnnnnny!&quot;"
"negative","I'm in Little 5 Points in ATL, this rain is not poppin. "
"negative","i wanna try eating at that vegan resto. still sad mom disagrees with me going vegan "
"negative","@alanamarisa it's a date, baybeh. ps. imisskimbo. "
"negative","@sampan22 @SmittenKitten4D hello my lovlies..how are you today.. I'm on a BORING train journey.. "
"negative","Fire drill..everyone goes through one exit irrespective of how many fire exits there are...didn't get asked for my name or phone number "
"negative","@tiltweetswakeus coding in java/perl instead.  are you in boston this summer?"
"negative","@oonaghobscenex; when the hell are you coming over?!?! seriously i thought you were calling for me! "
"negative","@5minutesformom 2 words w/a descriptive modifier...B.S. SPEED TRAP   I choose to consider it yet another unwanted subsidy of broke  CA gov"
"negative","Why I'm so lazy to work out?? Me gaining weight again "
"negative","Why does it have to rain on the lastweek of school ? "
