cue,pos_cue,pos_feature,pos_translated,a1,a2
absurd,adjective,adjective,noun,characteristic,none
absurd,adjective,verb,verb,past_tense,none
absurd,adjective,noun,noun,present_participle,none
absurd,adjective,adjective,noun,present_participle,not
absurd,adjective,adjective,noun,not,actions_process
absurd,adjective,adjective,verb,past_tense,none
abundance,noun,adjective,adjective,none,none
abundance,noun,adjective,noun,characteristic,none
abundance,noun,noun,noun,characteristic,none
abundance,noun,noun,noun,none,none
abuse,verb,noun,noun,none,none
abuse,verb,adjective,noun,characteristic,none
abuse,verb,other,noun,characteristic,characteristic
abuse,verb,verb,noun,present_participle,none
abuse,verb,verb,verb,none,none
abuse,verb,adjective,verb,characteristic,none
abuse,verb,verb,verb,present_participle,none
abuse,verb,verb,verb,third_person,none
abuse,verb,adjective,adjective,none,none
abuse,verb,other,adjective,characteristic,none
abuse,verb,noun,noun,numbers,none
abuse,verb,other,noun,characteristic,none
accelerate,verb,adjective,adjective,none,none
accelerate,verb,other,adjective,magnitude,none
accelerate,verb,noun,noun,none,none
accelerate,verb,verb,noun,present_participle,none
accelerate,verb,verb,verb,none,none
accelerate,verb,verb,verb,present_participle,none
accelerate,verb,other,other,none,none
accept,verb,verb,verb,none,none
accept,verb,noun,noun,actions_process,none
accept,verb,noun,noun,none,none
accept,verb,noun,adjective,numbers,none
accept,verb,adjective,noun,actions_process,characteristic
accomplish,verb,verb,verb,none,none
accomplish,verb,verb,verb,past_tense,none
accomplish,verb,noun,verb,actions_process,numbers
accomplish,verb,adjective,adjective,none,none
accomplish,verb,verb,verb,present_participle,none
accomplish,verb,noun,noun,none,none
accomplished,verb,verb,verb,past_tense,none
accomplished,verb,adjective,adjective,none,none
accomplished,verb,verb,adjective,past_tense,none
accomplished,verb,verb,verb,none,none
accomplished,verb,adjective,noun,characteristic,none
accomplished,verb,noun,noun,numbers,none
accomplished,verb,noun,noun,none,none
accomplished,verb,other,noun,characteristic,none
accordion,noun,noun,noun,none,none
accordion,noun,verb,verb,third_person,none
accordion,noun,noun,noun,numbers,none
accordion,noun,noun,adjective,numbers,none
accordion,noun,adjective,adjective,none,none
accordion,noun,verb,verb,present_participle,none
accordion,noun,adjective,noun,characteristic,none
accordion,noun,adjective,verb,characteristic,none
account,noun,noun,noun,none,none
account,noun,noun,noun,present_participle,none
account,noun,noun,noun,numbers,none
account,noun,adjective,noun,characteristic,none
account,noun,noun,verb,actions_process,none
account,noun,noun,verb,characteristic,none
account,noun,verb,noun,past_tense,none
account,noun,verb,verb,past_tense,none
account,noun,verb,verb,third_person,none
account,noun,verb,verb,present_participle,none
account,noun,noun,verb,actions_process,characteristic
account,noun,noun,verb,actions_process,numbers
account,noun,verb,verb,none,none
account,noun,verb,verb,characteristic,none
accumulate,verb,verb,verb,none,none
accumulate,verb,verb,noun,characteristic,none
accumulate,verb,verb,verb,present_participle,none
accumulate,verb,noun,verb,actions_process,none
accumulate,verb,noun,noun,none,none
accumulate,verb,other,other,none,none
accumulative,adjective,verb,verb,none,none
accumulative,adjective,verb,verb,past_tense,none
accumulative,adjective,verb,verb,present_participle,none
accumulative,adjective,noun,verb,actions_process,none
accumulative,adjective,adjective,verb,actions_process,characteristic
accumulative,adjective,verb,verb,numbers,none
accumulative,adjective,other,other,none,none
accumulative,adjective,noun,noun,none,none
accurate,adjective,adjective,adjective,none,none
accurate,adjective,noun,noun,none,none
accuse,verb,verb,verb,none,none
accuse,verb,verb,verb,present_participle,none
accuse,verb,noun,noun,none,none
accuse,verb,adjective,noun,characteristic,none
accuse,verb,noun,noun,person_object,none
accuse,verb,verb,noun,present_participle,none
ace,noun,noun,adjective,none,none
ace,noun,noun,noun,none,none
ace,noun,noun,noun,numbers,none
ace,noun,adjective,adjective,magnitude,none
ace,noun,adjective,adjective,none,none
ace,noun,verb,verb,present_participle,none
ache,verb,noun,noun,actions_process,none
ache,verb,noun,noun,none,none
ache,verb,verb,verb,none,none
ache,verb,adjective,adjective,none,none
ache,verb,noun,adjective,numbers,none
ache,verb,adjective,adjective,not,characteristic
ache,verb,adjective,noun,characteristic,none
ache,verb,adjective,verb,characteristic,none
ache,verb,adjective,noun,not,actions_process
ache,verb,adjective,verb,not,characteristic
achieve,verb,verb,verb,none,none
achieve,verb,verb,verb,past_tense,none
achieve,verb,verb,verb,present_participle,none
achieve,verb,noun,verb,actions_process,none
achieve,verb,noun,verb,actions_process,numbers
achieve,verb,noun,noun,none,none
achieve,verb,noun,noun,numbers,none
achieve,verb,adjective,noun,characteristic,none
achieve,verb,noun,verb,person_object,none
achievement,noun,verb,verb,past_tense,none
achievement,noun,verb,verb,present_participle,none
achievement,noun,noun,verb,actions_process,none
achievement,noun,verb,verb,none,none
achievement,noun,noun,noun,none,none
achievement,noun,noun,noun,numbers,none
achievement,noun,adjective,noun,characteristic,none
achievement,noun,other,noun,characteristic,none
acid,noun,noun,noun,numbers,none
acid,noun,noun,noun,none,none
acid,noun,verb,verb,none,none
acid,noun,verb,verb,present_participle,none
acid,noun,noun,verb,third_person,none
acid,noun,adjective,adjective,none,none
acid,noun,noun,adjective,numbers,none
acid,noun,noun,adjective,person_object,none
acid,noun,adjective,noun,characteristic,none
acoustic,adjective,adjective,adjective,none,none
acoustic,adjective,noun,adjective,characteristic,none
acoustic,adjective,noun,noun,none,none
acoustic,adjective,noun,noun,numbers,none
acoustic,adjective,adjective,noun,characteristic,none
acoustic,adjective,noun,noun,person_object,none
acoustic,adjective,verb,noun,numbers,none
acquire,verb,noun,noun,actions_process,none
acquire,verb,noun,noun,none,none
acquire,verb,verb,verb,none,none
acquire,verb,noun,adjective,numbers,none
acquire,verb,noun,verb,person_object,none
acquire,verb,adjective,adjective,none,none
acquire,verb,noun,verb,characteristic,none
acquire,verb,other,other,none,none
acre,noun,noun,noun,none,none
acre,noun,verb,noun,past_tense,none
acre,noun,noun,noun,actions_process,none
acre,noun,noun,noun,actions_process,numbers
acre,noun,verb,noun,present_participle,none
acre,noun,noun,noun,numbers,none
acrobat,noun,noun,noun,none,none
acrobat,noun,adjective,noun,characteristic,none
acrobat,noun,noun,noun,slang,none
acrobat,noun,noun,noun,characteristic,none
acrobat,noun,adjective,noun,actions_process,none
acrobat,noun,noun,noun,person_object,none
acrobat,noun,noun,noun,numbers,none
acrobat,noun,noun,verb,characteristic,none
acrobat,noun,noun,verb,person_object,none
acrobat,noun,verb,verb,present_participle,none
acrobat,noun,verb,verb,third_person,none
acrobat,noun,noun,noun,third_person,none
act,noun,verb,verb,none,none
act,noun,verb,verb,third_person,none
act,noun,noun,verb,person_object,none
act,noun,noun,noun,none,none
act,noun,adjective,adjective,none,none
act,noun,verb,verb,opposites_wrong,none
act,noun,noun,verb,characteristic,none
act,noun,verb,verb,past_tense,none
act,noun,verb,verb,present_participle,none
action,noun,noun,noun,none,none
action,noun,verb,noun,present_participle,none
action,noun,adjective,noun,characteristic,none
action,noun,noun,noun,characteristic,characteristic
action,noun,noun,noun,numbers,none
action,noun,verb,verb,none,none
action,noun,noun,verb,actions_process,none
action,noun,noun,verb,numbers,none
action,noun,verb,verb,present_participle,none
active,adjective,noun,noun,none,none
active,adjective,verb,noun,present_participle,none
active,adjective,verb,verb,none,none
active,adjective,noun,verb,characteristic,none
active,adjective,noun,verb,actions_process,none
active,adjective,verb,verb,present_participle,none
active,adjective,noun,noun,numbers,none
actor,noun,noun,noun,none,none
actor,noun,verb,noun,present_participle,none
actor,noun,noun,noun,actions_process,none
actor,noun,noun,noun,actions_process,numbers
actor,noun,noun,noun,person_object,numbers
actor,noun,noun,noun,person_object,none
actor,noun,noun,noun,numbers,none
actor,noun,noun,verb,characteristic,none
actor,noun,noun,verb,person_object,none
actor,noun,verb,verb,present_participle,none
actor,noun,verb,verb,third_person,none
actor,noun,verb,verb,none,none
actress,noun,noun,noun,none,none
actress,noun,verb,noun,present_participle,none
actress,noun,noun,noun,actions_process,none
actress,noun,noun,noun,actions_process,numbers
actress,noun,other,noun,characteristic,characteristic
actress,noun,noun,noun,person_object,none
actress,noun,noun,noun,person_object,numbers
actress,noun,noun,noun,numbers,none
actress,noun,adjective,noun,characteristic,none
actress,noun,adjective,adjective,none,none
actress,noun,verb,verb,none,none
actress,noun,verb,verb,third_person,none
acute,adjective,noun,other,none,none
acute,adjective,noun,noun,none,none
acute,adjective,noun,noun,numbers,none
acute,adjective,verb,noun,opposites_wrong,none
acute,adjective,adjective,adjective,none,none
acute,adjective,other,other,none,none
acute,adjective,adjective,adjective,magnitude,none
ad,noun,verb,noun,actions_process,none
ad,noun,noun,noun,actions_process,person_object
ad,noun,verb,noun,actions_process,numbers
ad,noun,verb,verb,none,none
ad,noun,noun,verb,person_object,none
ad,noun,verb,verb,present_participle,none
ad,noun,adjective,adjective,none,none
ad,noun,noun,adjective,characteristic,none
ad,noun,noun,noun,none,none
ad,noun,noun,noun,numbers,none
ad,noun,noun,verb,person_object,numbers
ad,noun,verb,verb,third_person,none
ad,noun,verb,verb,past_tense,none
add,verb,noun,noun,characteristic,none
add,verb,noun,noun,numbers,none
add,verb,adjective,noun,characteristic,none
add,verb,noun,noun,none,none
add,verb,adjective,adjective,none,none
add,verb,verb,verb,none,none
add,verb,verb,verb,present_participle,none
add,verb,noun,verb,actions_process,none
add,verb,other,other,none,none
addict,noun,noun,noun,none,none
addict,noun,verb,noun,past_tense,none
addict,noun,noun,verb,characteristic,characteristic
addict,noun,adjective,verb,characteristic,none
addict,noun,noun,noun,person_object,none
addict,noun,noun,noun,numbers,none
addict,noun,adjective,noun,characteristic,none
addict,noun,verb,noun,third_person,none
addict,noun,noun,noun,characteristic,characteristic
addict,noun,adjective,noun,not,actions_process
addict,noun,other,noun,not,actions_process
addict,noun,adjective,noun,not,past_tense
addict,noun,noun,verb,person_object,none
addicting,verb,noun,noun,none,none
addicting,verb,noun,verb,present_participle,none
addicting,verb,noun,verb,present_participle,numbers
addicting,verb,verb,verb,none,none
addicting,verb,verb,verb,past_tense,none
addicting,verb,noun,verb,characteristic,none
addicting,verb,adjective,verb,characteristic,none
addicting,verb,noun,noun,numbers,none
addicting,verb,verb,noun,past_tense,none
addicting,verb,verb,noun,present_participle,none
addicting,verb,verb,noun,third_person,none
addiction,noun,noun,noun,none,none
addiction,noun,noun,verb,characteristic,none
addiction,noun,noun,verb,characteristic,characteristic
addiction,noun,adjective,verb,characteristic,none
addiction,noun,noun,noun,numbers,none
addiction,noun,verb,noun,present_participle,none
addiction,noun,verb,verb,none,none
addiction,noun,other,other,not,none
addition,noun,noun,other,none,none
addition,noun,verb,verb,none,none
addition,noun,verb,verb,past_tense,none
addition,noun,verb,verb,present_participle,none
addition,noun,noun,verb,characteristic,none
addition,noun,verb,verb,numbers,none
addition,noun,noun,noun,characteristic,none
addition,noun,adjective,noun,characteristic,none
addition,noun,noun,noun,none,none
addition,noun,noun,noun,numbers,none
addition,noun,adjective,adjective,none,none
addition,noun,other,other,none,none
addition,noun,noun,verb,actions_process,none
adjective,noun,verb,verb,present_participle,none
adjective,noun,noun,verb,actions_process,none
adjective,noun,adjective,verb,characteristic,none
adjective,noun,adjective,adjective,none,none
adjective,noun,noun,noun,none,none
adjective,noun,adjective,noun,characteristic,none
adjective,noun,noun,noun,numbers,none
adjective,noun,noun,noun,actions_process,none
adjourn,verb,adjective,adjective,none,none
adjourn,verb,verb,adjective,present_participle,none
adjourn,verb,noun,noun,none,none
adjourn,verb,noun,noun,present_participle,none
adjourn,verb,verb,verb,none,none
adjourn,verb,verb,verb,present_participle,none
adjourn,verb,noun,verb,present_participle,none
adjourn,verb,other,other,none,none
adjustment,noun,verb,verb,none,none
adjustment,noun,noun,verb,actions_process,none
adjustment,noun,verb,verb,present_participle,none
adjustment,noun,noun,noun,none,none
adjustment,noun,noun,noun,numbers,none
adjustment,noun,verb,noun,present_participle,none
admission,noun,verb,verb,none,none
admission,noun,verb,verb,numbers,none
admission,noun,noun,verb,characteristic,none
admission,noun,verb,verb,past_tense,none
admission,noun,verb,verb,present_participle,none
admission,noun,noun,noun,none,none
admission,noun,noun,noun,numbers,none
admit,verb,verb,verb,none,none
admit,verb,noun,noun,actions_process,none
admit,verb,other,other,none,none
admit,verb,noun,adjective,numbers,none
admit,verb,adjective,adjective,none,none
admit,verb,noun,noun,none,none
admit,verb,adjective,verb,not,characteristic
adolescence,noun,noun,noun,none,none
adolescence,noun,noun,noun,characteristic,none
adolescence,noun,adjective,noun,characteristic,none
adolescence,noun,noun,noun,numbers,none
adolescence,noun,adjective,adjective,none,none
adolescence,noun,noun,adjective,person_object,none
adolescence,noun,noun,adjective,person_object,numbers
adolescence,noun,adjective,adjective,magnitude,none
adolescent,adjective,noun,noun,none,none
adolescent,adjective,noun,noun,characteristic,none
adolescent,adjective,noun,noun,numbers,none
adolescent,adjective,adjective,noun,characteristic,none
adolescent,adjective,verb,verb,present_participle,none
adolescent,adjective,verb,verb,past_tense,none
adolescent,adjective,verb,verb,third_person,none
adolescent,adjective,noun,verb,person_object,none
adolescent,adjective,adjective,adjective,not,none
adolescent,adjective,noun,adjective,actions_process,none
adolescent,adjective,adjective,adjective,none,none
adolescent,adjective,verb,adjective,present_participle,none
adolescent,adjective,adjective,adjective,time,none
adolescent,adjective,adjective,adjective,past_tense,none
adolescent,adjective,noun,adjective,person_object,none
adolescent,adjective,noun,adjective,person_object,numbers
adolescent,adjective,adjective,adjective,magnitude,none
adorable,adjective,adjective,verb,characteristic,none
adorable,adjective,noun,noun,numbers,none
adorable,adjective,noun,noun,none,none
adorable,adjective,adjective,adjective,none,none
adorable,adjective,adjective,noun,actions_process,none
adorable,adjective,adjective,noun,characteristic,none
adorable,adjective,verb,noun,past_tense,none
adorable,adjective,adjective,noun,present_participle,none
adorable,adjective,adjective,verb,not,characteristic
adults,noun,verb,verb,none,none
adults,noun,verb,verb,past_tense,none
adults,noun,adjective,adjective,not,none
adults,noun,adjective,adjective,none,none
adults,noun,noun,adjective,characteristic,none
adults,noun,adjective,adjective,person_object,none
adults,noun,noun,noun,numbers,none
adults,noun,noun,noun,none,none
adults,noun,noun,noun,actions_process,characteristic
adults,noun,adjective,noun,actions_process,none
advance,noun,other,other,none,none
advance,noun,adjective,adjective,none,none
advance,noun,verb,verb,none,none
advance,noun,noun,verb,actions_process,none
advance,noun,verb,verb,present_participle,none
advance,noun,noun,noun,none,none
adventure,noun,noun,verb,actions_process,none
adventure,noun,adjective,verb,present_participle,none
adventure,noun,verb,verb,none,none
adventure,noun,noun,verb,person_object,none
adventure,noun,verb,verb,present_participle,none
adventure,noun,noun,noun,none,none
adventure,noun,adjective,adjective,none,none
adventure,noun,verb,noun,present_participle,none
adventure,noun,adjective,verb,not,characteristic
adventurous,adjective,verb,verb,none,none
adventurous,adjective,adjective,verb,present_participle,none
adventurous,adjective,noun,verb,actions_process,none
adventurous,adjective,adjective,verb,characteristic,none
adventurous,adjective,noun,verb,person_object,none
adventurous,adjective,noun,verb,person_object,numbers
adventurous,adjective,verb,verb,present_participle,none
adventurous,adjective,noun,noun,none,none
adventurous,adjective,noun,noun,numbers,none
adventurous,adjective,adjective,noun,characteristic,none
adverb,noun,noun,noun,actions_process,none
adverb,noun,other,noun,characteristic,characteristic
adverb,noun,noun,noun,numbers,none
adverb,noun,verb,verb,present_participle,none
adverb,noun,noun,verb,actions_process,none
adverb,noun,adjective,verb,characteristic,none
adverb,noun,noun,noun,none,none
adverb,noun,adjective,noun,characteristic,none
adverb,noun,other,other,none,none
adverb,noun,noun,verb,present_participle,none
adverb,noun,verb,verb,third_person,none
adversary,noun,other,other,none,none
adversary,noun,noun,noun,none,none
adversary,noun,adjective,adjective,none,none
advertisement,noun,adjective,adjective,none,none
advertisement,noun,noun,adjective,numbers,none
advertisement,noun,noun,verb,person_object,none
advertisement,noun,noun,verb,person_object,numbers
advertisement,noun,verb,verb,third_person,none
advertisement,noun,verb,verb,present_participle,none
advertisement,noun,noun,verb,actions_process,none
advertisement,noun,noun,adjective,actions_process,none
advertisement,noun,noun,adjective,characteristic,none
advertisement,noun,verb,adjective,actions_process,present_participle
advertisement,noun,verb,verb,none,none
advice,noun,noun,noun,none,none
advice,noun,noun,noun,actions_process,none
advice,noun,noun,noun,present_participle,none
advice,noun,verb,verb,none,none
advice,noun,verb,verb,past_tense,none
advice,noun,verb,verb,third_person,none
advice,noun,verb,verb,present_participle,none
advice,noun,noun,noun,characteristic,none
advice,noun,verb,noun,present_participle,none
advice,noun,noun,verb,actions_process,none
advice,noun,verb,noun,time,none
advice,noun,noun,verb,actions_process,numbers
advise,verb,noun,noun,actions_process,none
advise,verb,noun,noun,none,none
advise,verb,verb,verb,none,none
advise,verb,noun,verb,actions_process,none
advise,verb,adjective,adjective,none,none
advise,verb,noun,adjective,numbers,none
advise,verb,adjective,noun,characteristic,none
affair,noun,verb,verb,none,none
affair,noun,noun,verb,present_participle,none
affair,noun,noun,noun,none,none
affair,noun,noun,noun,numbers,none
affair,noun,noun,verb,characteristic,none
affair,noun,verb,verb,past_tense,none
affair,noun,other,other,none,none
affair,noun,noun,verb,actions_process,characteristic
affirm,verb,verb,verb,none,none
affirm,verb,verb,verb,present_participle,none
affirm,verb,noun,verb,actions_process,none
affirm,verb,verb,verb,past_tense,none
affirm,verb,noun,noun,none,none
affirm,verb,noun,noun,actions_process,none
affirm,verb,adjective,adjective,characteristic,none
affirm,verb,adjective,adjective,none,none
africa,noun,noun,noun,none,none
africa,noun,noun,noun,numbers,none
africa,noun,adjective,adjective,none,none
africa,noun,adjective,adjective,magnitude,none
africa,noun,noun,noun,location,none
after,other,other,other,none,none
after,other,verb,verb,none,none
after,other,verb,verb,present_participle,none
after,other,verb,verb,third_person,none
after,other,adjective,adjective,none,none
after,other,other,adjective,person_object,none
after,other,noun,noun,none,none
again,other,adjective,adjective,characteristic,none
again,other,adjective,adjective,none,none
again,other,other,adjective,characteristic,none
again,other,other,other,none,none
again,other,verb,verb,none,none
again,other,verb,verb,past_tense,none
again,other,other,verb,past_tense,characteristic
again,other,verb,verb,present_participle,none
again,other,noun,noun,none,none
against,other,verb,verb,none,none
against,other,verb,verb,present_participle,none
against,other,noun,verb,actions_process,none
against,other,noun,noun,none,none
against,other,verb,verb,not,none
against,other,verb,verb,not,present_participle
against,other,verb,noun,present_participle,none
against,other,adjective,adjective,none,none
against,other,verb,adjective,present_participle,none
against,other,verb,verb,past_tense,none
against,other,verb,verb,third_person,none
age,noun,adjective,verb,characteristic,none
age,noun,noun,noun,characteristic,none
age,noun,verb,verb,past_tense,none
age,noun,noun,noun,none,none
age,noun,noun,noun,numbers,none
age,noun,adjective,adjective,none,none
age,noun,adjective,adjective,person_object,none
age,noun,noun,adjective,person_object,none
ageless,adjective,noun,noun,none,none
ageless,adjective,noun,noun,numbers,none
ageless,adjective,verb,noun,present_participle,none
ageless,adjective,adjective,noun,characteristic,none
ageless,adjective,adjective,adjective,none,none
ageless,adjective,adjective,adjective,person_object,none
ageless,adjective,adjective,noun,not,none
ageless,adjective,noun,adjective,person_object,none
agency,noun,noun,noun,none,none
agenda,noun,noun,noun,none,none
agenda,noun,noun,noun,actions_process,none
agenda,noun,verb,noun,past_tense,none
agenda,noun,noun,noun,person_object,none
agenda,noun,verb,noun,present_participle,none
agenda,noun,noun,noun,third_person,none
agree,verb,verb,verb,none,none
agree,verb,noun,verb,characteristic,none
agree,verb,verb,verb,present_participle,none
agree,verb,noun,noun,none,none
agree,verb,noun,noun,numbers,none
agree,verb,adjective,adjective,none,none
agree,verb,verb,verb,third_person,none
agree,verb,other,other,none,none
agreement,noun,verb,verb,none,none
agreement,noun,verb,verb,past_tense,none
agreement,noun,verb,verb,present_participle,none
agreement,noun,noun,noun,none,none
agreement,noun,noun,noun,numbers,none
agreement,noun,noun,verb,not,actions_process
agreement,noun,adjective,adjective,none,none
agriculture,noun,noun,noun,numbers,none
agriculture,noun,noun,noun,none,none
agriculture,noun,noun,noun,person_object,none
agriculture,noun,noun,noun,present_participle,none
agriculture,noun,verb,verb,none,none
agriculture,noun,verb,verb,present_participle,none
agriculture,noun,noun,verb,person_object,none
agriculture,noun,verb,noun,present_participle,none
ahead,other,noun,noun,none,none
ahead,other,verb,noun,past_tense,none
ahead,other,other,other,none,none
ahoy,noun,verb,verb,none,none
ahoy,noun,noun,verb,present_participle,none
ahoy,noun,noun,verb,numbers,none
ahoy,noun,other,other,none,none
ahoy,noun,noun,noun,none,none
ahoy,noun,noun,noun,numbers,none
ahoy,noun,noun,noun,present_participle,none
ahoy,noun,noun,noun,person_object,none
ahoy,noun,noun,noun,person_object,numbers
aim,noun,adjective,adjective,none,none
aim,noun,noun,adjective,actions_process,none
aim,noun,noun,noun,none,none
aim,noun,noun,noun,numbers,none
aim,noun,verb,verb,none,none
aim,noun,verb,verb,third_person,none
aim,noun,noun,verb,person_object,none
aim,noun,noun,verb,present_participle,none
air,noun,noun,noun,none,none
air,noun,verb,noun,actions_process,none
air,noun,verb,noun,past_tense,none
air,noun,verb,noun,actions_process,third_person
air,noun,noun,noun,actions_process,present_participle
air,noun,adjective,adjective,none,none
air,noun,noun,noun,characteristic,none
air,noun,verb,noun,characteristic,none
aircraft,noun,noun,noun,none,none
aircraft,noun,noun,noun,numbers,none
aircraft,noun,verb,verb,third_person,none
aircraft,noun,noun,verb,characteristic,none
aircraft,noun,verb,verb,none,none
aircraft,noun,verb,verb,present_participle,none
aircraft,noun,noun,noun,actions_process,none
aircraft,noun,noun,noun,person_object,none
aircraft,noun,noun,noun,third_person,none
airplane,noun,noun,noun,none,none
airplane,noun,noun,noun,numbers,none
airplane,noun,adjective,adjective,none,none
airplane,noun,verb,verb,third_person,none
airplane,noun,verb,verb,none,none
airplane,noun,noun,noun,third_person,none
airplane,noun,adjective,adjective,characteristic,none
airplane,noun,noun,adjective,characteristic,none
airplane,noun,adjective,noun,characteristic,none
airplane,noun,noun,verb,characteristic,none
airplane,noun,verb,verb,past_tense,none
airplane,noun,verb,verb,present_participle,none
airplane,noun,noun,verb,third_person,none
airplane,noun,noun,adjective,numbers,none
airplane,noun,noun,verb,actions_process,none
airplane,noun,other,other,none,none
airplane,noun,noun,noun,person_object,none
airplane,noun,noun,noun,person_object,numbers
airplane,noun,noun,verb,person_object,none
airplane,noun,noun,noun,present_participle,none
airplane,noun,noun,noun,actions_process,none
airplane,noun,verb,noun,third_person,none
airport,noun,noun,noun,none,none
airport,noun,noun,noun,numbers,none
airport,noun,verb,noun,present_participle,none
airport,noun,other,other,none,none
airport,noun,verb,verb,none,none
airport,noun,noun,verb,actions_process,none
airport,noun,noun,noun,person_object,numbers
airshaft,noun,noun,noun,none,none
airshaft,noun,noun,noun,numbers,none
airshaft,noun,noun,verb,actions_process,none
alarm,noun,adjective,adjective,none,none
alarm,noun,verb,adjective,past_tense,none
alarm,noun,verb,adjective,present_participle,none
alarm,noun,verb,adjective,numbers,none
alarm,noun,noun,noun,none,none
alarm,noun,noun,noun,numbers,none
alarm,noun,verb,noun,present_participle,none
alarm,noun,verb,noun,numbers,none
alarm,noun,other,other,none,none
alarm,noun,verb,noun,third_person,none
alarm,noun,verb,noun,location,none
alarm,noun,verb,verb,none,none
alarm,noun,noun,verb,present_participle,none
album,noun,noun,noun,none,none
album,noun,noun,verb,actions_process,none
album,noun,noun,verb,person_object,none
album,noun,verb,verb,present_participle,none
album,noun,verb,verb,numbers,none
album,noun,noun,noun,person_object,none
album,noun,noun,noun,characteristic,none
album,noun,noun,noun,numbers,none
alcohol,noun,noun,noun,none,none
alcohol,noun,noun,noun,numbers,none
alcohol,noun,verb,verb,past_tense,none
alcohol,noun,verb,verb,none,none
alcohol,noun,adjective,verb,actions_process,none
alcohol,noun,noun,verb,person_object,numbers
alcohol,noun,noun,verb,present_participle,none
alcohol,noun,noun,verb,numbers,none
alcohol,noun,adjective,adjective,not,characteristic
alcohol,noun,verb,adjective,not,actions_process
alcohol,noun,adjective,adjective,not,actions_process
alcohol,noun,noun,adjective,not,actions_process
alcohol,noun,adjective,adjective,none,none
alert,adjective,noun,noun,none,none
alert,adjective,adjective,noun,characteristic,none
alert,adjective,adjective,adjective,none,none
alert,adjective,noun,adjective,characteristic,none
alert,adjective,verb,verb,none,none
alert,adjective,noun,verb,present_participle,none
algae,noun,adjective,adjective,none,none
algae,noun,verb,verb,none,none
algae,noun,verb,verb,present_participle,none
algae,noun,verb,verb,third_person,none
algae,noun,noun,verb,person_object,none
algae,noun,noun,noun,none,none
algae,noun,noun,noun,numbers,none
algae,noun,adjective,noun,characteristic,none
alike,adjective,adjective,adjective,none,none
alike,adjective,other,adjective,characteristic,none
alike,adjective,noun,verb,person_object,numbers
alike,adjective,adjective,verb,characteristic,none
alike,adjective,adjective,noun,characteristic,none
alike,adjective,noun,adjective,numbers,none
alive,adjective,adjective,noun,characteristic,none
alive,adjective,noun,noun,characteristic,characteristic
alive,adjective,noun,noun,none,none
alive,adjective,noun,noun,actions_process,present_participle
alive,adjective,noun,noun,numbers,none
alive,adjective,adjective,adjective,none,none
alive,adjective,verb,verb,none,none
alive,adjective,noun,verb,actions_process,none
alive,adjective,verb,verb,present_participle,none
alkaline,adjective,noun,noun,none,none
alkaline,adjective,adjective,noun,characteristic,none
alkaline,adjective,adjective,adjective,none,none
alkaline,adjective,noun,noun,numbers,none
alkaline,adjective,noun,adjective,numbers,none
alkaline,adjective,noun,adjective,person_object,none
all,adjective,adjective,adjective,none,none
all,adjective,other,adjective,characteristic,none
all,adjective,noun,adjective,characteristic,none
all,adjective,verb,verb,past_tense,none
all,adjective,verb,verb,present_participle,none
all,adjective,adjective,verb,characteristic,none
all,adjective,verb,verb,none,none
all,adjective,adjective,verb,past_tense,none
all,adjective,noun,noun,none,none
allegiance,noun,noun,verb,actions_process,none
allegiance,noun,verb,verb,past_tense,none
allegiance,noun,noun,noun,none,none
