ticknumb,gender,day1,day2,day3
3250,Male,1.47,,
3251,Female,1.79,0.47,
3253,Male,2,,
3254,Female,0.76,,
3255,Male,2.2,,
3256,Female,0.94,0.17,
3257,Female,1.38,,
3258,Female,1.38,0.85,
3260,Male,0.32,,
3261,Male,2.58,,
3262,Male,0.51,,
3264,Female,0.32,,
3267,Female,0.91,1.11,1.7
3273,Male,1.51,,
3275,Female,1.47,,
3276,Female,2.5,,
3277,Female,2.26,,
3278,Female,2.81,,
3279,Female,1.87,,
3281,Female,2,,
3282,Female,2.23,0.41,1.02
3284,Male,2,0.76,
3290,Female,1.41,,
3291,Male,1.64,,
3292,Male,1.64,,
3296,Male,1.26,,
3306,Female,1.52,0.55,1.88
3307,Male,2.44,1.02,0.76
3308,Female,2.18,,
3309,Female,3.02,,
3310,Female,1.02,,
3311,Female,2.88,,
3312,Male,1.54,,
3313,Female,1.64,,
3314,Female,2.44,2.5,1.7
3315,Female,1.29,,
3316,Female,1.61,0.32,0.26
3321,Female,1.77,,
3325,Male,0.91,0.17,
3326,Female,0.85,0.2,0.38
3327,Male,0.85,0.52,0.44
3328,Female,1.5,,
3329,Male,1.05,0.23,
3338,Female,3.38,,
3340,Female,1.42,0.52,2
3341,Female,1.85,,
3348,Female,1.91,0.84,
3349,Male,0.82,0.26,
3350,Female,1.32,0.76,
3351,Female,2.23,0.85,0.39
3352,Female,1.47,1.52,0.17
3363,Female,2.7,,
3365,Male,1.58,,
3366,Male,1,,
3367,Female,1.44,,
3368,Female,2,,
3369,Male,1.6,,
3370,Female,2.32,2.53,1.67
3371,Female,3.41,,
3372,Female,2.02,,
3373,Male,0.64,0.52,
3374,Male,3.58,3.35,
3375,Male,1.5,,
3376,Male,1.08,,
3377,Female,1.52,,
3378,Male,1.26,,
3379,Female,1.68,,
3380,Male,1.47,1.08,0.58
3390,Female,1.47,,
3391,Female,1.67,1.55,
3392,Female,2.47,1.97,
3393,Male,1.82,,
3394,Female,2.17,,
3395,Female,3.21,,
3397,Female,1.6,1.38,1.02
3398,Female,0.32,,
3407,Female,0.55,,
3411,Female,1.42,,
3412,Male,1.14,,
3413,Female,2.64,,
3416,Female,2.58,,
3418,Female,2.02,,
3419,Male,2,,
3420,Female,2.9,,
3423,Male,1.82,,
3429,Female,0.5,,
3431,Male,1.53,,
3449,Female,2.48,,
3450,Female,2.05,,
3453,Male,2.52,,
3454,Female,1.88,,
3455,Male,2.73,,
3456,Female,2.88,,
3457,Female,1.67,,
3458,Female,1.93,,
3460,Female,1.67,,
3461,Male,1.2,,
3464,Female,2.75,,
3467,Female,1.94,0.97,
3468,Female,0.59,,
3469,Female,1.5,,
3477,Male,1.58,0.94,0.94
3480,Female,2.23,0.11,0.17
3483,Female,2.35,,
3490,Female,2.55,0.82,0.29
3493,Male,1.55,,
3494,Female,2.31,,
3495,Male,2.23,,
3500,Female,0.67,0.5,
3501,Male,2.51,,
3503,Male,1.08,0.58,0.61
3510,Female,2.44,,
3511,Female,0.23,0.14,
3512,Female,2.17,,
3518,Male,1.9,1.17,
3519,Female,1.67,0.44,
3521,Female,2,0.58,0.52
3522,Female,2.44,,
3523,Male,1.44,,
3524,Male,0.82,,
3525,Female,2.5,,
3526,Male,1.82,,
3536,Female,1.97,,
3539,Female,2.52,,
3540,Female,0.05,,
3542,Female,2.08,,
3545,Female,2.39,,
3546,Male,1.45,0.82,
3551,Male,2.58,,
3557,Female,2.12,,
3565,Female,2.02,0.76,0.55
3567,Male,1.78,1.14,0.44
3568,Male,0.73,0.17,0.76
3569,Female,2.26,0.9,1.85
3570,Female,2.79,,
3571,Male,0.43,0.67,0.14
3572,Male,0.52,0.38,0.7
3573,Female,2.32,,
3574,Male,2.22,,
3575,Male,0.58,,
3576,Male,2,,
3577,Female,0.7,,
3586,Male,1,,
3587,Male,0.3,,
3588,Male,1.52,,
3593,Female,1.58,0.35,
3594,Male,2.34,,
3595,Female,0.79,,
3596,Female,2.26,,
3597,Male,2.35,,
3598,Female,1.7,,
3599,Female,3.09,,
3600,Female,1.52,,
3601,Female,0.35,,
3602,Female,2.7,,
3603,Female,1.64,,
3605,Male,0.82,,
3606,Male,2.73,,
3607,Female,2.23,,
3609,Female,1.06,,
3610,Male,2.05,0.2,0.35
3613,Female,1.73,1.44,
3614,Female,0.93,0.91,
3620,Female,2.5,2.44,
3621,Male,1.44,,
3622,Female,2.88,,
3625,Female,0.67,0.23,0.44
3626,Male,1.85,0.35,
3627,Female,1.21,0.79,
3628,Male,1.06,0.76,0.7
3629,Male,0.61,0.26,0.33
3631,Female,2,,
3634,Female,1.17,0.73,1.17
3635,Female,1.48,0.79,1.55
3645,Female,1.55,,
3646,Female,3.29,,
3647,Male,1.47,,
3648,Male,0.96,,
3649,Male,1,1.11,1.2
3652,Male,1.47,,
3653,Female,2.55,2.38,
3654,Female,0.44,0.06,
3655,Female,2.35,2.41,
3656,Female,1.71,0.85,
3659,Male,1.84,0.58,0.7
3660,Female,1.11,0.23,0.55
3667,Female,1.38,,
3669,Male,0.88,,
3670,Female,0.94,,
3672,Female,1.91,,
3676,Male,2.76,,
3677,Male,1.55,0.32,0.47
3678,Male,2.67,,
3680,Female,1.03,0.29,0.72
3696,Female,2.5,,
3697,Male,1.64,,
3698,Female,2.26,,
3709,Female,2.14,,
3710,Male,0.52,,
3711,Male,1.08,,
3712,Male,1.69,,
3713,Male,2.73,,
3714,Male,1.91,,
3715,Male,1.73,,
3716,Female,3.21,,
3717,Female,2.11,,
3718,Female,2.05,,
3719,Male,2.17,,
3720,Female,2.17,,
3721,Female,2.3,,
3722,Female,2.56,,
3723,Female,2.11,0.41,0.47
3724,Male,1.7,,
3725,Female,1.23,,
3726,Female,3.2,,
3727,Female,2.02,,
3728,Female,2.64,,
3729,Male,2.52,0.14,
3730,Male,1.61,,
3731,Male,1.5,1.2,0.91
3734,Male,1.15,0.45,0.44
3736,Male,1.82,,
3753,Female,1.5,,
3754,Female,2.32,,
3759,Female,2.92,,
3764,Male,1.41,,
3769,Male,1.35,,
3778,Male,0.61,0.14,
3779,Female,0.73,,
3782,Female,2.23,1.88,
3783,Female,1.32,0.91,
3784,Female,2.94,1.79,
3785,Male,1.61,,
3786,Female,1,,
3787,Female,3.15,3,
3788,Female,2.88,,
3791,Female,2.09,1.21,
3792,Female,1.32,1.7,2.29
3793,Male,1.47,0.35,
3794,Male,1.61,,
3796,Male,2.2,1.5,1.88
3797,Female,2.78,,
3798,Female,2.06,,
3799,Female,0.47,,
3804,Female,2.87,,
3826,Male,1.14,,
3828,Female,3.32,3.21,
3831,Female,2.08,1.38,
3836,Female,2.38,2.5,
3837,Female,2.08,,
3838,Male,1.85,,
3840,Male,1.38,,
3844,Male,1.14,,
3846,Male,1.58,,
3849,Male,1.23,0.7,1.02
3850,Female,2.53,,
3851,Male,0.67,,
3854,Female,0.73,,
3855,Female,1.34,,
3856,Female,2.14,0.7,
3857,Female,1,,
3858,Male,1.35,,
3859,Male,1.94,0.79,
3860,Male,0.5,,
3869,Female,3.08,,
3870,Female,2.88,,
3871,Female,1.91,,
3872,Male,1.41,,
3873,Male,2.02,,
3874,Female,0.76,,
3875,Male,1.94,,
3876,Male,0.67,0.28,
3879,Female,2.41,,
3880,Female,2.17,,
3882,Female,2.67,0.41,
3883,Male,1.94,0.64,
3888,Female,2.05,0.85,1.7
3890,Male,2.17,,
3909,Male,0.47,,
3912,Male,0.62,0.76,
3913,Female,2,,
3914,Male,0.45,,
3916,Female,2.29,0.91,1.38
3917,Female,2.55,,
3918,Female,0.82,,
3919,Female,3.12,2.2,
3920,Male,2.5,2.23,0.41
3921,Male,1.79,,
3922,Female,2.28,,
3923,Male,0.58,1.05,0.58
3924,Female,2.5,1.29,
3925,Female,1.41,,
3926,Female,2.14,,
3927,Male,0.76,0.26,
3929,Male,1.79,1.11,
3930,Male,1.02,0.35,
3932,Female,2.62,,
3942,Male,0.88,,
3944,Male,1.58,0.2,0.2
3945,Female,2.2,,
3946,Female,1.14,,
3947,Male,1.47,0.52,0.35
3948,Female,1.41,0.23,0.38
3949,Male,1.44,1.76,1.18
3950,Female,1.23,1.17,
3951,Female,1.82,,
3952,Female,2.44,,
3954,Female,1.94,1.2,
3955,Male,2.41,,
3964,Female,2.27,,
3965,Male,1.79,0.23,
3966,Male,1.88,,
3972,Male,1.85,0.64,1.32
3973,Female,2.21,,
3986,Male,1.97,1.94,
3987,Female,2.51,,
3988,Female,2.05,,
3989,Female,1.29,1,0.82
3990,Female,2.05,,
3991,Female,2.23,,
3992,Female,1.76,,
3993,Male,1.05,,
3994,Male,1.79,,
3995,Female,1.02,0.73,0.47
3996,Female,2.76,1.58,
3997,Female,1.67,0.55,
4010,Male,2.85,,
4011,Female,0.23,0.84,
4012,Female,1.9,,
4013,Male,1.23,0.52,
4014,Male,1.97,,
4015,Female,1.5,,
4016,Female,3.69,,
4017,Female,0.5,,
4022,Female,2.18,,
4023,Female,2.17,,
4024,Female,1.58,,
4025,Male,2.88,,
4030,Male,2.52,,
4032,Female,2.2,,
4033,Male,1.73,,
4034,Female,2.23,,
4079,Male,1.97,,
4089,Male,1.2,0.67,0.91
4090,Male,2,,
4092,Female,1.91,,
4093,Male,0.81,,
4095,Female,1.31,,
4096,Female,0.38,,
4101,Female,1.97,,
4104,Female,0.38,,
4105,Female,2.11,0.76,0.85
4106,Female,3.2,,
4107,Female,0.02,,
4109,Female,2.56,,
4110,Female,2.02,,
4111,Female,2.3,,
4114,Male,2.02,,
4147,Female,2.05,,
4148,Female,1.7,,
4149,Male,1.61,,
4150,Male,0.73,,
4151,Male,2.5,1.64,
4152,Female,2.18,1.75,1.91
4153,Female,2.46,1.08,1.91
4154,Female,1.5,0.91,
4155,Female,1.73,0.94,
4156,Male,1.44,,
4157,Male,1.64,0.32,0.52
4158,Female,20.02,2.44,
4159,Female,1.2,0.17,0.2
4160,Male,0.38,0.02,
4161,Female,1.58,1.54,1.76
4162,Female,1.67,0.5,
4163,Female,1,0.48,
4164,Female,2.58,1.35,
4165,Female,2.82,2.61,3.02
4166,Female,2.29,2.05,
4167,Female,1.14,,
4168,Female,1.64,0.76,
4171,Female,1.82,0.08,
4172,Female,3.32,2.91,3.02
4193,Male,3.32,,
4194,Male,1.85,1,1.5
4195,Male,2.29,,
4196,Female,1.47,0.47,1.58
4197,Male,2.08,0.7,0.67
4198,Male,2.2,,
4199,Female,1.06,1.45,
4216,Female,0.97,0.14,0.02
4218,Male,2,,
4219,Female,1.67,0.38,
4220,Female,2.94,,
4221,Female,1.55,,
4222,Male,0.88,0.26,
4223,Female,1.35,2.32,
4224,Female,0.61,0.2,0.17
4225,Male,1,,
4226,Female,1.52,2.72,0.52
4234,Male,1,,
4235,Male,1.76,0.41,0.88
4236,Female,2.52,,
4237,Female,2,0.88,1.44
4238,Female,2.63,,
4239,Female,0.73,0.85,
4240,Male,1.58,0.23,1.66
4241,Female,0.58,,
4245,Female,1.67,,
4247,Female,1.47,,
4249,Female,1.81,,
4256,Male,1.91,,
4257,Male,1.06,,
4259,Male,1.47,1.23,0.94
4262,Male,2.52,,
4263,Female,1.85,0.2,
4264,Male,3.44,,
4265,Female,1.55,1.32,1.19
4266,Female,2.29,2.7,
4267,Female,1.76,,
4268,Male,1.9,,
4269,Male,2.52,2.55,
4271,Female,2.52,,
4274,Female,2.82,0.17,
4281,Female,2.02,,
4284,Female,1.29,,
4285,Male,1.26,,
4287,Female,0.94,,
4291,Female,2,1.13,0.53
4292,Female,0.73,,
4294,Male,2.26,0.79,
4295,Female,2.23,,
4297,Male,2.35,,
4298,Female,0.55,0.38,
4301,Female,1.85,,
4302,Male,0.67,,
4305,Male,1.85,1,
4306,Male,1.23,0.2,
4308,Female,2.35,,
4309,Male,1.35,,
4310,Female,1.94,,
4311,Male,1.55,,
4312,Female,1.29,,
4313,Male,2.17,,
4314,Female,1.91,,
4333,Female,2.88,,
4334,Female,2.36,,
4335,Female,2.36,,
4336,Female,2.2,,
4349,Female,2.17,0.47,0.38
4351,Male,0.52,,
4352,Male,0.32,,
4353,Female,1.52,0.55,
4354,Male,2,0.94,0.08
4355,Male,1.32,1.02,1.2
4356,Female,2.05,,
4357,Female,1.73,,
4358,Male,1.94,,
4359,Female,1.81,,
4360,Male,0.9,0.64,
4361,Male,1.58,0.67,
4363,Female,2.29,1.87,0.91
4366,Female,2.57,,
4370,Female,1.58,,
4382,Female,2.33,0.82,
4383,Female,3.15,,
4384,Female,2.29,,
4385,Female,0.82,,
4386,Female,1.93,,
4387,Female,1.82,,
4388,Female,1.96,,
4389,Female,1.32,0.64,0.47
4391,Female,1.02,,
4392,Female,1.14,,
4393,Female,2.32,,
4394,Male,2.16,,
4396,Female,2.42,1.7,
4397,Female,1.14,,
4398,Male,1.55,0.79,1.76
4404,Female,1.17,,
4405,Female,1,0.58,0.32
4410,Female,1.05,0.11,
4419,Female,1.38,,
4428,Female,1.93,2.42,
4430,Female,2.73,,
4435,Female,2.02,,
4436,Female,2.81,,
4437,Female,2.47,,
4439,Male,1.35,,
4440,Male,2.08,,
4441,Female,2.5,,
4442,Female,2.45,,
4443,Female,2.17,,
4444,Male,1.7,0,
4445,Male,0.7,0.23,0.45
4446,Male,1.51,,
4447,Female,1.23,,
4448,Female,2.14,0.85,
4452,Male,1.14,1.14,
4453,Female,0.96,,
4454,Male,1.52,1.14,1.26
4455,Male,0.52,,
4456,Male,1.56,,
4459,Female,3.29,0.26,
4464,Male,0.45,,
4467,Female,2.63,,
4468,Female,1.7,,
4470,Male,3.11,,
4479,Female,1.82,,
4481,Female,1.58,0.14,
4482,Female,2.73,,
4485,Female,1.5,1.14,
4486,Male,1.78,1.02,
4488,Female,2.02,,
4507,Male,0.67,0.94,0.91
4509,Female,1.41,0.55,
4510,Male,0.9,,
4511,Female,1.23,1.11,0.76
4512,Female,2.7,,
4514,Female,1.97,,
4515,Male,0.84,,
4516,Male,1.79,,
4517,Female,2.84,,
4518,Male,2.02,,
4519,Male,1.64,0.7,
4525,Female,1.08,,
4533,Female,2.97,,
4552,Female,0.94,,
4553,Female,2.97,1.94,
4554,Female,0.97,,
4555,Male,1.47,,
4559,Female,2.61,,
4563,Female,1.73,0.2,0.91
4564,Female,3.38,3.44,3.41
4569,Male,3.17,1,1.73
4570,Female,2.2,0.91,
4571,Female,2.14,,
4582,Male,1.29,1.58,0.81
4590,Female,3.21,2.85,
4597,Male,2.67,,
4598,Male,1.85,0.79,
4601,Female,1.35,,
4607,Female,2.14,0.76,
4611,Male,1.24,0.56,
4654,Female,2.02,1.78,2.55
4655,Female,2.32,,
4663,Male,1.08,0.23,
4666,Male,1.14,1.35,1.02
4690,Female,2.14,1.82,
4692,Female,2.88,,
4693,Male,1.35,0.17,0.44
4694,Male,1,1.7,
4695,Male,2.02,,
4696,Female,0.64,1.32,
4697,Male,0.29,0.14,
4698,Female,1.73,0.94,
4699,Female,1.82,1.52,
4704,Female,2.11,,
4710,Female,1.23,,
4711,Male,0.64,,
4724,Male,2.23,1.41,2.11
4725,Female,2.44,0.32,
4740,Male,1.17,0.58,
4744,Female,0.61,0.44,
4749,Female,0.52,,
4756,Female,2.91,0.94,
4758,Female,2.61,1.44,
4759,Female,1.47,,
4760,Male,1.28,,
4765,Female,1.26,,
