v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,SDQ2N01,SDQ2N13,SDQ2N25,SDQ2N37,SDQ2N04,SDQ2N16,SDQ2N28,SDQ2N40,SDQ2N10,SDQ2N22,SDQ2N34,SDQ2N46,SDQ2N07,SDQ2N19,SDQ2N31,SDQ2N43,MASTENG1,MASTMAT1,TENG1,TMAT1,SENG1,SMAT1
2,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,2,3,2,6,6,6,5,6,6,6,2,6,5,6,6,5,6,6,37,12,6,10,8,9
3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,40,17,10,10,10,10
3,3,4,3,3,4,3,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,6,6,6,5,5,5,5,6,5,6,5,6,6,6,6,6,40,13,4,10,8,10
3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,4,4,4,4,4,4,4,3,5,5,4,5,5,5,5,5,2,6,6,6,6,6,39,15,4,9,6,9
2,2,2,2,3,3,2,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,2,3,4,5,5,4,4,5,5,4,5,6,5,2,4,5,5,5,39,13,6,4,9,9
4,4,4,4,4,3,2,3,4,2,4,3,3,3,3,4,4,3,3,2,3,3,3,2,6,6,6,5,4,5,5,4,3,6,2,5,4,5,5,6,38,12,2,4,7,8
4,4,4,4,4,4,3,3,3,3,4,3,4,3,4,4,3,3,3,4,4,3,3,3,6,6,6,6,4,6,6,6,4,6,3,6,6,6,6,6,36,15,6,6,10,10
4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3,3,4,3,3,3,4,3,3,6,6,6,4,6,5,4,6,6,6,2,6,6,6,6,6,40,16,3,3,7,6
3,3,4,4,3,2,4,4,2,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,5,4,6,4,5,4,2,5,5,6,1,6,6,5,5,5,40,15,6,9,9,10
3,3,4,3,4,3,3,3,3,3,3,3,4,3,1,3,3,3,4,3,3,3,4,3,6,5,5,6,5,6,4,5,4,3,3,6,6,5,5,6,31,16,6,9,6,9
4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,1,3,3,6,5,4,6,3,6,4,5,6,6,3,6,3,5,5,5,39,15,4,6,8,7
3,4,4,4,4,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,5,6,6,5,6,6,6,6,5,6,5,5,6,6,6,6,39,14,4,6,6,9
1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,1,1,1,1,4,1,1,3,3,1,1,4,4,6,1,1,1,1,1,38,9,4,1,8,3
4,2,4,4,4,3,2,2,3,2,3,3,4,3,4,3,2,3,4,3,3,2,3,3,5,6,6,5,3,5,4,6,5,6,6,6,6,6,6,6,39,11,2,1,6,9
1,2,2,2,3,2,3,2,4,3,4,3,4,4,3,3,2,3,1,2,2,3,2,2,1,4,3,3,3,4,6,5,5,6,2,6,3,3,4,5,39,13,9,6,9,6
4,2,3,3,3,3,3,3,3,3,4,3,4,3,4,4,2,4,3,3,3,3,3,3,5,4,6,5,6,5,6,6,3,6,5,5,6,6,6,6,37,14,10,9,8,9
4,4,4,4,4,3,4,2,2,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,6,6,6,3,3,5,3,4,3,6,3,6,3,4,1,5,37,12,5,6,7,6
2,2,3,2,3,3,2,2,4,2,3,2,3,3,2,2,2,3,1,2,3,3,3,2,5,5,6,4,5,3,3,5,6,6,4,4,5,5,5,5,21,11,7,8,6,8
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,5,6,6,6,6,5,6,6,6,6,5,6,6,5,6,6,40,19,10,10,8,10
3,4,3,3,3,3,2,2,3,3,2,2,2,2,1,2,2,2,3,2,2,3,3,2,3,6,5,5,2,4,4,4,3,5,3,3,4,5,4,5,35,12,3,2,5,8
4,4,4,4,4,4,2,2,3,3,3,2,4,3,4,4,2,4,3,2,2,2,3,2,5,6,6,6,4,3,6,6,5,6,3,6,4,4,5,3,39,16,9,8,8,8
2,2,2,2,3,2,2,1,2,2,3,1,4,2,3,3,2,3,3,1,1,2,1,1,2,2,5,2,2,2,2,2,2,5,6,5,1,1,1,1,39,9,7,4,6,4
3,3,3,2,2,3,4,4,2,3,4,1,4,4,4,4,2,4,4,4,1,3,2,3,5,4,5,5,5,5,6,6,6,6,4,6,4,6,6,5,40,15,10,9,9,9
4,4,4,4,4,2,3,2,3,3,3,3,3,4,3,3,3,3,2,3,2,2,3,3,6,6,6,5,4,4,3,5,3,6,4,5,1,5,5,5,39,12,7,9,7,9
2,2,4,3,1,2,4,1,4,4,4,4,4,4,2,1,2,3,2,3,1,2,2,2,4,6,4,5,5,4,5,3,4,4,1,5,4,1,4,6,38,12,7,9,6,9
3,2,4,4,4,2,3,4,3,1,2,2,2,2,3,3,2,2,2,3,2,2,2,2,6,2,6,4,2,3,5,5,3,5,1,5,2,5,2,2,36,13,7,5,6,5
4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,2,2,4,3,3,4,3,4,5,4,6,6,6,4,5,5,4,6,3,5,5,5,6,5,24,15,6,5,6,8
4,4,4,4,4,3,3,2,3,2,4,3,4,3,4,4,4,4,3,3,2,3,2,3,6,2,6,3,3,4,5,5,5,2,6,6,3,2,3,5,39,11,8,7,9,7
4,4,4,4,4,3,2,2,2,4,3,2,3,3,3,3,3,3,4,2,2,4,3,4,4,6,6,6,6,3,4,3,5,6,6,6,1,1,4,2,22,11,5,4,6,5
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,38,16,10,10,8,9
3,3,3,3,3,3,3,4,4,3,3,2,4,4,4,4,1,3,3,3,3,2,2,3,2,5,5,5,4,4,5,6,5,6,5,6,2,4,5,5,40,16,7,8,9,7
3,2,3,2,2,3,3,2,2,1,3,2,2,2,3,3,3,2,3,2,3,2,2,3,3,6,4,4,3,4,4,5,5,6,5,6,4,3,5,5,37,15,6,5,7,6
4,4,4,4,4,3,3,2,3,3,3,2,2,3,2,2,2,3,3,2,3,2,3,2,6,6,6,6,3,5,5,5,3,5,2,3,6,5,5,5,35,17,4,7,8,7
2,2,2,2,2,2,3,3,3,3,3,2,3,4,3,3,3,2,3,4,3,3,3,3,3,6,5,5,5,5,5,6,4,6,4,6,5,3,5,6,39,16,9,9,8,8
3,4,3,3,2,2,1,2,2,3,3,2,3,4,1,2,3,2,1,2,1,1,1,1,2,3,4,3,2,3,4,2,5,6,1,6,1,2,1,1,39,9,5,4,6,2
3,1,2,1,4,4,3,4,4,1,1,4,1,1,1,4,1,4,4,4,4,3,1,1,3,1,6,6,5,5,5,6,3,6,1,1,6,5,6,4,36,16,7,7,6,9
1,1,3,2,2,2,1,1,3,2,2,3,3,3,1,1,2,2,3,3,3,3,3,3,3,1,6,3,1,5,4,4,4,6,1,6,5,6,5,6,40,15,9,9,6,7
3,2,4,4,2,3,4,4,3,3,4,3,3,4,4,4,2,3,4,4,3,3,1,3,3,5,5,5,4,5,6,4,2,6,2,6,5,6,6,5,40,16,6,5,7,8
2,3,4,3,3,3,3,3,3,2,3,3,4,4,4,4,4,3,2,2,2,3,2,2,5,6,6,5,5,4,5,6,5,6,2,6,3,4,4,4,39,13,8,7,9,6
2,3,3,3,3,4,2,3,2,3,4,4,1,2,2,2,4,2,4,4,4,2,3,2,3,5,5,4,4,5,5,4,4,5,1,2,6,6,6,6,20,13,8,9,7,10
3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,5,4,4,6,6,5,5,4,5,3,6,4,5,5,6,38,13,8,8,7,9
4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,4,4,5,6,6,6,6,5,6,6,5,6,5,6,6,6,6,6,39,18,9,9,9,10
3,3,3,3,3,2,3,3,3,2,3,2,2,2,3,2,2,2,4,4,4,3,3,4,5,2,5,5,5,5,5,6,3,6,2,1,6,6,6,6,29,16,5,6,5,10
1,1,1,1,1,3,2,1,3,2,2,3,4,3,3,4,3,3,2,2,2,3,3,2,1,3,1,5,4,1,1,4,5,6,6,6,1,1,1,6,32,15,5,6,8,4
4,3,3,3,3,3,4,4,3,3,4,3,4,4,4,3,2,4,4,4,3,3,2,4,5,6,6,4,6,6,6,6,6,6,5,6,6,6,6,6,40,20,9,9,9,9
3,2,3,3,4,2,3,2,4,2,3,3,3,2,2,2,2,3,3,3,4,4,3,4,5,4,6,5,3,6,5,5,5,4,6,4,5,5,5,5,38,15,6,5,7,8
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,3,4,6,6,6,2,4,6,5,6,6,6,5,6,6,6,6,6,21,16,7,6,9,10
1,2,2,3,2,2,3,2,1,2,4,2,3,3,4,3,3,2,3,3,3,3,3,3,2,3,2,2,5,2,1,3,3,3,2,5,5,6,6,6,34,11,5,5,5,9
2,2,3,2,2,3,3,3,3,3,4,3,4,4,3,4,3,3,4,3,3,4,3,3,3,4,3,4,6,5,5,6,6,6,3,6,6,6,6,6,40,15,9,9,8,9
4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,3,4,5,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,37,14,9,9,9,9
2,2,3,2,2,3,3,3,3,3,3,3,4,4,3,3,3,2,2,2,1,3,2,2,3,5,5,6,3,5,5,5,5,6,3,6,1,2,5,5,39,13,6,6,8,6
3,3,3,3,3,3,4,3,3,2,3,4,3,4,2,3,3,3,4,4,4,4,4,4,5,5,6,5,6,5,6,6,5,6,4,6,6,6,6,6,35,13,6,8,6,9
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,40,20,9,10,9,10
4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,3,3,2,3,2,3,3,3,5,6,6,6,5,5,5,6,5,6,6,6,5,4,5,5,31,1,6,6,10,8
3,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,5,6,5,6,5,6,6,6,6,6,5,6,6,6,6,6,38,17,8,8,10,9
3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3,4,4,5,6,6,6,6,6,5,6,5,6,6,6,5,4,5,6,35,14,9,9,9,8
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,6,5,6,6,6,6,6,6,6,2,6,5,5,6,6,38,15,8,8,9,8
3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,3,3,2,2,2,3,3,3,5,6,5,5,6,6,5,6,5,6,3,6,2,5,5,6,40,16,9,9,9,9
4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,3,3,3,4,4,4,4,4,4,5,6,6,5,6,5,6,6,5,6,4,6,6,6,6,6,39,15,7,7,7,9
4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,6,6,6,5,5,4,5,6,5,6,6,6,4,6,6,5,40,17,8,8,9,9
1,1,1,1,3,1,3,4,4,3,4,3,4,4,2,2,3,3,4,4,4,4,4,4,3,2,4,5,6,6,6,6,5,3,4,6,6,6,6,6,40,16,8,8,6,8
4,2,4,4,4,4,3,3,2,2,3,3,2,3,3,3,3,3,4,4,3,4,2,3,5,6,6,6,5,5,5,5,4,6,2,5,6,6,6,6,31,15,6,7,7,9
4,4,4,4,4,4,2,4,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,3,5,6,6,5,4,4,4,5,4,5,5,5,4,5,4,6,39,16,9,9,8,9
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,2,2,3,5,5,4,5,5,5,5,5,2,4,6,5,6,6,38,15,9,9,6,9
2,1,2,2,2,2,2,2,2,2,2,2,4,4,2,3,2,3,2,2,2,2,2,2,1,3,2,2,6,2,1,1,3,3,3,6,1,1,1,2,35,11,4,2,5,2
2,2,2,2,3,4,2,2,2,2,2,2,3,3,1,3,2,2,3,2,2,1,2,2,4,4,6,5,2,4,3,3,2,4,6,4,6,5,5,6,20,12,3,2,4,8
4,4,4,4,4,3,2,4,2,3,3,3,3,4,3,3,2,3,2,3,3,3,2,3,6,5,5,4,3,4,3,5,3,5,4,6,2,3,3,5,40,15,5,5,6,6
3,2,3,2,2,2,2,3,2,3,3,2,1,2,4,3,2,2,2,2,3,2,2,2,3,3,5,4,3,4,4,4,3,6,3,2,3,2,5,6,39,16,4,5,8,8
3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,6,4,5,3,6,4,6,5,6,2,3,4,5,4,6,39,16,8,7,8,8
3,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,5,5,4,5,5,4,5,6,6,6,5,6,5,6,6,6,40,17,10,9,10,9
3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,6,6,5,6,5,6,6,5,6,2,6,6,5,6,6,30,17,9,9,8,9
4,4,4,4,4,3,3,3,3,3,4,3,4,4,3,3,3,2,3,3,4,3,3,4,4,6,6,5,6,6,5,6,5,6,3,6,5,6,5,6,40,18,5,6,8,9
2,4,3,4,3,2,2,3,2,2,3,2,4,3,3,2,3,2,1,2,2,2,2,1,4,1,6,4,3,3,3,4,1,4,4,6,1,1,1,2,32,9,1,4,8,1
1,2,1,2,1,3,3,4,4,3,4,3,4,4,4,4,3,4,2,2,1,1,1,2,4,5,3,5,4,6,5,5,6,6,2,6,2,1,3,2,40,16,5,5,8,5
2,2,2,2,2,3,1,1,2,2,3,3,3,3,3,4,3,3,2,1,3,2,3,3,2,3,3,4,5,4,4,5,6,5,2,6,3,4,4,5,35,14,7,6,8,8
3,3,4,2,3,2,2,3,2,1,3,2,2,3,2,2,1,2,2,3,2,2,1,2,5,2,5,5,1,5,4,5,5,6,1,6,2,1,1,2,33,11,4,4,7,6
4,4,4,4,4,4,2,3,3,2,3,4,3,4,2,2,4,2,4,2,4,4,4,4,4,6,5,5,1,5,6,6,5,6,1,6,6,5,5,6,37,17,5,4,8,9
4,3,4,4,4,4,3,4,3,2,3,3,4,4,4,4,2,3,4,3,3,2,3,2,5,5,6,5,5,5,5,6,5,6,3,6,3,5,5,5,39,15,7,6,9,8
4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,6,6,6,5,5,4,4,6,4,5,2,6,5,4,5,5,38,16,6,6,8,9
4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,38,15,7,6,9,8
3,4,4,4,4,3,3,3,3,2,3,3,4,3,4,4,2,3,4,4,4,4,3,4,3,6,6,4,3,4,3,6,4,6,6,6,5,6,6,6,38,17,9,9,8,9
2,2,2,1,3,2,2,3,1,3,2,2,3,2,3,2,2,3,2,3,1,3,2,3,2,2,2,5,1,2,3,5,3,4,2,4,4,3,2,3,23,13,5,3,4,5
4,4,4,4,4,4,3,4,3,4,3,2,4,4,1,1,1,2,3,4,4,4,3,4,6,6,6,4,5,3,4,6,3,3,2,6,6,6,6,6,37,17,5,9,7,10
3,4,3,2,3,4,4,4,3,2,4,3,3,4,3,3,3,3,4,4,3,3,3,4,5,6,5,5,4,4,5,6,4,6,4,5,6,6,6,6,39,13,8,7,7,9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,4,3,3,3,3,5,5,5,4,4,4,4,5,3,4,4,5,5,5,5,5,38,16,8,6,5,8
3,3,3,4,4,2,2,4,2,2,2,2,4,3,2,2,3,2,4,2,1,2,2,2,6,6,6,2,3,4,3,5,4,5,5,5,1,1,1,3,38,13,5,7,7,4
3,3,3,3,3,4,4,4,3,2,4,4,4,4,4,4,3,4,3,4,3,4,3,4,6,6,5,6,6,6,6,5,6,6,6,6,5,5,5,5,39,17,9,7,9,8
4,3,3,3,3,3,2,2,2,2,3,2,4,3,3,3,2,2,2,2,2,2,2,2,6,5,6,5,5,5,3,5,5,4,4,6,1,1,4,4,36,13,4,4,6,6
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,6,6,6,6,6,6,5,6,5,6,5,6,6,6,6,6,38,18,7,6,8,10
3,2,3,3,2,3,2,2,2,2,3,2,2,1,1,2,3,2,2,2,2,2,3,2,4,4,4,5,3,3,3,3,4,4,2,1,6,4,5,4,35,16,6,4,6,7
4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,3,4,1,1,1,3,1,1,5,6,6,6,3,3,1,6,6,6,6,6,3,1,1,4,39,15,5,2,8,6
4,4,1,3,2,3,3,4,2,4,3,1,4,4,3,3,4,2,1,4,4,4,2,2,4,6,6,4,4,3,3,4,6,6,4,6,1,1,1,2,37,9,4,1,10,2
3,2,2,3,4,3,2,3,2,3,3,1,4,4,4,4,4,4,1,2,2,2,2,2,5,3,3,4,2,2,5,3,4,3,5,6,1,6,2,5,27,11,5,1,6,5
3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,4,3,4,4,3,3,5,6,5,4,5,4,3,4,3,3,3,5,6,5,5,6,36,17,6,7,6,9
3,4,4,4,4,3,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,6,2,5,6,2,4,4,5,4,5,5,5,4,2,6,5,32,14,6,4,6,6
1,1,2,2,2,2,1,1,2,2,2,2,3,4,3,2,3,2,1,1,1,2,2,3,1,5,2,1,2,3,5,1,2,5,3,6,1,5,2,5,32,12,2,1,10,5
4,4,4,4,4,4,3,3,2,2,3,3,2,4,3,4,3,2,3,3,3,3,2,1,3,5,6,5,5,3,4,1,4,6,5,3,5,3,4,4,26,14,4,1,8,6
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,5,5,6,6,1,6,6,6,6,6,6,6,6,39,14,9,4,9,9
3,2,3,3,3,3,3,4,2,2,3,2,3,3,4,4,3,1,1,2,2,2,3,2,4,3,5,3,2,4,1,3,3,4,4,1,1,5,1,3,35,14,4,2,4,3
2,2,2,3,2,3,4,2,3,2,2,3,3,3,3,4,2,2,2,3,2,2,2,2,1,6,1,6,5,4,6,6,2,1,1,3,6,6,6,6,39,16,4,8,4,9
4,4,4,2,4,4,3,3,1,3,3,2,4,3,1,3,4,4,3,1,1,1,1,1,6,6,5,5,6,5,5,6,5,6,5,6,2,2,1,2,35,12,6,4,6,4
3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2,2,2,4,3,2,2,2,2,5,5,5,4,5,5,5,3,5,4,3,3,4,5,4,4,38,17,4,5,4,5
2,2,1,1,1,1,2,2,2,2,4,1,2,2,4,3,2,3,1,2,1,1,2,2,4,3,3,3,2,2,2,3,2,3,4,3,1,2,2,2,35,15,6,2,6,4
2,4,3,3,3,2,3,3,2,2,3,3,3,3,4,4,2,4,2,2,2,2,4,3,5,6,6,5,6,4,3,3,5,4,3,5,3,3,4,4,35,13,5,1,5,6
4,4,4,4,4,4,1,1,2,1,1,1,4,4,2,2,1,1,3,4,3,1,4,3,6,6,6,5,1,1,2,1,1,2,1,6,6,1,6,6,39,15,4,6,4,7
4,4,4,4,4,4,3,3,3,3,3,3,1,2,2,2,3,3,3,4,4,4,3,3,4,6,5,6,4,5,4,4,3,4,6,3,6,6,6,5,24,13,5,7,5,8
4,3,4,4,3,3,1,3,3,3,1,3,3,4,4,4,2,3,1,1,1,1,2,2,2,5,5,4,2,4,1,1,4,4,6,5,1,1,4,3,27,10,3,1,3,4
3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,6,6,5,5,6,5,6,4,5,1,5,6,6,6,6,38,19,8,8,8,10
3,2,3,3,3,3,3,3,3,3,4,3,4,4,4,4,3,4,2,2,2,3,2,2,2,6,5,6,6,6,5,6,6,6,6,6,2,6,5,6,37,14,8,6,8,6
3,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,6,3,5,6,5,6,5,5,5,5,6,6,5,5,5,35,18,7,6,7,8
2,4,1,3,2,2,1,1,1,1,3,3,1,1,1,3,4,1,2,2,1,2,1,2,2,6,6,6,1,1,1,3,2,1,4,1,1,1,1,1,38,16,2,1,2,4
4,4,4,4,4,4,3,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,3,4,6,6,6,6,6,6,6,6,6,6,1,5,6,6,6,6,39,15,7,9,8,9
1,3,3,4,4,3,2,2,2,3,3,3,4,3,1,3,3,3,1,1,1,4,3,3,4,3,6,2,4,2,4,3,4,6,6,6,4,2,3,5,40,19,5,8,6,8
4,3,3,3,3,3,4,3,4,3,4,4,4,4,1,2,3,3,3,4,4,4,4,4,2,6,5,5,6,6,6,6,5,5,3,6,6,6,6,6,40,20,9,9,8,9
1,1,1,1,1,2,2,3,3,2,2,3,4,4,1,2,3,1,2,4,2,2,2,3,3,4,6,6,6,4,1,2,5,5,1,5,6,5,4,6,39,17,8,8,7,8
3,4,4,4,4,3,3,2,3,2,3,3,1,2,2,2,2,3,4,2,3,4,2,3,5,6,6,6,5,5,6,6,5,6,6,4,5,6,6,6,38,17,7,9,6,9
2,1,4,2,1,2,2,3,2,3,2,3,2,2,3,3,2,3,4,3,3,4,3,3,4,2,1,3,6,4,6,2,3,4,3,3,6,6,6,6,33,17,5,9,7,9
3,4,3,3,3,3,2,2,3,3,3,3,2,2,2,2,3,2,4,3,3,4,3,3,4,6,5,5,5,4,5,5,5,5,5,4,6,5,6,6,37,20,8,8,6,8
2,2,2,2,2,3,3,3,1,2,3,3,2,3,3,2,2,3,3,3,1,3,2,3,4,4,2,6,4,5,5,5,4,5,5,5,5,5,5,4,39,18,7,9,7,9
4,2,4,4,3,2,1,4,2,2,4,2,4,3,4,4,2,2,2,3,2,2,3,2,6,6,6,5,6,3,6,2,3,6,1,6,6,2,4,4,36,18,2,6,6,6
2,2,3,2,3,2,2,2,4,1,3,1,3,4,3,4,1,3,1,1,1,1,1,1,6,2,4,6,4,1,3,4,5,6,6,3,1,5,1,1,38,14,9,5,8,5
3,4,4,4,3,4,2,4,2,3,3,3,4,4,4,4,3,4,2,2,2,3,2,2,5,5,3,6,6,6,6,6,6,6,6,6,5,5,5,5,39,12,7,8,9,8
1,4,3,2,3,2,3,3,2,2,2,2,2,3,3,3,3,3,2,1,1,2,3,3,5,6,6,6,4,4,6,6,5,6,4,5,6,5,5,5,36,16,8,9,9,9
4,3,4,3,3,3,4,3,2,2,3,3,4,3,3,3,4,4,3,3,2,3,4,4,6,6,5,6,6,5,6,6,4,6,6,6,6,6,6,1,38,21,7,9,8,9
3,2,2,2,3,2,2,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,3,3,5,3,4,5,5,5,4,5,3,5,3,5,3,4,37,19,8,8,6,4
3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,2,3,2,2,1,1,2,2,2,3,3,5,5,4,4,4,5,3,6,5,5,2,1,3,3,38,18,9,9,7,4
3,3,3,3,2,3,4,3,4,2,3,3,4,4,2,3,2,2,4,4,4,4,3,4,4,6,5,5,6,3,4,6,5,6,3,6,6,6,6,6,39,15,8,8,6,9
4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4,6,5,5,5,6,6,6,6,6,37,18,7,9,8,10
1,4,4,4,4,3,2,3,2,1,2,1,4,4,3,2,2,2,1,2,2,1,2,2,1,6,6,5,5,3,4,5,5,5,1,2,2,4,4,5,35,12,4,7,5,5
3,2,3,3,3,2,3,4,3,3,3,3,3,3,4,3,2,3,2,3,2,3,2,3,4,5,4,3,4,5,5,5,4,6,2,5,3,5,4,5,40,16,9,8,6,5
1,3,1,1,1,2,2,1,4,2,3,2,1,1,4,2,2,4,1,1,1,1,1,1,3,4,4,5,4,5,5,5,5,6,6,5,1,1,1,1,39,9,9,8,6,4
4,2,3,3,3,2,2,2,3,3,3,3,3,2,4,3,3,2,3,2,2,3,3,3,6,6,5,5,3,3,3,5,3,6,3,6,3,2,4,5,37,13,4,7,7,6
3,2,3,3,3,3,3,4,2,3,3,3,4,4,3,4,3,3,3,4,3,3,3,3,4,4,6,5,4,5,5,5,5,5,5,6,5,5,5,5,40,16,7,7,6,6
2,3,3,3,2,2,4,3,2,2,3,2,3,3,1,4,3,3,2,3,2,1,3,2,6,6,6,6,6,6,6,1,5,6,6,6,1,1,1,6,30,15,5,6,6,4
4,4,3,4,4,4,2,3,4,2,3,4,2,3,4,4,1,2,4,4,4,4,4,4,4,5,4,3,3,4,6,4,4,4,1,4,6,6,6,6,38,19,7,9,4,9
3,3,3,3,3,3,4,4,4,2,4,3,4,4,4,4,3,2,4,4,2,2,3,4,5,3,5,3,6,6,6,5,5,6,2,6,6,5,6,6,35,15,8,9,8,9
3,3,3,3,3,3,3,3,3,4,3,3,4,4,2,2,2,2,4,4,4,4,4,4,4,5,6,5,6,6,6,6,5,6,6,6,6,6,6,6,40,13,10,10,6,8
