partno,trialcode,latency,response
904120.60138888888888979,real16,9217,6
904120.60138888888888979,real61,3649,8
904120.60138888888888979,real44,9355,8
904120.60138888888888979,real88,8398,6
904120.60138888888888979,real69,10709,8
904120.60138888888888979,real34,5690,10
904120.60138888888888979,real13,9104,7
904120.60138888888888979,real56,8861,7
904120.60138888888888979,real80,5187,8
904120.60138888888888979,real36,6378,5
904120.60138888888888979,real62,7797,10
904120.60138888888888979,real75,6005,9
904120.60138888888888979,real39,7916,10
904120.60138888888888979,real26,9095,7
904120.60138888888888979,real37,6964,9
904120.60138888888888979,real90,9580,7
904120.60138888888888979,real72,3934,7
904120.60138888888888979,real30,4702,9
904120.60138888888888979,real77,6171,8
904120.60138888888888979,real59,8019,10
904120.60138888888888979,real73,5483,8
904120.60138888888888979,real89,8661,6
904120.60138888888888979,real82,7218,7
904120.60138888888888979,real94,8473,10
904120.60138888888888979,real64,7990,10
904120.60138888888888979,real20,10855,7
904120.60138888888888979,real5,6089,8
904120.60138888888888979,real40,11053,6
904120.60138888888888979,real22,8868,9
904120.60138888888888979,real25,8202,9
904120.60138888888888979,real9,5461,6
904120.60138888888888979,real53,4066,6
904120.60138888888888979,real60,11950,6
904120.60138888888888979,real92,4457,6
904120.60138888888888979,real91,5379,8
904120.60138888888888979,real8,4010,8
904120.60138888888888979,real4,2144,8
904120.60138888888888979,real49,4072,9
904120.60138888888888979,real31,5924,6
904120.60138888888888979,real55,3582,7
904120.60138888888888979,real14,1981,9
904120.60138888888888979,real42,6868,7
904120.60138888888888979,real50,5542,8
904120.60138888888888979,real12,5172,7
904120.60138888888888979,real11,2914,8
904120.60138888888888979,real65,2275,9
904120.60138888888888979,real95,2870,9
904120.60138888888888979,real52,5481,10
904120.60138888888888979,real78,7205,7
904120.60138888888888979,real81,2566,9
904120.60138888888888979,real76,4801,8
904120.60138888888888979,real45,3751,7
904120.60138888888888979,real29,4157,8
904120.60138888888888979,real83,3541,8
904120.60138888888888979,real51,5529,10
904120.60138888888888979,real74,3922,8
904120.60138888888888979,real1,3473,7
904120.60138888888888979,real63,3605,9
904120.60138888888888979,real41,5557,8
904120.60138888888888979,real57,2990,9
904120.60138888888888979,real70,4598,7
904120.60138888888888979,real10,4708,7
904120.60138888888888979,real28,3288,8
904120.60138888888888979,real27,2315,9
904120.60138888888888979,real84,4332,9
904120.60138888888888979,real87,2221,8
904120.60138888888888979,real2,3285,8
904120.60138888888888979,real3,4056,8
904120.60138888888888979,real21,2276,9
904120.60138888888888979,real23,3839,9
904120.60138888888888979,real96,6470,8
904120.60138888888888979,real46,1867,8
904120.60138888888888979,real47,3446,9
904120.60138888888888979,real85,12682,6
828120.48333333333333314234,real33,1129,6
828120.48333333333333314234,real35,488,9
828120.48333333333333314234,real79,746,6
828120.48333333333333314234,real18,890,6
828120.48333333333333314234,real24,1121,5
828120.48333333333333314234,real54,7578,6
828120.48333333333333314234,real48,2701,0
828120.48541666666666745465465,real33,422,0
904120.3784722222222228,real33,21190,5
904120.3784722222222228,real35,14106,7
904120.3784722222222228,real79,7639,4
904120.3784722222222228,real18,9886,8
904120.3784722222222228,real24,18043,9
904120.3784722222222228,real54,5804,9
904120.3784722222222228,real48,5539,9
904120.3784722222222228,real6,9477,10
904120.3784722222222228,real7,11612,9
904120.3784722222222228,real68,5364,8
904120.3784722222222228,real38,9732,7
904120.3784722222222228,real58,12695,9
904120.3784722222222228,real86,15112,5
904120.3784722222222228,real17,7198,7
904120.3784722222222228,real71,22653,9
904120.3784722222222228,real66,4503,8
904120.3784722222222228,real19,9634,10
904120.3784722222222228,real67,5001,9
904120.3784722222222228,real32,5863,3
904120.3784722222222228,real43,4603,2
904120.3784722222222228,real93,6013,6
904120.3784722222222228,real15,7331,6
904120.3784722222222228,real16,6293,7
904120.3784722222222228,real61,6864,10
904120.3784722222222228,real44,14087,7
904120.3784722222222228,real88,70108,5
904120.3784722222222228,real69,4476,6
904120.3784722222222228,real34,4919,9
904120.3784722222222228,real13,6678,8
904120.3784722222222228,real56,9986,7
904120.3784722222222228,real80,5843,7
904120.3784722222222228,real36,5976,5
904120.3784722222222228,real62,8947,9
904120.3784722222222228,real75,7525,9
904120.3784722222222228,real39,3439,9
904120.3784722222222228,real26,4556,9
904120.3784722222222228,real37,5380,9
904120.3784722222222228,real90,5155,8
904120.3784722222222228,real72,4404,6
904120.3784722222222228,real30,3059,9
904120.3784722222222228,real77,5954,6
904120.3784722222222228,real59,6947,8
904120.3784722222222228,real73,4437,8
904120.3784722222222228,real89,3754,9
904120.3784722222222228,real82,2782,9
904120.3784722222222228,real94,10845,10
904120.3784722222222228,real64,5716,10
904120.3784722222222228,real20,6958,5
904120.3784722222222228,real5,7123,9
904120.3784722222222228,real40,2686,9
904120.3784722222222228,real22,2920,9
904120.3784722222222228,real25,8282,9
904120.3784722222222228,real9,4156,9
904120.3784722222222228,real53,6548,3
904120.3784722222222228,real60,6597,5
904120.3784722222222228,real92,8388,10
904120.3784722222222228,real91,4479,4
904120.3784722222222228,real8,4547,5
904120.3784722222222228,real4,5011,10
904120.3784722222222228,real49,13489,9
904120.3784722222222228,real31,13160,5
904120.3784722222222228,real55,8475,10
904120.3784722222222228,real14,2959,7
904120.3784722222222228,real42,3975,6
904120.3784722222222228,real50,9888,10
904120.3784722222222228,real12,4933,10
904120.3784722222222228,real11,6222,10
904120.3784722222222228,real65,6149,9
904120.3784722222222228,real95,4875,10
904120.3784722222222228,real52,4759,10
904120.3784722222222228,real78,6199,4
904120.3784722222222228,real81,3910,10
904120.3784722222222228,real76,7532,10
904120.3784722222222228,real45,5590,5
904120.3784722222222228,real29,5733,10
904120.3784722222222228,real83,3791,10
904120.3784722222222228,real51,5165,8
904120.3784722222222228,real74,3462,9
904120.3784722222222228,real1,3977,7
904120.3784722222222228,real63,3904,9
904120.3784722222222228,real41,3697,10
904120.3784722222222228,real57,4539,6
904120.3784722222222228,real70,6452,9
904120.3784722222222228,real10,3409,4
904120.3784722222222228,real28,3356,7
904120.3784722222222228,real27,3229,9
904120.3784722222222228,real84,4129,6
904120.3784722222222228,real87,3842,10
904120.3784722222222228,real2,3538,5
904120.3784722222222228,real3,3899,6
904120.3784722222222228,real21,26716,9
904120.3784722222222228,real23,2262,9
904120.3784722222222228,real96,2763,9
904120.3784722222222228,real46,5522,10
904120.3784722222222228,real47,4148,10
904120.3784722222222228,real85,10293,10
904120.4402777777777788,real33,4466,8
904120.4402777777777788,real35,3142,8
904120.4402777777777788,real79,2207,4
904120.4402777777777788,real18,6092,8
904120.4402777777777788,real24,5422,9
904120.4402777777777788,real54,5085,9
904120.4402777777777788,real48,4072,5
904120.4402777777777788,real6,1676,10
904120.4402777777777788,real7,3347,9
904120.4402777777777788,real68,3611,7
904120.4402777777777788,real38,4048,10
904120.4402777777777788,real58,3325,10
904120.4402777777777788,real86,2377,7
904120.4402777777777788,real17,2471,10
904120.4402777777777788,real71,2899,9
904120.4402777777777788,real66,3052,8
904120.4402777777777788,real19,2865,10
904120.4402777777777788,real67,2204,10
904120.4402777777777788,real32,2298,8
904120.4402777777777788,real43,2523,9
904120.4402777777777788,real93,3405,10
904120.4402777777777788,real15,3564,7
904120.4402777777777788,real16,1467,8
904120.4402777777777788,real61,1950,10
904120.4402777777777788,real44,3656,5
904120.4402777777777788,real88,4028,7
904120.4402777777777788,real69,1722,10
904120.4402777777777788,real34,4122,9
904120.4402777777777788,real13,5563,8
904120.4402777777777788,real56,1251,10
904120.4402777777777788,real80,1919,9
904120.4402777777777788,real36,2312,3
904120.4402777777777788,real62,4525,8
904120.4402777777777788,real75,3143,10
904120.4402777777777788,real39,2511,10
904120.4402777777777788,real26,5040,5
904120.4402777777777788,real37,4179,9
904120.4402777777777788,real90,2730,9
904120.4402777777777788,real72,1891,7
904120.4402777777777788,real30,1485,10
904120.4402777777777788,real77,1703,10
904120.4402777777777788,real59,1841,8
904120.4402777777777788,real73,1373,10
904120.4402777777777788,real89,2052,10
904120.4402777777777788,real82,4295,7
904120.4402777777777788,real94,2066,8
904120.4402777777777788,real64,3013,9
904120.4402777777777788,real20,2506,10
904120.4402777777777788,real5,1586,10
904120.4402777777777788,real40,2248,10
904120.4402777777777788,real22,6452,8
904120.4402777777777788,real25,3697,9
904120.4402777777777788,real9,2044,10
904120.4402777777777788,real53,3160,9
904120.4402777777777788,real60,5191,7
904120.4402777777777788,real92,1294,10
904120.4402777777777788,real91,2652,8
904120.4402777777777788,real8,3264,7
904120.4402777777777788,real4,1228,10
904120.4402777777777788,real49,2080,10
904120.4402777777777788,real31,5684,8
904120.4402777777777788,real55,1424,10
904120.4402777777777788,real14,1757,10
904120.4402777777777788,real42,2988,9
904120.4402777777777788,real50,1161,10
904120.4402777777777788,real12,2383,10
904120.4402777777777788,real11,1590,10
904120.4402777777777788,real65,2052,8
904120.4402777777777788,real95,2512,9
904120.4402777777777788,real52,3305,6
904120.4402777777777788,real78,4187,7
904120.4402777777777788,real81,1274,10
904120.4402777777777788,real76,3982,9
904120.4402777777777788,real45,1782,8
904120.4402777777777788,real29,2076,10
904120.4402777777777788,real83,4631,9
904120.4402777777777788,real51,2543,9
904120.4402777777777788,real74,2847,10
904120.4402777777777788,real1,1563,7
904120.4402777777777788,real63,1354,7
904120.4402777777777788,real41,1428,10
904120.4402777777777788,real57,1760,7
904120.4402777777777788,real70,1783,8
904120.4402777777777788,real10,6990,1
904120.4402777777777788,real28,3835,9
904120.4402777777777788,real27,5320,9
904120.4402777777777788,real84,3010,9
904120.4402777777777788,real87,1543,10
904120.4402777777777788,real2,2782,2
904120.4402777777777788,real3,4148,7
904120.4402777777777788,real21,1165,10
904120.4402777777777788,real23,2172,10
904120.4402777777777788,real96,2666,7
904120.4402777777777788,real46,2061,10
904120.4402777777777788,real47,3056,8
904120.4402777777777788,real85,2676,9
904120.60138888888888964,real33,7796,3
904120.60138888888888964,real35,3435,6
904120.60138888888888964,real79,3728,3
904120.60138888888888964,real18,3617,8
904120.60138888888888964,real24,3447,8
904120.60138888888888964,real54,5467,4
904120.60138888888888964,real48,4119,6
904120.60138888888888964,real6,13122,10
904120.60138888888888964,real7,2696,4
904120.60138888888888964,real68,3874,5
905120.4194444444444448,real33,5405,7
905120.4194444444444448,real35,2492,7
905120.4194444444444448,real79,1855,6
905120.4194444444444448,real18,3218,3
905120.4194444444444448,real24,5590,8
905120.4194444444444448,real54,6774,5
905120.4194444444444448,real48,1966,6
905120.4194444444444448,real6,6189,10
905120.4194444444444448,real7,4227,9
905120.4194444444444448,real68,5472,4
905120.4194444444444448,real38,5580,8
905120.4194444444444448,real58,3068,9
905120.4194444444444448,real86,3723,4
905120.4194444444444448,real17,2924,4
905120.4194444444444448,real71,7766,7
905120.4194444444444448,real66,2679,7
905120.4194444444444448,real19,5165,8
905120.4194444444444448,real67,4173,6
905120.4194444444444448,real32,1797,4
905120.4194444444444448,real43,4562,6
905120.4194444444444448,real93,3954,8
905120.4194444444444448,real15,7666,10
905120.4194444444444448,real16,3663,4
905120.4194444444444448,real61,3491,10
905120.4194444444444448,real44,6318,5
905120.4194444444444448,real88,6137,4
905120.4194444444444448,real69,3154,8
905120.4194444444444448,real34,3058,10
905120.4194444444444448,real13,2928,9
905120.4194444444444448,real56,2305,9
905120.4194444444444448,real80,2163,8
905120.4194444444444448,real36,5386,3
905120.4194444444444448,real62,2652,9
905120.4194444444444448,real75,2792,8
905120.4194444444444448,real39,2263,5
905120.4194444444444448,real26,2842,3
905120.4194444444444448,real37,2960,6
905120.4194444444444448,real90,3183,8
905120.4194444444444448,real72,4014,5
905120.4194444444444448,real30,2236,9
905120.4194444444444448,real77,5736,7
905120.4194444444444448,real59,2754,5
905120.4194444444444448,real73,2042,9
905120.4194444444444448,real89,3374,10
905120.4194444444444448,real82,2323,5
905120.4194444444444448,real94,2884,8
905120.4194444444444448,real64,6831,9
905120.4194444444444448,real20,5141,6
905120.4194444444444448,real5,3605,9
905120.4194444444444448,real40,3347,8
905120.4194444444444448,real22,5099,7
905120.4194444444444448,real25,3142,5
905120.4194444444444448,real9,5910,8
905120.4194444444444448,real53,2592,5
905120.4194444444444448,real60,13286,4
905120.4194444444444448,real92,8612,9
905120.4194444444444448,real91,5483,8
905120.4194444444444448,real8,2487,7
905120.4194444444444448,real4,1777,9
905120.4194444444444448,real49,3384,9
905120.4194444444444448,real31,5051,4
905120.4194444444444448,real55,4496,9
905120.4194444444444448,real14,4618,8
905120.4194444444444448,real42,3112,3
905120.4194444444444448,real50,5319,9
905120.4194444444444448,real12,3689,9
905120.4194444444444448,real11,1796,9
905120.4194444444444448,real65,4266,5
905120.4194444444444448,real95,8236,8
905120.4194444444444448,real52,3275,7
905120.4194444444444448,real78,6158,5
905120.4194444444444448,real81,1535,9
905120.4194444444444448,real76,3900,6
905120.4194444444444448,real45,10103,7
905120.4194444444444448,real29,8483,7
905120.4194444444444448,real83,7911,6
905120.4194444444444448,real51,7026,6
905120.4194444444444448,real74,2272,8
905120.4194444444444448,real1,3147,7
905120.4194444444444448,real63,2699,8
905120.4194444444444448,real41,4629,9
905120.4194444444444448,real57,2850,5
905120.4194444444444448,real70,6750,6
905120.4194444444444448,real10,3392,2
905120.4194444444444448,real28,6130,6
905120.4194444444444448,real27,2772,5
905120.4194444444444448,real84,5259,7
905120.4194444444444448,real87,2215,9
905120.4194444444444448,real2,2646,8
905120.4194444444444448,real3,4226,4
905120.4194444444444448,real21,3559,8
905120.4194444444444448,real23,7120,8
905120.4194444444444448,real96,17341,5
905120.4194444444444448,real46,1753,9
905120.4194444444444448,real47,4289,7
905120.4194444444444448,real85,4332,4
905120.467361111111111987,real33,9067,8
905120.467361111111111987,real35,8784,7
905120.467361111111111987,real79,6473,7
905120.467361111111111987,real18,5253,9
905120.467361111111111987,real24,13126,9
905120.467361111111111987,real54,7490,7
905120.467361111111111987,real48,9902,6
905120.467361111111111987,real6,6002,9
905120.467361111111111987,real7,7420,9
905120.467361111111111987,real68,5539,6
905120.467361111111111987,real38,4612,8
905120.467361111111111987,real58,3986,8
905120.467361111111111987,real86,10856,5
905120.467361111111111987,real17,7334,8
905120.467361111111111987,real71,2985,8
905120.467361111111111987,real66,10183,5
905120.467361111111111987,real19,3700,9
905120.467361111111111987,real67,3254,9
905120.467361111111111987,real32,6946,7
905120.467361111111111987,real43,5867,7
905120.467361111111111987,real93,3360,8
905120.467361111111111987,real15,9368,4
905120.467361111111111987,real16,4889,8
905120.467361111111111987,real61,3061,9
905120.467361111111111987,real44,6359,7
905120.467361111111111987,real88,16352,9
905120.467361111111111987,real69,2372,8
905120.467361111111111987,real34,5171,8
905120.467361111111111987,real13,6419,7
905120.467361111111111987,real56,12162,7
905120.467361111111111987,real80,2908,9
905120.467361111111111987,real36,2638,4
905120.467361111111111987,real62,3882,8
905120.467361111111111987,real75,2053,8
905120.467361111111111987,real39,9113,7
905120.467361111111111987,real26,5228,8
905120.467361111111111987,real37,12204,9
905120.467361111111111987,real90,2350,8
905120.467361111111111987,real72,4534,4
905120.467361111111111987,real30,2487,8
905120.467361111111111987,real77,6453,9
905120.467361111111111987,real59,7442,6
905120.467361111111111987,real73,3431,9
905120.467361111111111987,real89,2428,8
905120.467361111111111987,real82,7770,5
905120.467361111111111987,real94,7715,8
905120.467361111111111987,real64,4238,9
905120.467361111111111987,real20,5323,8
905120.467361111111111987,real5,2976,9
905120.467361111111111987,real40,3879,9
905120.467361111111111987,real22,4266,3
905120.467361111111111987,real25,3581,4
905120.467361111111111987,real9,6296,8
905120.467361111111111987,real53,9939,5
905120.467361111111111987,real60,2302,5
905120.467361111111111987,real92,2432,8
905120.467361111111111987,real91,5568,8
905120.467361111111111987,real8,5369,8
905120.467361111111111987,real4,2065,9
905120.467361111111111987,real49,6364,5
905120.467361111111111987,real31,8077,7
905120.467361111111111987,real55,2321,9
905120.467361111111111987,real14,1650,9
905120.467361111111111987,real42,3582,7
905120.467361111111111987,real50,3778,9
905120.467361111111111987,real12,4697,8
905120.467361111111111987,real11,6091,8
905120.467361111111111987,real65,2727,7
905120.467361111111111987,real95,5396,8
905120.467361111111111987,real52,3995,7
905120.467361111111111987,real78,3794,8
905120.467361111111111987,real81,1752,9
905120.467361111111111987,real76,4141,8
905120.467361111111111987,real45,2485,8
905120.467361111111111987,real29,1656,9
905120.467361111111111987,real83,2460,9
905120.467361111111111987,real51,3229,7
905120.467361111111111987,real74,1434,9
905120.467361111111111987,real1,5126,8
905120.467361111111111987,real63,3015,7
905120.467361111111111987,real41,1834,9
905120.467361111111111987,real57,3679,7
905120.467361111111111987,real70,3970,8
905120.467361111111111987,real10,4954,5
905120.467361111111111987,real28,5067,8
905120.467361111111111987,real27,3535,8
905120.467361111111111987,real84,1496,9
905120.467361111111111987,real87,1570,9
905120.467361111111111987,real2,2861,7
905120.467361111111111987,real3,4088,7
905120.467361111111111987,real21,1603,9
905120.467361111111111987,real23,2849,8
905120.467361111111111987,real96,3399,7
905120.467361111111111987,real46,1245,9
905120.467361111111111987,real47,2311,8
905120.467361111111111987,real85,1489,9
906120.3819444444444446,real33,6030,8
906120.3819444444444446,real35,7508,8
906120.3819444444444446,real79,6519,5
906120.3819444444444446,real18,5194,8
906120.3819444444444446,real24,4188,9
906120.3819444444444446,real54,4875,7
906120.3819444444444446,real48,7143,5
906120.3819444444444446,real6,4088,10
906120.3819444444444446,real7,4209,9
906120.3819444444444446,real68,5223,9
906120.3819444444444446,real38,6093,10
906120.3819444444444446,real58,10368,7
906120.3819444444444446,real86,7804,6
906120.3819444444444446,real17,8243,10
906120.3819444444444446,real71,3953,8
906120.3819444444444446,real66,4289,9
906120.3819444444444446,real19,2394,10
906120.3819444444444446,real67,3400,10
906120.3819444444444446,real32,4510,7
906120.3819444444444446,real43,5688,4
906120.3819444444444446,real93,6529,7
906120.3819444444444446,real15,7875,6
906120.3819444444444446,real16,4543,8
906120.3819444444444446,real61,2528,10
906120.3819444444444446,real44,4911,6
906120.3819444444444446,real88,3705,7
906120.3819444444444446,real69,2411,10
906120.3819444444444446,real34,4440,9
906120.3819444444444446,real13,7893,5
906120.3819444444444446,real56,2288,10
906120.3819444444444446,real80,2827,10
906120.3819444444444446,real36,3215,5
906120.3819444444444446,real62,6036,5
906120.3819444444444446,real75,5138,9
906120.3819444444444446,real39,7427,7
906120.3819444444444446,real26,4697,4
906120.3819444444444446,real37,4220,7
906120.3819444444444446,real90,3202,9
906120.3819444444444446,real72,5288,6
906120.3819444444444446,real30,2755,9
906120.3819444444444446,real77,2516,10
906120.3819444444444446,real59,5013,6
906120.3819444444444446,real73,1947,10
906120.3819444444444446,real89,6355,7
906120.3819444444444446,real82,5121,6
906120.3819444444444446,real94,2732,7
906120.3819444444444446,real64,4124,7
906120.3819444444444446,real20,2758,9
906120.3819444444444446,real5,2816,9
906120.3819444444444446,real40,5813,6
906120.3819444444444446,real22,5931,6
906120.3819444444444446,real25,3077,7
906120.3819444444444446,real9,2061,8
906120.3819444444444446,real53,4136,4
906120.3819444444444446,real60,3793,6
906120.3819444444444446,real92,2975,9
906120.3819444444444446,real91,3991,7
906120.3819444444444446,real8,4190,3
906120.3819444444444446,real4,2757,10
906120.3819444444444446,real49,2717,9
906120.3819444444444446,real31,3005,4
906120.3819444444444446,real55,1931,10
906120.3819444444444446,real14,3179,8
906120.3819444444444446,real42,5322,5
906120.3819444444444446,real50,1819,10
906120.3819444444444446,real12,4544,9
906120.3819444444444446,real11,1625,9
906120.3819444444444446,real65,4333,5
906120.3819444444444446,real95,2800,6
906120.3819444444444446,real52,3686,3
906120.3819444444444446,real78,4201,5
906120.3819444444444446,real81,1839,10
906120.3819444444444446,real76,6558,7
906120.3819444444444446,real45,4183,6
906120.3819444444444446,real29,1750,9
906120.3819444444444446,real83,2694,8
906120.3819444444444446,real51,4153,6
906120.3819444444444446,real74,2033,9
906120.3819444444444446,real1,4494,5
906120.3819444444444446,real63,3832,3
906120.3819444444444446,real41,4001,9
906120.3819444444444446,real57,5071,8
906120.3819444444444446,real70,4843,8
906120.3819444444444446,real10,2720,3
906120.3819444444444446,real28,5138,5
906120.3819444444444446,real27,4275,3
906120.3819444444444446,real84,3223,6
906120.3819444444444446,real87,1724,10
906120.3819444444444446,real2,4308,7
906120.3819444444444446,real3,6326,4
906120.3819444444444446,real21,2088,9
906120.3819444444444446,real23,2754,10
906120.3819444444444446,real96,4040,6
906120.3819444444444446,real46,1726,10
906120.3819444444444446,real47,3679,9
906120.3819444444444446,real85,2746,10
910120.4951388888888896561,real33,28745,1
910120.4951388888888896561,real35,9026,2
910120.4951388888888896561,real79,7777,3
910120.4951388888888896561,real18,4641,5
910120.4951388888888896561,real24,15157,7
910120.4951388888888896561,real54,10953,2
910120.4951388888888896561,real48,8866,3
910120.4951388888888896561,real6,8305,8
910120.4951388888888896561,real7,7327,5
910120.4951388888888896561,real68,8441,7
910120.4951388888888896561,real38,7270,7
910120.4951388888888896561,real58,4084,8
910120.4951388888888896561,real86,7393,3
910120.4951388888888896561,real17,7457,7
910120.4951388888888896561,real71,4150,8
910120.4951388888888896561,real66,4791,8
910120.4951388888888896561,real19,34374,10
910120.4951388888888896561,real67,10960,10
910120.4951388888888896561,real32,4778,7
910120.4951388888888896561,real43,2890,3
910120.4951388888888896561,real93,7344,5
910120.4951388888888896561,real15,7745,4
910120.4951388888888896561,real16,4955,3
910120.4951388888888896561,real61,2651,8
910120.4951388888888896561,real44,8395,4
910120.4951388888888896561,real88,3043,3
910120.4951388888888896561,real69,4511,10
910120.4951388888888896561,real34,5593,8
910120.4951388888888896561,real13,8525,2
910120.4951388888888896561,real56,4352,10
910120.4951388888888896561,real80,17416,8
910120.4951388888888896561,real36,7290,3
910120.4951388888888896561,real62,7396,8
910120.4951388888888896561,real75,5923,9
910120.4951388888888896561,real39,5350,7
910120.4951388888888896561,real26,3542,3
910120.4951388888888896561,real37,8587,5
910120.4951388888888896561,real90,3388,7
910120.4951388888888896561,real72,6331,3
910120.4951388888888896561,real30,5908,8
910120.4951388888888896561,real77,3684,8
910120.4951388888888896561,real59,7935,3
910120.4951388888888896561,real73,2961,7
910120.4951388888888896561,real89,9472,2
910120.4951388888888896561,real82,8818,2
910120.4951388888888896561,real94,8866,8
910120.4951388888888896561,real64,9135,4
910120.4951388888888896561,real20,5802,8
910120.4951388888888896561,real5,14964,7
910120.4951388888888896561,real40,6024,3
910120.4951388888888896561,real22,4022,3
910120.4951388888888896561,real25,6380,3
910120.4951388888888896561,real9,4946,7
910120.4951388888888896561,real53,9778,1
910120.4951388888888896561,real60,7019,1
910120.4951388888888896561,real92,3250,3
910120.4951388888888896561,real91,7846,3
910120.4951388888888896561,real8,2059,1
910120.4951388888888896561,real4,2839,6
910120.4951388888888896561,real49,3019,6
910120.4951388888888896561,real31,6059,5
910120.4951388888888896561,real55,4008,6
910120.4951388888888896561,real14,4086,7
910120.4951388888888896561,real42,4473,2
910120.4951388888888896561,real50,6276,6
910120.4951388888888896561,real12,3904,2
910120.4951388888888896561,real11,10050,4
910120.4951388888888896561,real65,4304,3
910120.4951388888888896561,real95,7841,3
910120.4951388888888896561,real52,11247,3
910120.4951388888888896561,real78,9478,2
910120.4951388888888896561,real81,6106,5
910120.4951388888888896561,real76,6639,8
910120.4951388888888896561,real45,3540,8
910120.4951388888888896561,real29,3237,7
910120.4951388888888896561,real83,3962,3
910120.4951388888888896561,real51,5064,3
910120.4951388888888896561,real74,2764,8
910120.4951388888888896561,real1,2291,2
910120.4951388888888896561,real63,5638,1
910120.4951388888888896561,real41,17712,2
