expno,rating,orginalcode,id,speed,error,whichhand,LR_switch,finger_switch,rha,word_length,letter_freq,real_fake,speed_c
1_2,4,zeef,5,91,67,right,0,2,-4,4,6.9265,1,31.17
1_2,2,zeeg,5,91,67,right,0,2,-4,4,6.87325,1,31.17
1_2,4,hilp,5,91,67,right,0,3,4,4,4.7535,1,31.17
1_2,6,hok,5,91,67,right,0,2,3,3,4.791,1,31.17
1_2,4,joi,5,91,67,right,0,2,3,3,4.875333333,1,31.17
1_2,4,kop,5,91,67,right,0,2,3,3,3.402666667,1,31.17
1_2,4,mok,5,91,67,right,0,2,3,3,3.561666667,1,31.17
1_2,1,hiol,5,91,67,right,0,2,4,4,6.148,1,31.17
1_2,1,kiy,5,91,67,right,0,1,3,3,3.237333333,1,31.17
1_2,5,poom,5,91,67,right,0,2,4,4,4.83725,1,31.17
1_2,1,yoom,5,91,67,right,0,2,4,4,4.8485,1,31.17
1_2,6,yoon,5,91,67,right,0,2,4,4,5.93425,1,31.17
1_2,4,pabe,5,91,67,right,1,3,-2,4,6.0725,1,31.17
1_2,7,yage,5,91,67,right,1,3,-2,4,6.2145,1,31.17
1_2,1,zofe,5,91,67,right,2,3,-2,4,5.62775,1,31.17
1_2,1,zoge,5,91,67,right,2,3,-2,4,5.5745,1,31.17
1_2,1,zote,5,91,67,right,2,3,-2,4,7.33475,1,31.17
1_2,3,jeet,5,91,67,right,1,2,-2,4,8.65325,1,31.17
1_2,3,tofe,5,91,67,right,2,3,-2,4,7.87325,1,31.17
1_2,1,vofe,5,91,67,right,2,3,-2,4,5.85375,1,31.17
1_2,2,zape,5,91,67,right,2,2,-2,4,5.718,1,31.17
1_2,2,fope,5,91,67,right,2,3,0,4,6.0915,1,31.17
1_2,4,pome,5,91,67,right,1,3,2,4,6.136,1,31.17
1_2,1,yope,5,91,67,right,1,3,2,4,6.028,1,31.17
1_2,2,zoke,5,91,67,right,2,3,0,4,5.26375,1,31.17
1_2,1,zope,5,91,67,right,2,3,0,4,5.553,1,31.17
1_2,7,doof,5,91,67,right,2,2,0,4,5.37375,1,31.17
1_2,1,noof,5,91,67,right,1,2,2,4,5.99775,1,31.17
1_2,2,toog,5,91,67,right,2,2,0,4,6.52125,1,31.17
1_2,2,yoob,5,91,67,right,1,2,2,4,4.62,1,31.17
1_2,2,zood,5,91,67,right,2,2,0,4,4.83525,1,31.17
1_2,3,pame,5,91,67,right,3,3,0,4,6.301,1,31.17
1_2,7,peks,5,91,67,right,3,3,0,4,5.4325,1,31.17
1_2,2,slek,5,91,67,right,3,3,0,4,5.9565,1,31.17
1_2,5,spak,5,91,67,right,3,3,0,4,4.29875,1,31.17
1_2,7,alak,5,91,67,right,3,3,0,4,5.28275,1,31.17
1_2,1,lale,5,91,67,right,3,3,0,4,7.22975,1,31.17
1_2,4,mepe,5,91,67,right,3,3,0,4,7.43475,1,31.17
1_2,1,rocl,5,91,67,right,3,3,0,4,5.07525,1,31.17
1_2,4,rorp,5,91,67,right,3,3,0,4,5.3525,1,31.17
1_2,1,jote,5,91,67,right,1,3,0,4,7.3545,1,31.17
1_2,4,mobe,5,91,67,right,1,3,0,4,6.02675,1,31.17
1_2,3,yote,5,91,67,right,1,3,0,4,7.80975,1,31.17
1_2,3,yove,5,91,67,right,1,3,0,4,5.79025,1,31.17
1_2,1,yoze,5,91,67,right,1,3,0,4,5.56425,1,31.17
1_2,3,deho,5,91,67,right,1,2,0,4,7.639,1,31.17
1_2,9,edop,5,91,67,right,1,2,0,4,6.59775,1,31.17
1_2,3,frol,5,91,67,right,1,1,0,4,4.93675,1,31.17
1_2,4,loac,5,91,67,right,1,2,0,4,5.62025,1,31.17
1_2,5,olra,5,91,67,right,1,2,0,4,6.4215,1,31.17
1_2,2,yeem,5,91,67,right,2,2,0,4,7.446,1,31.17
1_2,3,faw,6,94,68,right,0,2,-3,3,4.251666667,1,34.17
1_2,4,resz,6,94,68,right,0,3,-4,4,6.2725,1,34.17
1_2,1,saf,6,94,68,right,0,2,-3,3,5.574,1,34.17
1_2,3,zers,6,94,68,right,0,3,-4,4,6.2725,1,34.17
1_2,2,zet,6,94,68,right,0,2,-3,3,7.277333333,1,34.17
1_2,1,dafe,6,94,68,right,0,3,-4,4,6.8375,1,34.17
1_2,3,tafe,6,94,68,right,0,3,-4,4,8.03825,1,34.17
1_2,2,zade,6,94,68,right,0,1,-4,4,6.299,1,34.17
1_2,1,zeef,6,94,68,right,0,2,-4,4,6.9265,1,34.17
1_2,3,zeeg,6,94,68,right,0,2,-4,4,6.87325,1,34.17
1_2,2,hilp,6,94,68,right,0,3,4,4,4.7535,1,34.17
1_2,1,hok,6,94,68,right,0,2,3,3,4.791,1,34.17
1_2,4,joi,6,94,68,right,0,2,3,3,4.875333333,1,34.17
1_2,2,kop,6,94,68,right,0,2,3,3,3.402666667,1,34.17
1_2,2,mok,6,94,68,right,0,2,3,3,3.561666667,1,34.17
1_2,1,hiol,6,94,68,right,0,2,4,4,6.148,1,34.17
1_2,1,kiy,6,94,68,right,0,1,3,3,3.237333333,1,34.17
1_2,4,poom,6,94,68,right,0,2,4,4,4.83725,1,34.17
1_2,1,yoom,6,94,68,right,0,2,4,4,4.8485,1,34.17
1_2,3,yoon,6,94,68,right,0,2,4,4,5.93425,1,34.17
1_2,2,pabe,6,94,68,right,1,3,-2,4,6.0725,1,34.17
1_2,3,yage,6,94,68,right,1,3,-2,4,6.2145,1,34.17
1_2,2,zofe,6,94,68,right,2,3,-2,4,5.62775,1,34.17
1_2,2,zoge,6,94,68,right,2,3,-2,4,5.5745,1,34.17
1_2,1,zote,6,94,68,right,2,3,-2,4,7.33475,1,34.17
1_2,2,jeet,6,94,68,right,1,2,-2,4,8.65325,1,34.17
1_2,3,tofe,6,94,68,right,2,3,-2,4,7.87325,1,34.17
1_2,2,vofe,6,94,68,right,2,3,-2,4,5.85375,1,34.17
1_2,1,zape,6,94,68,right,2,2,-2,4,5.718,1,34.17
1_2,3,fope,6,94,68,right,2,3,0,4,6.0915,1,34.17
1_2,2,pome,6,94,68,right,1,3,2,4,6.136,1,34.17
1_2,3,yope,6,94,68,right,1,3,2,4,6.028,1,34.17
1_2,1,zoke,6,94,68,right,2,3,0,4,5.26375,1,34.17
1_2,1,zope,6,94,68,right,2,3,0,4,5.553,1,34.17
1_2,3,doof,6,94,68,right,2,2,0,4,5.37375,1,34.17
1_2,1,noof,6,94,68,right,1,2,2,4,5.99775,1,34.17
1_2,4,toog,6,94,68,right,2,2,0,4,6.52125,1,34.17
1_2,1,yoob,6,94,68,right,1,2,2,4,4.62,1,34.17
1_2,1,zood,6,94,68,right,2,2,0,4,4.83525,1,34.17
1_2,2,pame,6,94,68,right,3,3,0,4,6.301,1,34.17
1_2,4,peks,6,94,68,right,3,3,0,4,5.4325,1,34.17
1_2,3,slek,6,94,68,right,3,3,0,4,,1,34.17
1_2,2,spak,6,94,68,right,3,3,0,4,4.29875,1,34.17
1_2,2,alak,6,94,68,right,3,3,0,4,5.28275,1,34.17
1_2,1,lale,6,94,68,right,3,3,0,4,7.22975,1,34.17
1_2,3,mepe,6,94,68,right,3,3,0,4,7.43475,1,34.17
1_2,1,rocl,6,94,68,right,3,3,0,4,5.07525,1,34.17
1_2,1,rorp,6,94,68,right,3,3,0,4,5.3525,1,34.17
1_2,1,jote,6,94,68,right,1,3,0,4,7.3545,1,34.17
1_2,3,mobe,6,94,68,right,1,3,0,4,6.02675,1,34.17
1_2,1,yote,6,94,68,right,1,3,0,4,7.80975,1,34.17
1_2,2,yove,6,94,68,right,1,3,0,4,5.79025,1,34.17
1_2,1,yoze,6,94,68,right,1,3,0,4,5.56425,1,34.17
1_2,3,deho,6,94,68,right,1,2,0,4,7.639,1,34.17
1_2,2,edop,6,94,68,right,1,2,0,4,6.59775,1,34.17
1_2,2,frol,6,94,68,right,1,1,0,4,4.93675,1,34.17
1_2,3,loac,6,94,68,right,1,2,0,4,5.62025,1,34.17
1_2,1,olra,6,94,68,right,,2,0,4,6.4215,1,34.17
1_2,2,yeem,6,94,68,right,2,2,0,4,7.446,1,34.17
1_2,3,faw,7,88,54,right,0,2,-3,3,4.251666667,1,28.17
1_2,1,resz,7,88,54,right,0,3,-4,4,6.2725,1,28.17
1_2,2,saf,7,88,54,right,0,2,-3,3,5.574,1,28.17
1_2,3,zers,7,88,54,right,0,3,-4,4,6.2725,1,28.17
1_2,3,zet,7,88,54,right,0,2,-3,3,7.277333333,1,28.17
1_2,4,dafe,7,88,54,right,0,3,-4,4,6.8375,1,28.17
1_2,2,tafe,7,88,54,right,0,3,-4,4,8.03825,1,28.17
1_2,3,zade,7,88,54,right,0,1,-4,4,6.299,1,28.17
1_2,2,zeef,7,88,54,right,0,2,-4,4,6.9265,1,28.17
1_2,3,zeeg,7,88,54,right,0,2,-4,4,6.87325,1,28.17
1_2,3,hilp,7,88,54,right,0,3,4,4,4.7535,1,28.17
1_2,5,hok,7,88,54,right,0,2,3,3,4.791,1,28.17
1_2,7,joi,7,88,54,right,0,2,3,3,4.875333333,1,28.17
1_2,3,kop,7,88,54,right,0,2,3,3,3.402666667,1,28.17
1_2,2,mok,7,88,54,right,0,2,3,3,3.561666667,1,28.17
1_2,2,hiol,7,88,54,right,0,2,4,4,6.148,1,28.17
1_2,6,kiy,7,88,54,right,0,1,3,3,3.237333333,1,28.17
1_2,5,poom,7,88,54,right,0,2,4,4,4.83725,1,28.17
1_2,4,yoom,7,88,54,right,0,2,4,4,4.8485,1,28.17
1_2,2,yoon,7,88,54,right,0,2,4,4,5.93425,1,28.17
1_2,3,pabe,7,88,54,right,1,3,-2,4,6.0725,1,28.17
1_2,3,yage,7,88,54,right,1,3,-2,4,6.2145,1,28.17
1_2,2,zofe,7,88,54,right,2,3,-2,4,5.62775,1,28.17
1_2,3,zoge,7,88,54,right,2,3,-2,4,5.5745,1,28.17
1_2,2,zote,7,88,54,right,2,3,-2,4,7.33475,1,28.17
1_2,7,jeet,7,88,54,right,1,2,-2,4,8.65325,1,28.17
1_2,4,tofe,7,88,54,right,2,3,-2,4,7.87325,1,28.17
1_2,5,vofe,7,88,54,right,2,3,-2,4,5.85375,1,28.17
