posemo,negemo
0.00,0.00
0.00,7.69
0.00,6.67
0.00,0.00
0.00,7.69
7.14,0.00
0.00,5.88
0.00,0.00
0.00,6.67
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
6.67,0.00
0.00,0.00
0.00,14.29
0.00,7.14
0.00,0.00
0.00,0.00
0.00,0.00
0.00,9.09
0.00,0.00
0.00,0.00
6.25,6.25
0.00,14.29
0.00,0.00
0.00,0.00
0.00,0.00
0.00,14.29
0.00,18.75
7.14,14.29
0.00,5.56
0.00,0.00
0.00,0.00
6.25,0.00
7.69,0.00
0.00,6.25
0.00,0.00
0.00,6.67
7.69,7.69
0.00,5.88
0.00,0.00
0.00,0.00
0.00,0.00
0.00,6.25
0.00,0.00
11.11,11.11
0.00,0.00
6.67,0.00
0.00,0.00
0.00,12.50
0.00,5.56
0.00,6.67
0.00,13.33
0.00,6.25
0.00,0.00
0.00,0.00
0.00,6.67
0.00,0.00
0.00,0.00
0.00,0.00
0.00,6.67
0.00,6.25
0.00,0.00
0.00,6.67
0.00,6.25
0.00,0.00
0.00,0.00
0.00,5.88
0.00,0.00
0.00,7.69
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
7.69,0.00
6.67,0.00
0.00,0.00
0.00,0.00
0.00,0.00
6.67,0.00
0.00,0.00
0.00,6.67
0.00,5.88
0.00,5.56
0.00,0.00
0.00,0.00
0.00,5.56
5.26,0.00
5.56,0.00
0.00,0.00
5.88,17.65
6.67,0.00
0.00,17.65
0.00,5.88
0.00,12.50
0.00,0.00
0.00,0.00
0.00,5.00
0.00,5.26
0.00,11.76
0.00,0.00
0.00,5.88
0.00,0.00
5.56,5.56
0.00,0.00
0.00,5.88
0.00,0.00
0.00,0.00
0.00,6.25
0.00,0.00
0.00,5.56
5.56,0.00
0.00,0.00
6.67,0.00
5.56,0.00
0.00,0.00
0.00,4.76
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,10.53
0.00,5.26
10.53,0.00
0.00,6.25
0.00,0.00
0.00,0.00
0.00,5.56
0.00,5.56
0.00,10.53
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,5.56
0.00,5.88
0.00,0.00
0.00,5.56
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,5.56
6.25,0.00
0.00,5.00
0.00,0.00
0.00,0.00
0.00,5.56
0.00,9.52
0.00,0.00
0.00,4.76
0.00,0.00
0.00,5.00
0.00,0.00
5.00,0.00
0.00,5.26
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,5.88
0.00,0.00
0.00,15.79
0.00,0.00
0.00,6.25
0.00,5.26
5.00,10.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,10.53
0.00,0.00
0.00,0.00
0.00,10.53
0.00,0.00
0.00,5.00
4.76,0.00
0.00,0.00
5.26,5.26
0.00,0.00
0.00,9.52
0.00,5.56
4.76,0.00
0.00,0.00
0.00,0.00
0.00,4.76
0.00,0.00
0.00,5.56
9.52,0.00
5.00,0.00
0.00,5.26
0.00,0.00
0.00,0.00
0.00,15.00
0.00,0.00
0.00,0.00
5.26,0.00
0.00,0.00
0.00,4.76
0.00,4.76
0.00,4.35
0.00,0.00
0.00,4.55
0.00,0.00
0.00,0.00
11.76,0.00
0.00,4.76
0.00,0.00
0.00,0.00
6.67,0.00
0.00,0.00
0.00,0.00
0.00,14.29
0.00,4.35
4.17,4.17
0.00,0.00
4.76,14.29
0.00,0.00
4.35,4.35
4.00,12.00
0.00,0.00
0.00,0.00
0.00,4.55
5.26,0.00
0.00,10.53
0.00,8.70
4.17,0.00
4.76,4.76
0.00,0.00
0.00,0.00
0.00,4.76
0.00,5.26
0.00,0.00
4.76,4.76
0.00,0.00
0.00,0.00
7.14,3.57
0.00,0.00
4.76,0.00
0.00,0.00
0.00,11.76
0.00,0.00
0.00,4.35
0.00,10.00
0.00,0.00
0.00,4.35
0.00,4.76
0.00,0.00
0.00,0.00
0.00,0.00
0.00,4.55
0.00,0.00
0.00,4.17
0.00,4.76
0.00,0.00
0.00,9.09
0.00,5.00
0.00,4.76
4.76,0.00
0.00,4.35
0.00,0.00
0.00,0.00
0.00,0.00
5.00,0.00
0.00,0.00
0.00,8.33
7.41,3.70
4.17,0.00
0.00,0.00
0.00,4.35
3.85,7.69
0.00,4.35
0.00,7.41
0.00,0.00
0.00,3.70
0.00,5.56
4.55,0.00
0.00,4.35
4.76,4.76
0.00,8.70
0.00,0.00
0.00,4.55
0.00,4.17
0.00,0.00
0.00,0.00
0.00,0.00
0.00,4.35
0.00,4.35
0.00,4.35
0.00,4.35
4.35,4.35
4.35,0.00
4.55,0.00
0.00,9.52
4.17,0.00
0.00,0.00
3.85,3.85
0.00,0.00
4.76,9.52
0.00,11.11
0.00,0.00
4.55,0.00
0.00,0.00
0.00,0.00
0.00,4.17
0.00,4.35
0.00,3.85
4.55,0.00
0.00,0.00
4.17,4.17
0.00,0.00
4.55,9.09
0.00,9.09
0.00,4.17
0.00,4.17
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,3.85
0.00,4.35
0.00,0.00
0.00,3.70
4.35,0.00
3.57,0.00
0.00,0.00
3.70,0.00
0.00,0.00
0.00,4.55
0.00,3.85
0.00,12.00
0.00,4.76
0.00,4.35
0.00,4.17
0.00,0.00
8.00,4.00
0.00,4.00
0.00,0.00
0.00,8.00
0.00,8.70
0.00,4.35
0.00,0.00
0.00,8.70
0.00,4.17
4.55,4.55
0.00,3.85
0.00,4.17
0.00,3.45
0.00,0.00
0.00,7.69
0.00,0.00
0.00,4.17
0.00,0.00
0.00,0.00
7.14,0.00
0.00,0.00
4.00,0.00
0.00,10.71
0.00,0.00
0.00,7.14
3.85,0.00
3.57,7.14
4.00,8.00
0.00,4.55
0.00,3.85
8.70,0.00
0.00,7.41
4.35,4.35
0.00,4.00
0.00,0.00
0.00,3.70
0.00,4.17
3.57,10.71
0.00,4.17
0.00,3.70
0.00,0.00
3.57,0.00
0.00,8.33
7.41,0.00
7.69,0.00
0.00,0.00
0.00,8.00
0.00,4.35
0.00,0.00
0.00,0.00
0.00,4.00
0.00,0.00
0.00,0.00
0.00,4.00
0.00,3.33
0.00,6.90
0.00,3.85
0.00,0.00
0.00,0.00
0.00,4.17
0.00,0.00
0.00,7.69
0.00,0.00
0.00,0.00
0.00,0.00
3.57,0.00
0.00,3.85
3.85,0.00
7.14,0.00
0.00,3.45
0.00,3.12
4.00,0.00
11.54,3.85
0.00,0.00
0.00,0.00
10.34,3.45
0.00,3.33
0.00,3.45
0.00,3.85
0.00,4.00
0.00,3.85
4.00,0.00
4.00,4.00
0.00,4.17
0.00,0.00
0.00,4.35
0.00,3.85
3.45,6.90
7.41,3.70
0.00,4.00
7.69,3.85
0.00,0.00
0.00,4.00
4.35,4.35
3.85,7.69
0.00,6.90
0.00,0.00
0.00,0.00
3.23,0.00
0.00,0.00
0.00,6.90
0.00,3.45
0.00,8.33
0.00,0.00
0.00,3.45
0.00,0.00
7.69,3.85
4.17,8.33
7.14,3.57
0.00,3.23
0.00,4.00
0.00,0.00
3.85,0.00
0.00,0.00
0.00,0.00
0.00,3.33
0.00,0.00
0.00,3.45
0.00,4.00
8.00,0.00
0.00,0.00
4.00,8.00
0.00,0.00
0.00,8.33
0.00,3.45
0.00,0.00
0.00,9.68
0.00,3.57
0.00,3.70
0.00,3.12
0.00,3.12
0.00,0.00
0.00,0.00
0.00,4.17
0.00,7.14
0.00,0.00
0.00,3.57
3.57,0.00
3.85,0.00
4.00,0.00
0.00,0.00
7.41,3.70
0.00,10.34
0.00,7.69
0.00,0.00
0.00,0.00
0.00,0.00
0.00,7.14
0.00,2.86
0.00,0.00
0.00,3.57
3.85,0.00
0.00,3.57
0.00,3.33
0.00,6.67
0.00,12.50
0.00,0.00
0.00,3.57
3.57,0.00
0.00,6.90
0.00,12.50
3.03,0.00
3.03,0.00
0.00,0.00
0.00,3.45
3.57,10.71
3.33,6.67
0.00,3.23
0.00,0.00
5.41,0.00
0.00,3.70
0.00,10.71
0.00,3.45
0.00,0.00
0.00,0.00
3.33,3.33
0.00,0.00
0.00,0.00
0.00,3.70
10.71,0.00
0.00,0.00
3.33,10.00
0.00,3.23
0.00,0.00
0.00,3.33
0.00,3.70
0.00,0.00
3.70,0.00
6.45,6.45
0.00,0.00
0.00,9.68
0.00,3.23
3.45,3.45
0.00,3.57
6.25,9.38
0.00,0.00
0.00,8.82
3.57,3.57
0.00,0.00
0.00,3.12
0.00,0.00
0.00,0.00
3.45,0.00
3.70,3.70
3.23,0.00
0.00,0.00
0.00,0.00
3.45,3.45
0.00,0.00
0.00,0.00
0.00,3.03
0.00,6.45
3.33,6.67
0.00,0.00
3.57,0.00
0.00,12.50
0.00,0.00
0.00,6.45
0.00,0.00
3.23,0.00
0.00,0.00
0.00,2.86
0.00,0.00
3.70,7.41
0.00,10.71
0.00,0.00
0.00,0.00
0.00,0.00
10.34,0.00
3.45,0.00
0.00,6.25
0.00,21.43
0.00,3.33
0.00,10.34
3.45,3.45
0.00,0.00
3.03,6.06
0.00,0.00
0.00,5.26
0.00,3.12
6.90,3.45
0.00,10.71
5.56,0.00
3.03,15.15
3.12,9.38
0.00,5.71
0.00,0.00
0.00,9.09
2.27,0.00
2.94,5.88
0.00,5.56
0.00,3.23
0.00,6.25
0.00,5.88
0.00,6.67
0.00,0.00
5.88,2.94
0.00,0.00
0.00,0.00
0.00,0.00
2.86,0.00
0.00,0.00
0.00,2.94
0.00,6.90
0.00,0.00
0.00,0.00
0.00,9.09
0.00,0.00
0.00,0.00
0.00,0.00
0.00,3.03
3.23,0.00
0.00,3.45
4.88,0.00
0.00,0.00
3.12,12.50
0.00,18.75
3.12,6.25
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,8.82
0.00,9.09
0.00,0.00
0.00,0.00
3.45,6.90
0.00,2.94
5.26,2.63
6.45,3.23
0.00,5.88
3.03,0.00
3.03,3.03
0.00,0.00
0.00,0.00
3.03,9.09
0.00,0.00
2.86,5.71
0.00,0.00
0.00,3.33
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,11.76
0.00,6.06
0.00,3.33
0.00,0.00
11.76,0.00
0.00,16.67
0.00,4.76
0.00,0.00
0.00,0.00
2.86,5.71
0.00,0.00
2.86,2.86
0.00,8.57
0.00,2.94
0.00,2.56
8.11,0.00
0.00,3.45
0.00,2.70
0.00,6.67
0.00,7.89
2.50,0.00
0.00,0.00
0.00,2.63
5.26,0.00
3.12,3.12
0.00,2.63
3.12,0.00
0.00,2.94
5.26,5.26
0.00,0.00
0.00,11.76
0.00,6.25
0.00,0.00
0.00,0.00
2.63,10.53
0.00,5.41
3.12,0.00
2.94,2.94
0.00,2.70
0.00,0.00
0.00,0.00
0.00,2.38
0.00,0.00
0.00,2.78
0.00,14.71
0.00,12.12
0.00,0.00
0.00,19.44
0.00,0.00
0.00,13.89
0.00,6.06
0.00,9.09
0.00,2.70
0.00,2.78
3.03,6.06
2.56,5.13
0.00,2.94
0.00,2.27
0.00,2.70
0.00,4.65
6.06,0.00
0.00,6.90
0.00,0.00
0.00,0.00
6.06,3.03
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,11.76
0.00,5.71
0.00,0.00
0.00,5.88
0.00,0.00
0.00,2.63
2.94,8.82
3.03,0.00
0.00,0.00
0.00,0.00
0.00,5.26
2.33,2.33
5.00,2.50
5.13,5.13
0.00,0.00
5.41,0.00
0.00,6.06
0.00,2.86
2.86,0.00
3.03,0.00
2.86,0.00
0.00,2.44
0.00,0.00
2.86,5.71
0.00,0.00
0.00,2.94
0.00,3.03
0.00,2.63
0.00,5.00
0.00,2.94
0.00,0.00
0.00,0.00
0.00,6.82
0.00,0.00
2.78,5.56
2.70,0.00
2.38,0.00
0.00,2.27
0.00,7.32
0.00,5.26
0.00,0.00
0.00,2.38
2.70,0.00
0.00,0.00
0.00,0.00
8.33,2.78
0.00,0.00
2.70,8.11
0.00,7.50
2.50,0.00
2.56,2.56
3.33,3.33
2.44,2.44
0.00,2.56
2.22,0.00
0.00,3.03
0.00,7.14
0.00,0.00
0.00,0.00
0.00,0.00
0.00,2.27
0.00,4.88
0.00,4.88
0.00,2.94
0.00,5.41
2.56,2.56
0.00,6.67
2.70,2.70
0.00,0.00
2.94,2.94
0.00,4.65
0.00,7.32
0.00,0.00
0.00,2.78
0.00,7.69
5.71,0.00
4.55,0.00
0.00,2.70
0.00,0.00
2.86,5.71
5.13,2.56
0.00,7.89
0.00,0.00
0.00,5.26
0.00,9.09
2.44,2.44
0.00,2.27
0.00,0.00
0.00,7.69
2.56,0.00
0.00,0.00
0.00,2.33
5.13,5.13
2.44,4.88
0.00,0.00
2.56,0.00
0.00,12.50
0.00,0.00
0.00,5.26
0.00,5.13
0.00,2.38
0.00,4.88
0.00,0.00
0.00,2.17
0.00,2.44
0.00,7.69
0.00,2.94
0.00,0.00
0.00,2.56
0.00,0.00
0.00,0.00
2.44,0.00
2.70,0.00
0.00,7.32
0.00,0.00
2.56,0.00
0.00,6.98
0.00,0.00
0.00,2.56
0.00,7.50
0.00,0.00
0.00,0.00
4.65,0.00
0.00,2.63
0.00,7.89
2.38,7.14
0.00,0.00
0.00,2.50
0.00,2.50
0.00,5.41
0.00,4.88
4.88,4.88
8.11,2.70
0.00,0.00
7.50,0.00
0.00,4.44
5.13,0.00
0.00,2.08
2.50,2.50
2.50,0.00
0.00,4.88
0.00,2.33
0.00,2.50
2.17,2.17
2.13,0.00
0.00,4.17
0.00,2.13
0.00,8.89
2.27,0.00
0.00,2.33
0.00,2.22
5.26,0.00
2.63,7.89
0.00,2.70
0.00,11.11
0.00,5.13
0.00,5.13
0.00,0.00
7.89,2.63
2.50,2.50
2.22,2.22
0.00,2.27
0.00,2.56
4.76,0.00
2.33,2.33
2.44,7.32
0.00,7.32
0.00,6.38
0.00,10.42
0.00,2.27
4.76,2.38
4.35,6.52
0.00,2.17
0.00,0.00
0.00,0.00
0.00,0.00
0.00,3.92
0.00,4.65
2.50,2.50
0.00,0.00
0.00,0.00
2.56,0.00
0.00,2.22
0.00,4.76
4.00,4.00
0.00,8.70
8.00,4.00
0.00,4.65
2.08,2.08
0.00,0.00
0.00,7.14
0.00,2.27
2.33,6.98
2.17,4.35
0.00,0.00
0.00,4.76
0.00,6.98
0.00,4.55
2.44,0.00
0.00,0.00
0.00,5.00
0.00,0.00
0.00,4.44
0.00,10.26
4.88,2.44
0.00,4.44
2.22,0.00
2.13,4.26
2.04,4.08
2.17,2.17
6.98,9.30
0.00,2.33
0.00,0.00
0.00,4.17
0.00,6.98
4.35,4.35
2.00,2.00
2.44,2.44
2.38,4.76
0.00,9.52
4.44,2.22
0.00,2.33
0.00,0.00
2.33,0.00
4.44,4.44
0.00,8.51
0.00,4.08
2.27,6.82
4.44,2.22
0.00,0.00
0.00,0.00
0.00,0.00
2.44,4.88
0.00,8.00
2.33,2.33
0.00,6.12
0.00,0.00
0.00,2.63
2.04,6.12
0.00,4.00
4.35,4.35
4.76,0.00
2.17,4.35
4.35,2.17
2.22,2.22
0.00,4.17
0.00,4.08
0.00,2.22
0.00,4.26
0.00,2.00
2.44,0.00
0.00,6.52
2.00,0.00
9.43,1.89
0.00,0.00
2.38,2.38
0.00,0.00
0.00,2.27
0.00,2.04
8.00,6.00
0.00,2.38
1.92,1.92
0.00,4.35
0.00,0.00
0.00,9.09
0.00,4.88
0.00,6.00
0.00,8.51
4.00,0.00
6.25,0.00
2.44,0.00
1.75,0.00
0.00,6.82
0.00,2.33
3.92,1.96
2.04,4.08
0.00,0.00
2.00,6.00
1.96,3.92
0.00,0.00
0.00,2.22
0.00,0.00
0.00,0.00
0.00,2.27
7.14,4.76
0.00,5.88
0.00,0.00
2.33,4.65
3.70,1.85
0.00,1.96
0.00,4.55
0.00,2.00
2.13,4.26
0.00,6.38
0.00,7.69
0.00,6.00
0.00,6.12
4.17,2.08
0.00,5.77
4.00,0.00
0.00,2.33
0.00,2.00
1.89,0.00
0.00,0.00
2.56,0.00
4.35,2.17
0.00,3.92
0.00,3.85
0.00,4.44
2.04,4.08
0.00,2.00
1.89,0.00
0.00,5.88
1.92,1.92
1.92,1.92
1.82,0.00
1.75,0.00
4.35,2.17
0.00,4.08
0.00,1.89
0.00,9.62
0.00,0.00
0.00,0.00
0.00,0.00
0.00,2.17
1.85,0.00
1.82,7.27
4.44,8.89
2.04,0.00
3.64,0.00
0.00,1.96
1.82,0.00
1.96,0.00
0.00,0.00
0.00,1.75
2.27,9.09
0.00,6.00
0.00,4.08
2.17,0.00
5.88,3.92
1.85,0.00
3.85,1.92
0.00,0.00
1.82,0.00
0.00,1.85
3.57,0.00
0.00,2.22
0.00,1.72
0.00,1.92
1.89,3.77
0.00,1.75
7.55,3.77
1.92,3.85
0.00,3.64
0.00,1.96
0.00,0.00
0.00,0.00
0.00,3.92
2.00,6.00
3.17,0.00
0.00,7.69
0.00,1.69
3.39,1.69
0.00,1.56
4.00,2.00
4.08,6.12
0.00,0.00
1.85,1.85
6.38,2.13
0.00,2.13
0.00,3.57
0.00,3.51
0.00,7.41
1.92,1.92
0.00,3.57
0.00,6.78
0.00,3.85
0.00,0.00
0.00,3.77
0.00,0.00
0.00,5.88
1.67,0.00
0.00,1.92
0.00,3.57
0.00,5.17
0.00,1.72
0.00,3.33
1.79,1.79
0.00,0.00
0.00,6.00
1.85,5.56
1.59,3.17
0.00,3.17
1.82,1.82
0.00,0.00
0.00,3.45
1.64,1.64
0.00,0.00
0.00,1.67
0.00,3.45
0.00,1.79
0.00,3.33
1.61,3.23
4.76,0.00
1.54,3.08
2.00,0.00
0.00,0.00
3.77,3.77
1.79,1.79
0.00,1.64
1.75,5.26
0.00,3.51
1.82,1.82
5.36,1.79
0.00,1.64
0.00,1.92
1.85,1.85
1.59,4.76
0.00,1.75
0.00,1.89
3.70,0.00
6.45,0.00
0.00,8.62
0.00,5.26
0.00,0.00
0.00,1.61
0.00,14.29
0.00,3.28
3.45,1.72
0.00,1.69
0.00,0.00
0.00,5.66
1.75,5.26
3.03,0.00
1.96,0.00
0.00,1.79
1.67,8.33
0.00,2.99
1.75,5.26
1.75,1.75
1.54,3.08
1.54,0.00
1.67,3.33
4.84,1.61
1.61,4.84
0.00,1.56
1.72,1.72
0.00,3.57
0.00,3.45
1.69,3.39
0.00,0.00
0.00,0.00
0.00,1.49
1.56,4.69
0.00,3.28
2.86,4.29
6.90,0.00
0.00,1.69
0.00,1.67
1.47,1.47
1.72,5.17
0.00,0.00
0.00,1.61
0.00,5.17
0.00,1.54
1.72,6.90
3.08,1.54
0.00,7.81
0.00,1.59
0.00,2.99
0.00,1.59
0.00,5.08
1.45,1.45
0.00,1.52
0.00,1.72
0.00,3.17
0.00,6.15
0.00,3.03
10.00,1.67
1.72,3.45
1.52,4.55
0.00,4.84
0.00,1.56
1.69,3.39
1.64,1.64
0.00,0.00
4.11,0.00
1.54,1.54
0.00,4.84
3.28,6.56
1.54,4.62
1.52,6.06
0.00,0.00
0.00,0.00
0.00,2.99
1.47,2.94
5.71,1.43
3.39,0.00
0.00,0.00
1.45,2.90
1.52,0.00
4.48,2.99
0.00,4.92
0.00,9.38
1.39,1.39
0.00,0.00
1.67,6.67
1.67,8.33
3.08,6.15
1.54,4.62
0.00,5.63
1.72,1.72
8.82,5.88
0.00,1.37
4.41,2.94
5.97,11.94
2.90,1.45
0.00,1.56
1.54,0.00
0.00,2.99
1.61,1.61
0.00,0.00
1.37,0.00
1.47,2.94
1.92,3.85
1.59,0.00
0.00,6.06
1.49,1.49
0.00,1.49
0.00,3.08
1.49,1.49
1.41,0.00
1.52,1.52
1.45,4.35
1.28,3.85
0.00,2.99
0.00,0.00
0.00,4.35
0.00,1.41
1.56,0.00
0.00,6.15
0.00,1.35
2.90,1.45
0.00,0.00
4.41,2.94
2.86,4.29
1.49,4.48
0.00,0.00
0.00,1.41
1.47,1.47
0.00,0.00
1.39,1.39
0.00,1.47
0.00,4.69
1.52,4.55
1.47,2.94
0.00,0.00
0.00,7.14
0.00,0.00
1.45,10.14
1.39,0.00
1.37,0.00
1.49,2.99
0.00,5.06
5.56,1.39
0.00,1.37
0.00,0.00
0.00,2.94
4.35,2.90
1.39,5.56
2.86,5.71
1.47,10.29
0.00,1.49
1.49,2.99
5.48,1.37
0.00,1.47
0.00,5.56
0.00,0.00
1.47,0.00
0.00,1.32
2.86,1.43
2.67,6.67
0.00,4.41
1.39,1.39
1.37,2.74
0.00,1.35
1.33,0.00
2.47,2.47
0.00,0.00
6.94,0.00
0.00,6.67
2.53,0.00
0.00,5.13
2.50,2.50
0.00,0.00
2.90,4.35
1.30,5.19
2.86,0.00
0.00,4.94
0.00,4.23
2.67,4.00
1.20,3.61
1.35,4.05
0.00,1.22
1.22,8.54
0.00,4.17
1.18,3.53
2.60,1.30
2.38,1.19
5.63,1.41
0.00,4.00
2.56,2.56
2.74,0.00
0.00,1.37
0.00,0.00
0.00,0.00
2.41,0.00
0.00,0.00
1.32,0.00
0.00,1.14
0.00,5.13
0.00,3.95
0.00,1.25
5.95,4.76
0.00,3.57
3.33,1.11
1.23,1.23
4.94,2.47
3.57,5.95
0.00,0.00
1.25,1.25
1.23,4.94
1.20,3.61
4.44,0.00
0.00,1.27
4.49,0.00
0.00,1.27
1.08,0.00
0.00,0.00
0.00,2.63
2.30,4.60
0.00,3.57
0.00,2.35
2.53,2.53
1.02,3.06
1.11,1.11
1.11,1.11
0.00,3.49
1.14,7.95
2.33,13.95
1.09,2.17
1.11,2.22
0.00,5.81
2.33,1.16
0.00,3.75
1.19,4.76
3.33,5.56
0.00,3.45
1.11,0.00
1.04,6.25
0.00,2.33
2.50,3.75
4.65,10.47
0.00,1.02
1.06,2.13
0.00,1.06
1.16,8.14
0.00,3.19
0.00,3.06
0.97,1.94
0.00,0.99
0.00,2.13
0.00,2.08
2.22,3.33
0.98,9.80
5.26,3.16
3.23,1.08
0.00,4.81
0.00,1.03
0.90,3.60
4.44,5.56
0.95,0.00
0.00,0.97
1.16,3.49
0.00,4.44
0.00,4.21
2.86,0.95
1.18,3.53
1.00,2.00
0.00,0.00
0.00,2.88
1.85,3.70
1.02,3.06
0.00,5.32
2.86,0.95
2.86,2.86
0.00,2.06
3.00,4.00
3.12,1.04
0.00,3.03
0.00,5.10
0.00,1.90
2.56,5.13
2.88,1.92
0.00,3.19
0.00,4.67
0.00,4.67
0.98,0.00
0.94,4.72
1.03,4.12
3.77,0.94
0.00,3.81
2.59,6.03
0.00,2.94
1.89,4.72
0.00,5.61
0.00,4.39
0.96,4.81
0.87,4.35
2.88,2.88
0.00,1.79
0.96,2.88
0.90,1.80
5.04,0.84
0.00,0.00
0.00,4.63
0.00,1.83
4.76,1.90
0.00,2.80
0.00,2.44
1.68,5.88
0.00,1.82
2.61,4.35
0.85,1.71
0.90,3.60
2.36,2.36
0.00,1.65
2.46,0.82
0.88,1.77
0.91,0.91
0.85,2.54
1.83,2.75
0.84,1.68
0.00,2.73
0.86,1.72
2.46,0.82
1.75,2.63
0.90,6.31
0.91,3.64
0.84,0.84
0.00,4.92
0.99,2.97
0.81,1.61
0.78,1.55
1.56,3.12
0.00,5.13
2.42,2.42
0.00,5.00
5.38,2.31
1.55,2.33
0.81,2.44
0.76,1.52
0.00,3.25
0.00,4.51
0.00,3.12
4.00,0.00
0.76,3.82
2.34,2.34
0.00,3.05
1.52,8.33
0.00,3.05
0.00,0.71
2.80,1.40
1.38,2.76
0.00,6.43
0.00,6.30
0.00,2.44
1.52,3.79
2.03,1.35
2.96,0.00
1.49,1.49
0.71,4.96
0.69,2.78
0.68,1.36
3.40,1.36
1.39,1.39
1.43,2.86
0.00,6.00
1.91,0.64
0.00,1.96
0.70,1.40
0.60,3.61
0.68,0.68
1.35,2.70
0.59,2.94
1.81,1.81
1.81,1.81
0.64,0.64
2.76,1.10
0.60,3.57
2.87,4.60
2.78,2.22
