gender,race,Q3,Q5,Q10,Q13,Q16,Q17,Q21,Q2,Q4,Q7,Q9,Q15,Q19,Q20,Q1,Q6,Q8,Q11,Q12,Q14,Q18
female,white,3,2,1,3,1,1,1,2,1,1,3,1,2,1,3,3,1,3,3,2,3
female,white,3,3,2,4,3,2,1,2,2,4,3,4,2,1,4,1,4,3,4,2,2
female,white,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,4,1,1
male,white,2,2,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1
female,white,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,3,2,1,1,1
male,white,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
female,white,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,1,2,1,1,1,1,1,1,2,2,1,1,1,1,3,3,2,1,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,white,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1
female,white,1,3,1,2,1,1,1,3,1,2,4,1,1,1,2,2,2,2,2,2,1
female,white,1,2,1,2,1,1,1,3,1,1,1,1,1,1,2,2,1,2,2,1,2
male,white,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1
female,white,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
male,white,1,1,2,2,3,4,1,1,1,3,1,2,3,2,2,2,2,3,3,1,4
female,white,1,2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,3,3,2,2
male,white,1,3,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1
male,white,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1
female,white,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1
female,white,2,3,1,1,3,1,2,4,1,1,1,1,1,1,1,1,2,2,1,1,2
male,white,2,2,2,3,2,1,1,4,3,1,1,1,1,2,3,1,1,3,3,2,1
female,white,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,2,1,1,2
female,white,1,1,1,3,1,1,1,2,1,1,2,1,1,1,1,2,1,4,2,2,2
male,white,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1
female,white,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
female,white,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
male,white,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1
female,white,1,1,1,1,1,1,1,1,2,3,3,4,2,2,2,3,3,1,2,3,1
female,white,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,white,2,2,3,3,3,2,1,4,3,4,2,2,4,2,3,3,2,3,4,3,2
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,3,3,4,3,3,1,3,2,1,2,3,1,2,1,2,2,2,3,2,2,1
female,white,2,3,2,2,1,2,1,2,1,2,3,2,1,2,3,2,2,2,2,2,3
male,white,3,3,1,3,3,2,2,1,1,1,1,1,1,1,2,3,1,1,2,2,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
male,white,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
female,white,2,3,2,2,3,1,1,2,1,1,2,3,1,2,1,3,3,4,2,1,4
female,white,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2
female,white,1,2,1,2,1,1,1,1,2,1,1,2,1,1,3,1,2,1,2,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,3,3,2,2
female,white,2,2,2,1,1,1,1,3,1,1,2,1,1,1,2,1,1,2,2,1,1
female,white,2,2,2,2,2,2,1,2,1,1,2,1,2,1,3,3,1,3,2,2,1
male,white,2,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,1
male,white,1,3,2,2,2,2,3,2,2,2,3,3,2,3,2,3,2,3,2,2,2
male,white,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,3,2,3,2,1
male,white,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2
male,white,3,4,4,4,4,4,4,1,1,1,2,2,1,4,4,3,1,3,4,2,2
male,white,2,2,1,1,2,2,1,3,2,2,2,1,2,1,2,2,2,1,1,1,2
male,white,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,2,4,2,1,1,1,1,2,3,2,3,1,1,1,2,2,3,2,2,1,1
male,white,3,2,3,1,2,2,2,1,2,2,3,1,2,2,2,2,3,2,2,2,2
male,white,2,3,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2
female,white,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,1,3,2,1,2
female,white,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,3,1,3,1,1,3
female,white,3,1,2,1,4,1,1,2,4,3,1,3,3,4,1,2,4,3,4,2,2
male,white,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,2,4,2,2,3,3
female,white,1,1,1,1,1,1,1,1,2,2,1,3,2,1,2,1,2,1,3,1,1
female,white,1,1,1,1,1,1,1,4,2,3,3,1,1,1,2,4,3,2,2,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,white,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,2,2,2,2
female,white,1,4,1,2,1,1,1,2,1,1,3,1,1,1,2,2,1,2,2,1,2
female,white,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1
male,white,2,3,1,1,1,1,1,4,1,1,2,1,1,1,2,3,2,2,2,2,2
female,white,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,3,1,2,2,1,1
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,2,2,2,2,2,2,1,2,2,2,1,1,2,1,3,1,2,2,2,1,2
female,white,1,1,1,1,1,2,1,1,1,2,2,2,1,1,3,2,1,1,2,1,1
male,white,2,3,2,2,2,1,1,1,3,1,2,1,3,1,2,2,2,1,1,2,1
female,white,1,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,2,2,1,1,1
female,white,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1
female,white,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1
male,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
male,white,1,3,1,3,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1
female,white,1,2,1,1,1,1,1,3,3,1,1,1,1,1,2,1,1,2,2,1,1
female,white,2,2,3,2,3,4,1,2,1,2,3,4,1,1,2,1,2,2,2,2,3
female,white,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1
female,white,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1
female,white,2,3,1,2,2,1,1,1,2,1,3,1,1,1,4,3,2,3,4,1,1
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2
male,white,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,3,4,3,3,3,2,2,4,2,4,4,3,4,4,3,3,4,4,4,3,3
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,3,3,4,4,2,3,3,3,1,4,3,1,1,1,2,2,3,4,4,3,1
female,white,1,3,1,1,2,1,1,3,3,1,3,1,1,1,2,1,2,3,1,2,3
female,white,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1
female,white,1,3,3,2,2,3,2,2,2,1,3,2,2,1,2,2,2,3,3,3,1
male,white,1,1,1,2,1,1,1,3,1,1,2,1,1,1,1,3,2,2,2,1,2
female,white,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,3,1,1,2
male,white,1,1,1,2,1,1,1,1,3,1,2,1,1,1,2,2,1,2,2,2,1
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
male,white,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1
female,white,1,2,1,2,1,1,1,1,2,2,3,1,1,2,2,1,1,2,1,2,2
male,white,2,1,1,3,2,2,2,2,1,1,2,1,1,2,1,2,3,2,1,2,3
female,white,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
female,white,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,3
male,white,2,2,1,1,1,1,1,4,3,1,2,1,2,1,2,1,3,2,2,1,1
female,white,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,3,2,1,3,1,1
female,white,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1
female,white,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1
male,white,2,3,3,3,2,2,2,2,2,1,1,1,1,2,2,1,2,3,3,1,2
female,white,2,2,2,2,1,2,1,2,2,4,2,2,2,1,3,2,4,3,3,3,2
female,white,2,2,1,2,1,2,1,3,1,1,1,2,3,1,2,4,2,2,2,2,2
male,white,2,3,3,2,2,2,1,3,2,2,4,1,3,2,3,2,4,2,1,3,3
male,white,3,3,2,2,2,1,1,3,2,1,2,2,2,1,3,2,2,3,3,2,1
male,white,1,2,1,1,1,1,1,3,1,1,2,1,1,1,3,1,1,1,2,1,1
female,white,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,2,4,2,1,2,2,1,1,1,1,2,1,1,1,4,1,2,3,2,3,2
female,white,1,1,1,2,1,1,1,2,3,2,1,3,4,2,3,1,3,1,2,1,1
male,white,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1
male,white,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1
female,white,1,2,1,2,1,1,1,3,1,1,1,1,1,2,3,2,2,2,3,2,3
male,white,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,1,1,2,2,2,2
male,white,1,2,1,2,2,1,1,4,1,2,1,1,1,1,4,2,2,2,2,2,1
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
male,white,1,3,1,1,1,1,1,1,2,3,2,1,1,1,3,2,2,2,3,1,3
male,white,2,1,2,1,2,4,1,2,2,1,2,2,1,1,1,1,3,1,1,2,2
female,white,1,1,1,1,1,1,1,4,1,2,1,1,1,1,4,1,1,3,3,1,1
male,white,2,2,2,4,3,4,1,4,2,3,1,1,1,2,2,3,2,2,3,2,2
female,white,2,1,1,2,1,1,1,2,1,2,2,2,1,2,3,3,2,4,2,2,2
female,white,1,2,1,1,1,1,1,1,2,1,2,2,2,2,3,1,2,3,2,1,1
female,white,1,2,2,3,1,1,1,1,1,2,2,1,1,2,2,1,3,2,1,2,2
male,white,1,2,1,2,1,1,1,3,2,1,1,2,1,2,1,3,1,2,2,1,1
male,white,3,3,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,1,2,1
female,white,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1
female,white,2,2,1,1,1,1,1,4,1,1,2,2,2,1,2,1,1,3,2,1,1
female,white,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1
male,white,2,2,3,2,1,1,1,2,2,2,3,2,3,1,2,3,2,3,2,2,2
male,white,2,4,3,2,3,4,1,4,3,4,3,2,1,1,2,4,4,4,4,2,2
male,white,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1
female,white,2,2,2,3,1,2,1,1,1,2,3,1,1,1,2,2,2,2,1,1,1
female,white,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1
male,white,2,1,2,2,1,2,2,1,1,3,3,1,1,1,3,1,2,3,3,3,4
male,white,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1
female,white,3,3,4,3,3,2,1,1,1,2,1,3,1,2,3,3,3,4,3,3,1
male,white,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,1,4,1,2,2,1,2,3,2,1,2,2,2,2,2,2,1,2,3,1,1
female,white,2,1,1,3,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
female,white,1,2,1,2,2,1,1,3,1,1,3,1,1,1,2,2,2,2,1,2,1
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,2,2,1,2,2,1,1,1,1,1,1,2,1,2,3,1,2,2,3,2,2
male,white,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1
female,white,4,3,3,3,2,1,3,4,2,1,1,1,3,1,3,3,2,3,3,2,2
male,white,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
female,white,3,1,1,1,2,1,1,1,1,2,2,1,1,1,4,2,1,4,4,1,1
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1
female,white,1,2,1,1,1,1,1,1,3,2,1,1,3,1,1,1,1,2,2,1,2
male,white,1,2,1,2,1,1,1,1,1,1,2,2,1,1,3,2,1,3,3,3,2
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
male,white,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
male,white,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
female,white,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1
female,white,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,1
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1
female,white,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1
female,white,1,3,1,2,1,1,2,2,1,1,3,1,1,1,3,2,2,1,2,1,1
male,white,2,2,2,1,2,2,1,2,1,2,2,1,1,1,2,3,2,2,2,3,2
female,white,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2
male,white,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2
male,white,3,1,3,2,3,2,1,3,2,2,3,3,3,2,3,1,3,2,3,2,2
male,white,1,2,2,2,1,1,1,3,1,1,1,1,1,1,4,3,1,3,1,1,2
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,white,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2
female,white,2,3,2,2,1,1,1,2,2,2,1,1,2,2,3,1,2,3,2,2,2
male,white,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
male,white,1,3,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2,1
female,white,1,3,1,1,1,1,1,2,1,1,1,3,2,1,4,3,1,3,3,4,1
male,white,3,2,2,3,2,1,3,1,1,1,2,2,1,1,3,3,3,3,3,2,2
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1
male,white,3,3,2,3,2,3,2,2,2,3,2,3,1,1,3,2,3,2,3,2,3
female,white,1,1,1,1,1,1,1,2,1,1,3,1,3,1,2,1,3,1,2,1,1
male,white,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,2,2
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,1
male,white,1,3,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,3
female,white,2,2,2,2,1,2,1,1,2,2,2,2,2,1,3,3,2,2,2,2,2
female,white,1,2,1,2,1,1,1,2,1,1,1,1,3,1,2,2,3,2,2,1,2
female,white,2,2,2,2,1,3,1,2,1,1,1,1,1,1,3,2,1,2,3,2,2
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
female,white,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
female,white,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2
male,white,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1
female,white,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
male,white,1,3,1,2,2,1,1,3,4,2,3,2,3,3,3,3,4,2,2,2,2
female,white,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2
male,white,1,2,1,2,2,1,1,3,1,2,2,1,2,1,2,1,1,1,2,2,2
male,white,3,3,4,3,4,4,3,2,3,3,3,3,2,3,3,2,3,3,3,3,4
female,white,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1
female,white,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1
male,white,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1
male,white,2,3,3,3,2,2,2,3,3,3,3,2,3,2,2,2,2,3,3,2,2
female,white,2,3,2,1,1,1,1,3,2,1,2,1,2,2,4,3,1,3,2,2,2
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,1,2
male,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,3,3,3,2,1,2,4,3,2,1,2,3,3,3,3,3,3,3,3,3,2
female,white,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,3,2,1,1
female,white,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,3,3,3,3,3,2,3,1,4,1,1,3,2,2,1,1,1,4,4,3,4
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,white,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
female,white,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1
female,white,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,2,1,1,1
female,white,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,4,1,1
male,white,2,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1
male,white,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,2,2,3,2
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,2,2,2,2,3,1,2,2,2,1,3,2,1,2,2,2,2,3,3,3,2
female,white,2,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,2
male,white,2,3,3,3,3,3,3,2,2,2,3,3,2,2,3,3,2,3,3,3,3
female,white,1,3,2,1,1,1,1,3,1,4,3,1,2,1,2,1,1,1,1,2,1
male,white,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1
female,white,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,3,1,1,2
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1
male,white,2,2,1,1,1,1,1,2,2,1,2,1,2,1,4,4,2,3,3,1,2
male,white,2,1,1,1,3,3,1,1,2,3,2,3,2,1,2,1,2,1,2,2,3
female,white,2,3,3,2,1,2,2,2,3,1,1,1,3,2,3,2,2,2,2,1,2
female,white,1,2,1,1,1,1,1,3,3,2,3,2,2,1,2,2,2,2,2,1,2
female,white,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2
female,white,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,3,1,3,1,1,1
male,white,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1
male,white,2,2,3,2,3,3,3,3,2,1,2,3,2,2,3,2,2,2,3,2,3
female,white,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1
female,white,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1
female,white,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1
male,white,2,4,4,4,4,4,2,1,3,3,3,3,4,3,1,3,3,4,4,3,4
female,white,1,2,1,1,1,1,1,1,1,2,1,1,1,2,3,2,2,2,1,2,2
female,white,2,3,2,1,2,2,2,1,1,1,3,2,1,2,2,4,3,3,2,2,1
male,white,2,2,3,4,1,3,2,3,2,2,2,3,1,2,1,4,2,3,1,2,3
female,white,2,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1
male,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
female,white,2,2,2,3,2,2,2,3,2,1,2,3,3,2,2,1,3,3,2,1,2
female,white,1,3,1,2,1,4,1,3,3,3,3,3,4,4,3,3,3,3,3,3,4
male,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,2,2,2,2,2,2,1,4,1,1,3,2,2,2,2,2,2,2,2,2,2
male,white,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,1,2,1
female,white,2,2,2,4,3,1,1,2,1,3,2,4,3,2,4,3,3,3,4,3,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1
female,white,3,3,3,3,2,2,1,4,2,3,3,1,1,2,4,3,3,3,3,3,1
male,white,1,3,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,1
female,white,2,2,2,2,2,1,1,1,3,3,4,4,1,1,4,4,3,2,4,2,2
male,white,2,3,2,2,2,2,4,1,1,1,1,1,1,1,2,2,1,2,2,3,1
female,white,2,2,1,1,1,1,1,2,1,1,1,1,2,1,4,3,2,2,3,2,3
male,white,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2
male,white,1,2,1,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1
female,white,1,2,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,2
female,white,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1
female,white,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1
male,white,1,4,1,1,1,1,1,1,1,1,4,1,2,1,1,2,2,1,1,1,2
female,white,2,2,2,2,1,1,1,2,1,1,2,1,1,2,3,4,1,2,2,1,2
female,white,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2
male,white,2,4,2,3,2,1,1,2,3,1,1,2,2,1,2,3,2,2,1,2,2
female,white,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
female,white,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1
female,white,1,2,2,1,1,1,1,3,1,2,1,1,1,1,2,1,1,2,1,1,1
female,white,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,white,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,3,1
male,white,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1
male,white,1,2,2,1,1,1,3,1,1,1,1,1,1,1,2,2,1,2,2,1,2
female,white,2,3,1,1,2,1,1,2,3,3,3,1,2,4,3,4,2,2,2,2,3
