group,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,total1,total2,total3
Random Not,1,7,5,5,4,4,1,4,5,7,4,2,5,1,7,7,4,3,7,4,102,107,107
Random Not,2,5,5,3,6,2,2,5,3,5,2,3,5,4,1,3,5,3,4,3,105,108,111
Random Not,2,6,2,2,6,6,1,2,2,4,2,4,6,2,1,6,4,3,5,3,110,112,113
Random Not,2,6,4,1,5,1,3,1,2,7,1,1,7,6,1,2,6,7,6,1,99,98,103
Random Not,2,3,5,7,5,5,3,5,5,2,7,5,7,3,1,6,1,7,3,6,98,98,102
Random Not,2,5,3,4,5,3,3,2,3,5,4,4,2,5,2,3,5,3,5,3,104,111,108
Random Not,2,6,5,6,5,3,3,5,4,5,5,3,6,2,3,2,3,2,3,5,104,107,109
Random Not,2,5,6,5,5,5,1,6,5,3,5,5,7,,3,6,2,1,3,5,98,102,104
Random Not,2,4,5,3,3,7,3,5,5,6,4,3,6,4,3,6,4,1,7,4,102,103,106
Random Not,2,5,5,5,5,4,1,5,5,3,5,3,5,2,3,6,3,2,3,5,105,109,111
Random Not,2,4,4,4,5,3,4,5,3,4,4,5,5,5,3,4,3,4,4,4,107,112,114
Random Not,2,2,4,4,4,4,3,3,5,5,5,3,5,5,3,3,5,3,3,5,103,103,107
Random Not,2,6,4,1,6,1,4,1,3,6,1,1,4,3,4,1,4,4,6,2,106,109,110
Random Not,2,6,5,6,5,6,1,4,6,1,6,5,7,6,4,6,1,1,2,4,107,108,110
Random Not,2,3,4,5,5,5,2,5,4,4,5,6,7,4,4,7,4,5,5,4,101,108,110
Random Not,2,2,7,1,3,5,1,5,5,5,4,4,4,4,4,4,4,4,3,4,106,111,112
Random Not,2,2,6,6,2,7,2,6,6,1,6,5,6,2,4,7,2,1,3,6,100,103,106
Random Not,2,4,4,4,4,7,1,6,4,4,4,5,5,6,4,7,4,4,4,4,107,108,112
Random Not,2,5,4,5,4,4,3,4,4,4,4,3,6,2,5,7,4,3,5,4,104,106,106
Random Not,2,6,5,4,6,2,2,3,3,5,3,4,6,4,5,2,4,1,7,3,101,105,104
Random Not,2,5,6,4,5,5,1,5,4,7,4,4,5,5,5,1,2,3,5,5,105,107,110
Random Not,2,4,5,4,4,4,4,5,3,3,4,4,3,3,5,4,5,4,5,3,104,108,108
Random Not,2,3,5,6,5,5,1,4,5,3,1,4,5,2,6,1,3,2,7,4,105,106,107
Random Not,2,5,6,2,5,4,1,5,2,5,1,1,5,5,7,3,5,1,2,4,107,110,113
Random Random,2,6,6,5,5,5,1,5,3,5,3,3,7,2,7,7,2,2,3,4,102,104,106
Random Random,2,5,5,2,6,2,3,2,2,7,2,4,5,3,,1,6,2,6,3,101,101,104
Random Random,2,2,6,5,7,6,4,5,6,1,2,2,7,3,,4,6,1,4,5,103,108,107
Random Random,2,5,3,3,6,5,1,3,3,3,1,1,5,3,,1,5,3,5,3,109,113,112
Random Random,2,2,7,6,7,5,2,2,5,2,7,7,7,1,,7,1,1,5,7,105,108,110
Random Random,2,5,5,7,6,7,1,5,5,5,5,3,7,1,,7,1,1,3,6,102,105,108
Random Random,2,2,6,7,4,4,3,5,4,1,7,3,5,3,,4,5,2,2,7,110,112,112
Random Random,2,7,7,3,7,4,1,4,3,7,6,5,7,1,,7,3,5,5,6,102,106,108
Random Random,2,5,5,6,5,4,3,5,5,3,6,2,6,3,,6,5,5,4,5,108,113,112
Random Random,2,5,5,5,6,4,2,5,3,5,5,3,7,1,,3,2,2,2,3,99,104,103
Random Random,2,6,6,3,5,3,3,5,5,5,5,5,4,5,,5,5,6,3,2,108,102,106
Random Random,2,4,2,4,5,7,1,6,5,3,5,5,4,7,,7,3,1,4,4,109,110,114
Random Random,2,7,5,5,6,3,1,3,3,7,2,1,4,5,,1,3,5,7,3,103,105,107
Random Random,2,3,5,5,3,5,2,6,5,3,5,4,7,1,,1,2,2,3,5,102,107,108
Random Random,2,6,5,5,7,7,1,5,3,2,4,5,6,3,,7,4,3,4,5,103,109,110
Random Random,2,6,5,5,5,4,1,2,4,4,5,4,7,1,,7,6,1,5,2,106,106,110
Random Random,2,5,6,3,6,4,1,5,3,7,4,4,7,2,,2,4,3,5,5,105,109,110
Random Random,2,2,6,3,2,2,1,2,2,2,2,1,6,1,,7,3,1,4,4,101,100,106
Random Random,2,7,3,2,6,5,2,2,4,7,5,1,6,1,,3,5,3,7,2,97,104,101
Random Random,2,6,4,3,6,4,4,3,2,6,1,2,7,4,,2,6,5,6,3,101,103,104
Random Random,2,6,4,4,7,3,1,2,2,5,4,4,6,3,,4,4,6,6,3,105,106,105
Random Random,2,7,6,5,6,5,1,5,5,5,2,4,6,1,,7,5,1,4,5,104,108,108
Random Random,2,6,5,2,5,4,1,6,4,4,4,3,7,5,,6,4,4,4,3,104,106,107
Random Random,2,4,6,7,1,7,1,7,7,1,7,7,7,1,1,3,1,4,1,7,98,101,105
Random Random,2,4,6,4,6,4,3,3,4,5,4,1,5,1,1,2,3,4,5,4,102,106,108
Random Random,2,6,6,6,7,3,1,3,3,1,5,6,6,6,3,3,6,5,6,5,101,101,103
Random Random,2,7,5,3,7,2,5,2,2,6,2,1,5,7,3,1,4,6,6,3,111,113,111
Random Random,2,6,4,4,4,4,1,5,5,5,4,6,2,4,4,4,4,4,4,5,105,110,110
Random Random,2,6,3,2,7,4,3,2,2,6,2,2,5,3,5,1,5,3,5,1,103,104,104
Random Random,2,4,5,6,3,6,3,6,5,2,3,5,6,5,5,3,3,4,5,5,105,108,107
Random Random,2,7,4,5,7,5,1,5,5,3,4,1,7,3,7,7,4,3,5,4,104,104,106
Random Random,2,5,5,5,5,6,2,2,5,5,5,2,3,6,7,4,2,5,5,5,111,114,114
Random Random,2,2,7,6,2,6,1,6,6,1,6,5,6,3,7,4,2,3,4,6,105,105,108
Random Not,2,3,5,5,3,6,1,3,5,5,1,3,3,6,7,3,3,1,5,3,106,112,110
Random Not,3,4,5,4,5,4,6,5,3,5,4,3,6,6,,4,5,5,6,3,103,106,108
Random Not,3,2,5,6,6,7,2,5,5,2,5,5,5,2,,7,3,2,2,5,102,102,106
Random Not,3,5,3,4,3,4,2,3,4,4,4,4,5,2,,6,4,3,5,4,102,104,107
Random Not,3,5,6,6,3,6,1,5,6,2,6,5,6,2,,7,1,1,3,5,104,103,105
Random Not,3,5,3,2,5,1,6,2,5,6,1,1,2,3,,1,5,5,5,2,105,108,108
Random Not,3,4,3,4,3,3,2,4,4,5,3,3,6,3,1,2,5,3,4,3,108,109,111
Random Not,3,6,6,1,2,1,6,5,2,7,1,1,3,7,1,1,5,6,7,2,105,106,112
Random Not,3,6,4,5,6,5,1,6,5,2,7,2,7,1,1,3,2,1,3,4,99,103,106
Random Not,3,5,6,4,6,1,1,5,5,4,1,1,6,2,1,1,2,2,5,3,101,107,108
Random Not,3,6,7,5,5,5,1,4,5,2,3,3,6,7,1,5,2,7,4,4,104,107,105
Random Not,3,4,3,3,5,5,2,2,4,3,2,2,6,2,2,3,3,4,3,3,105,108,110
Random Not,3,5,6,5,3,5,1,5,5,3,5,4,7,2,2,3,2,3,3,5,106,109,109
Random Not,3,5,3,2,5,3,2,3,3,4,2,2,6,3,2,3,5,4,5,2,98,103,104
Random Not,3,3,5,4,5,5,2,5,5,3,5,5,5,5,2,3,3,3,4,5,105,108,106
Random Not,3,4,6,5,6,5,1,5,4,4,5,5,5,7,2,5,1,2,3,5,98,100,101
Random Not,3,2,6,6,2,7,1,2,6,1,5,6,5,1,2,6,2,1,3,5,101,105,105
Random Not,3,6,5,5,6,3,2,5,3,3,2,3,6,2,2,3,4,3,3,3,101,103,105
Random Not,3,5,5,4,5,5,1,6,4,5,3,4,6,1,3,3,4,3,5,5,107,110,110
Random Not,3,5,6,3,5,5,2,5,5,5,4,5,5,5,3,5,5,5,3,3,103,109,109
Random Not,3,5,4,3,5,2,3,5,2,5,1,3,4,5,3,3,2,4,5,2,95,101,102
Random Not,3,3,5,6,5,5,1,5,5,2,5,5,7,1,3,7,3,2,3,5,105,109,108
Random Not,3,3,5,3,5,5,2,2,6,4,4,3,5,5,3,3,2,3,2,2,103,108,108
Random Not,3,4,6,4,4,5,1,4,3,4,5,3,7,5,3,7,3,4,3,4,103,105,110
Random Not,3,3,5,6,5,4,1,5,4,3,5,4,6,4,3,6,4,1,4,4,104,107,108
Random Not,3,4,5,4,4,5,1,5,4,5,4,4,6,4,3,6,3,4,4,4,102,105,104
Random Not,3,5,6,4,3,5,4,5,3,5,4,3,6,1,3,3,4,1,5,4,106,107,106
Random Not,3,5,5,5,3,3,3,3,5,5,4,4,3,2,4,1,3,3,3,5,109,108,109
Random Not,3,3,7,6,4,2,7,6,2,6,6,5,5,4,4,7,3,2,5,6,104,106,110
Random Not,3,4,6,5,4,4,5,3,4,5,4,4,5,1,4,3,3,1,3,4,105,108,109
Random Not,3,5,5,6,5,7,1,5,5,4,4,4,6,5,4,7,2,1,3,4,104,107,106
Random Not,3,5,3,3,5,6,2,4,4,5,3,5,2,5,4,4,3,6,4,2,100,105,110
Random Not,3,5,5,3,5,3,4,5,3,5,,2,4,1,4,3,4,3,4,3,104,108,108
Random Not,3,7,4,5,2,2,1,5,3,7,5,1,5,1,4,3,4,7,5,4,102,107,108
Random Not,3,2,7,7,1,7,1,5,6,1,7,5,7,4,4,7,1,1,5,7,106,107,111
Random Not,3,5,5,5,4,7,1,6,6,5,5,5,5,5,4,7,5,4,4,4,108,109,110
Random Not,3,5,3,1,5,1,1,3,2,7,1,2,4,7,4,1,6,5,6,1,104,106,107
Random Not,3,5,6,3,5,2,1,6,3,5,3,3,7,2,5,3,4,5,4,4,102,104,106
Random Not,3,4,6,7,4,5,3,4,6,2,7,6,5,5,5,6,2,7,5,6,104,110,109
Random Not,3,2,6,5,3,5,2,3,5,5,5,2,6,2,5,7,5,3,3,4,102,106,108
Random Not,3,5,5,5,5,3,3,5,3,5,3,5,5,3,5,2,3,3,4,5,113,115,119
Random Not,3,,5,5,5,4,3,3,5,2,6,6,6,4,5,3,3,5,4,5,103,104,106
Random Not,3,3,5,5,3,3,1,5,3,5,2,3,6,4,5,2,3,1,4,5,104,108,109
Random Not,3,4,5,5,5,4,1,4,5,3,3,2,6,5,5,3,4,3,5,4,98,106,106
Random Not,3,4,5,5,5,5,2,5,5,2,6,4,7,3,5,3,3,3,7,4,110,109,113
Random Not,3,5,6,5,6,5,3,3,5,5,5,4,5,3,5,4,2,2,6,5,100,101,103
Random Not,3,5,5,6,6,5,5,4,4,3,6,4,3,1,5,7,3,2,5,5,106,107,104
Random Not,3,3,7,6,5,5,1,4,5,4,5,3,6,2,5,1,1,4,6,5,102,104,107
Random Not,3,5,7,4,4,5,1,3,3,3,4,4,6,4,5,6,4,5,4,7,102,104,105
Random Not,3,6,7,7,6,7,5,5,5,5,2,6,4,1,5,7,3,3,1,7,105,106,112
Random Not,3,4,5,4,3,4,3,5,4,4,5,3,4,4,5,4,3,3,4,4,109,108,115
Random Not,3,5,7,6,5,4,1,5,5,3,4,5,6,3,5,1,3,6,3,5,102,105,111
Random Not,3,5,5,4,5,4,3,5,5,4,3,3,5,3,5,1,5,3,6,4,101,104,105
Random Not,3,5,4,6,5,3,7,6,5,3,6,6,3,5,5,4,5,4,5,5,108,108,112
Random Not,3,,5,4,4,3,6,2,4,3,5,5,4,4,6,3,4,4,6,6,105,104,110
Random Not,3,6,5,4,3,5,3,5,5,3,4,4,6,3,6,5,4,2,3,4,104,108,107
Random Not,3,5,4,3,5,3,1,4,3,7,2,2,6,3,6,1,3,4,5,5,108,112,110
Random Not,3,6,5,5,7,4,5,3,4,1,5,5,7,6,6,2,3,4,4,5,104,106,107
Random Not,3,6,5,5,5,4,2,5,5,3,5,5,6,3,6,7,3,2,5,5,104,108,109
Random Not,3,5,5,6,6,5,1,4,5,7,1,1,7,1,7,7,2,3,4,5,102,106,107
Random Not,3,5,6,6,5,5,3,5,5,4,2,1,6,2,7,6,2,4,3,6,101,106,107
Random Not,3,4,7,5,6,3,1,5,4,6,5,2,6,2,7,3,2,2,5,5,101,109,107
Random Not,3,6,7,2,6,3,7,5,2,7,1,1,7,1,7,2,3,1,7,2,98,99,103
Random Not,3,6,7,4,6,4,1,4,4,7,2,1,7,7,7,4,1,1,5,5,106,110,108
Random Not,3,6,4,5,5,4,2,4,4,3,7,3,6,3,7,6,5,2,3,5,103,109,109
Random Not,3,5,5,4,5,5,1,5,5,5,5,5,6,3,7,3,3,3,5,5,103,106,107
Random Not,3,4,4,5,7,5,1,4,4,4,4,4,5,4,7,3,1,3,5,4,101,102,106
Random Not,3,4,6,6,3,5,3,5,3,5,5,3,4,3,7,6,4,5,4,5,100,103,105
Random Random,3,4,5,5,4,3,1,5,3,5,3,3,6,1,7,3,5,5,5,2,103,107,107
Random Random,3,3,7,6,5,5,1,5,5,5,2,6,7,2,,3,1,1,3,6,104,108,110
Random Random,3,4,5,5,1,5,1,5,5,3,3,2,7,1,,6,3,2,5,3,99,100,103
Random Random,3,4,7,7,4,5,1,6,7,1,7,3,6,1,,7,2,2,2,6,111,109,110
Random Random,3,3,6,7,5,7,3,5,7,2,6,4,7,1,,7,2,4,3,6,104,105,106
Random Random,3,5,5,5,6,6,5,3,5,3,3,5,6,3,,6,3,3,3,4,101,104,108
Random Random,3,7,4,2,6,5,1,2,3,7,3,4,7,2,,2,5,1,6,3,102,106,106
Random Random,3,7,1,1,7,1,1,2,3,7,1,1,6,7,,1,7,5,5,1,102,103,105
Random Random,3,4,5,6,3,4,1,5,6,2,5,3,6,2,,3,1,2,5,5,102,104,110
Random Random,3,3,6,6,4,5,1,3,4,2,5,5,4,3,,7,3,1,4,5,97,99,104
Random Random,3,5,4,4,5,3,4,3,3,5,5,4,5,4,,2,3,3,5,3,104,107,108
Random Random,3,5,6,5,5,5,1,5,5,1,5,5,7,2,,5,2,2,3,6,100,106,107
Random Random,3,5,5,5,5,5,1,5,3,3,4,2,3,5,,6,3,4,5,5,104,107,110
Random Random,3,2,5,6,2,6,1,4,6,2,6,5,6,5,,2,4,2,3,5,103,105,106
Random Random,3,5,4,5,3,5,1,3,5,2,5,4,6,2,,4,3,3,5,5,101,104,107
Random Random,3,4,2,4,4,5,5,5,3,5,4,4,3,3,,3,3,3,5,3,103,106,107
Random Random,3,4,7,6,5,5,1,5,6,4,6,5,7,3,,7,2,4,4,6,101,103,105
Random Random,3,5,6,3,5,4,3,3,3,5,3,2,6,5,,5,5,5,6,3,100,104,105
Random Random,3,4,5,5,5,5,1,5,3,5,,4,6,3,,4,2,3,4,4,100,102,103
Random Random,3,5,5,6,5,6,1,5,4,3,7,5,2,4,,7,3,3,6,4,96,99,99
Random Random,3,5,5,4,5,4,1,5,5,2,6,3,4,4,,6,4,4,4,5,107,111,111
Random Random,3,6,5,5,7,3,3,5,2,5,3,3,6,5,,6,3,2,5,4,107,111,115
Random Random,3,5,3,3,5,2,5,3,2,7,2,1,3,6,,2,4,4,4,3,110,115,115
Random Random,3,5,4,4,5,3,4,3,4,6,4,4,5,4,,5,4,5,4,4,104,108,109
Random Random,3,7,6,5,6,5,1,5,3,6,2,1,2,5,,3,2,5,5,6,105,107,113
Random Random,3,4,7,7,5,4,1,2,3,5,4,3,2,7,,6,4,1,7,7,102,104,107
Random Random,3,3,4,4,6,7,4,4,4,4,1,1,,4,,4,3,5,4,5,103,105,106
Random Random,3,2,7,6,2,6,1,7,5,1,1,4,7,1,,1,1,1,1,6,106,109,113
Random Random,3,4,5,4,3,4,1,4,4,4,4,1,5,4,,7,4,7,3,5,103,107,113
Random Random,3,5,3,1,6,2,2,2,3,6,1,4,3,1,,3,5,1,2,2,110,112,112
Random Random,3,5,6,4,4,5,1,2,3,5,2,3,5,3,,4,3,2,3,3,101,106,105
Random Random,3,3,3,5,5,3,3,4,5,4,3,4,5,4,,3,4,4,6,3,108,106,108
Random Random,3,5,6,6,7,6,1,5,4,3,5,4,7,4,,3,1,3,6,5,109,112,113
Random Random,3,5,5,5,5,5,1,5,5,3,3,4,6,2,,6,5,2,5,5,110,113,114
Random Random,3,3,6,5,2,6,1,5,5,2,5,5,6,2,,3,2,2,2,5,106,108,111
Random Random,3,4,5,5,4,5,1,4,4,4,5,3,7,2,,6,4,3,4,6,99,105,103
Random Random,3,6,5,5,5,6,1,5,4,5,3,5,6,1,,7,3,3,6,5,108,109,109
Random Random,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,111,113,113
Random Random,3,5,5,5,5,5,3,3,4,3,5,3,6,3,,6,3,3,5,5,102,104,104
Random Random,3,3,5,5,2,5,1,5,5,1,5,4,7,3,,3,3,1,3,5,98,107,107
Random Random,3,5,5,5,6,4,2,5,3,4,4,4,3,4,,4,4,,,4,103,102,108
Random Random,3,3,6,3,2,7,1,6,5,2,7,2,2,2,,7,6,1,2,5,105,107,108
Random Random,3,3,6,7,4,7,2,4,7,1,7,6,5,3,,6,3,2,4,5,104,109,109
Random Random,3,4,7,5,4,3,1,5,4,4,4,1,7,7,,4,7,7,5,2,105,110,110
Random Random,3,6,6,4,6,4,2,4,4,4,4,3,7,3,,4,5,3,4,4,100,107,106
Random Random,3,6,5,4,6,5,3,3,3,5,3,3,5,5,,5,3,3,6,5,105,104,112
Random Random,3,2,5,7,5,6,1,3,5,3,2,1,7,1,,6,4,2,3,4,98,103,102
Random Random,3,5,7,5,5,4,3,5,4,5,4,4,4,4,1,6,2,4,5,5,103,105,108
Random Random,3,3,7,3,6,5,1,5,3,6,1,3,5,2,1,1,5,2,6,7,106,110,110
Random Random,3,4,5,4,4,4,5,4,4,4,3,3,5,2,1,2,1,4,5,5,107,109,112
Random Random,3,4,6,4,6,3,1,3,4,6,1,2,6,2,1,6,4,2,5,4,104,108,106
Random Random,3,3,7,7,3,7,3,5,5,1,6,6,7,3,1,7,2,3,3,7,105,108,112
Random Random,3,4,3,3,4,2,1,5,5,2,1,2,7,4,1,1,5,5,6,4,104,109,111
Random Random,3,6,6,3,6,3,1,5,4,5,1,3,7,3,2,2,6,4,5,1,111,113,112
Random Random,3,3,7,7,4,6,1,6,6,1,6,2,7,2,2,6,2,1,4,7,103,105,106
Random Random,3,3,4,3,5,3,2,4,4,3,4,1,4,2,2,7,5,4,5,3,100,102,106
Random Random,3,5,6,5,5,4,1,5,4,4,4,4,7,4,3,2,3,4,5,6,99,106,103
Random Random,3,4,7,7,5,5,1,3,5,3,3,3,4,4,4,4,1,5,4,7,109,109,113
Random Random,3,4,7,7,3,7,1,6,6,1,7,6,7,1,4,7,1,1,4,7,105,104,107
Random Random,3,5,5,5,3,4,3,6,6,3,3,3,4,4,4,5,4,4,4,4,99,103,106
Random Random,3,4,6,5,3,5,1,4,5,4,3,5,5,4,4,3,4,3,4,5,107,107,112
Random Random,3,5,5,5,5,5,1,5,3,3,3,3,5,2,4,2,4,2,3,4,102,106,109
Random Random,3,2,6,4,5,6,1,5,4,3,4,3,7,1,4,7,4,2,3,5,100,104,107
Random Random,3,4,6,5,6,4,2,6,4,3,4,4,6,2,5,3,5,2,3,5,100,101,104
Random Random,3,3,5,5,5,5,3,2,5,5,5,3,3,2,5,5,3,3,5,5,105,108,110
Random Random,3,5,5,6,5,5,5,5,3,2,5,6,5,3,5,6,6,2,5,3,107,112,112
Random Random,3,5,7,5,5,5,1,6,5,5,4,1,7,1,5,3,2,1,3,5,107,106,110
Random Random,3,5,6,5,5,4,2,5,5,7,2,5,4,2,5,3,3,3,5,5,104,108,110
Random Random,3,4,5,5,4,6,2,4,5,3,4,4,6,4,5,6,4,3,4,4,98,101,104
Random Random,3,6,7,7,5,7,1,5,5,3,6,5,7,1,5,7,3,1,6,5,105,111,110
Random Random,3,5,5,4,5,7,1,4,4,4,5,5,7,1,6,7,3,1,1,5,106,103,107
Random Random,3,7,2,6,4,5,4,4,4,4,2,6,4,4,6,2,2,6,1,2,103,103,106
Random Random,3,7,7,5,6,4,1,5,4,5,4,4,7,5,6,1,1,2,4,6,108,108,111
Random Random,3,6,4,5,7,7,1,5,6,5,4,1,6,5,7,6,4,1,3,5,99,102,103
Random Random,3,5,2,5,5,6,5,5,5,3,5,4,7,4,7,7,2,4,5,4,91,95,98
Random Random,3,4,5,5,5,5,1,5,5,4,4,4,7,5,7,4,5,3,6,4,101,103,103
Random Random,3,5,5,3,5,5,3,3,4,6,3,1,7,6,7,5,5,5,4,3,112,112,115
Random Random,3,5,5,5,5,5,2,3,3,3,4,4,5,4,7,3,3,4,5,5,104,110,109
Random Random,3,3,6,5,4,7,1,4,6,3,3,4,2,3,7,7,1,1,2,4,106,113,113
Random Random,3,4,5,5,5,5,1,3,4,3,2,3,5,3,7,2,4,3,5,3,102,106,108
Random Not,3,3,6,5,5,5,1,5,5,3,5,5,6,5,7,7,5,3,3,5,104,106,105
Random Not,4,4,7,7,4,7,1,5,7,1,7,4,5,1,,6,1,3,3,5,103,104,106
Random Not,4,5,6,6,5,7,1,5,5,1,5,4,5,2,,6,2,2,4,5,104,107,108
Random Not,4,3,4,5,3,6,2,6,5,1,5,4,5,1,,6,4,2,5,4,102,105,107
Random Not,4,3,5,5,3,5,1,5,5,2,5,4,3,3,,6,4,4,4,4,105,113,113
Random Not,4,4,5,5,4,5,3,5,5,3,4,4,4,2,,6,5,3,4,4,105,109,109
Random Not,4,4,4,4,5,5,4,3,3,3,6,6,7,6,,4,1,4,4,4,105,106,110
Random Not,4,4,6,7,1,4,1,6,5,1,7,1,7,1,1,4,1,7,2,6,106,108,106
Random Not,4,6,4,4,5,1,1,5,4,4,1,1,5,4,1,2,4,4,3,3,101,102,101
Random Not,4,3,5,5,1,5,1,5,6,2,4,5,5,2,1,2,2,1,2,6,101,104,109
Random Not,4,3,6,6,5,5,1,6,5,2,7,3,7,2,1,7,4,4,4,5,96,103,104
Random Not,4,2,7,7,2,6,1,6,5,1,7,6,7,6,1,7,1,1,1,7,105,104,107
Random Not,4,3,6,5,5,5,3,5,5,3,5,1,6,6,1,2,2,6,3,5,98,100,103
Random Not,4,1,6,6,1,7,1,6,6,1,7,7,5,1,1,7,1,4,2,6,103,104,109
Random Not,4,6,6,5,3,5,2,6,6,3,6,6,7,6,1,5,6,6,5,6,96,103,104
Random Not,4,4,6,5,3,5,1,5,5,4,5,4,6,6,1,4,4,3,3,5,108,112,111
Random Not,4,7,7,7,4,4,1,4,4,4,7,4,7,1,1,3,4,1,4,7,104,106,112
Random Not,4,2,7,7,1,7,1,7,7,1,7,7,7,1,1,7,1,1,1,7,106,110,110
Random Not,4,1,5,5,7,7,1,7,5,1,7,4,7,1,1,3,1,1,1,5,107,109,109
Random Not,4,4,7,7,6,7,1,7,4,1,6,7,7,1,1,4,1,1,1,7,105,106,109
Random Not,4,4,5,6,4,5,2,4,4,2,5,4,6,2,1,6,3,3,4,4,108,109,113
Random Not,4,6,6,3,5,4,2,4,4,3,3,4,6,2,1,2,4,3,5,4,107,107,112
Random Not,4,1,7,7,1,7,7,7,7,1,7,7,7,1,1,7,1,7,1,7,99,106,108
Random Not,4,3,6,3,4,1,4,5,3,4,5,3,4,3,1,1,3,3,4,5,105,108,111
Random Not,4,3,7,7,4,6,2,5,4,2,4,4,5,4,1,3,1,4,4,6,105,107,110
Random Not,4,6,5,4,7,3,1,5,4,1,1,1,3,3,1,7,4,1,5,4,110,113,115
Random Not,4,3,5,7,3,7,1,5,5,2,6,4,6,3,2,5,2,2,3,6,104,106,108
Random Not,4,3,7,5,4,5,2,6,5,3,5,3,6,3,2,5,2,3,4,6,103,102,109
Random Not,4,2,5,7,2,6,2,5,6,3,6,5,6,2,2,7,2,2,2,6,100,96,99
Random Not,4,6,4,4,5,4,3,2,3,6,3,4,6,5,2,6,4,5,5,3,98,103,106
Random Not,4,3,3,4,3,2,4,5,4,5,2,1,7,2,2,2,4,3,4,3,107,113,112
Random Not,4,3,6,6,5,5,1,5,5,4,6,5,7,2,2,5,2,3,5,5,107,107,108
Random Not,4,3,3,6,5,4,1,2,5,5,2,3,6,1,2,3,1,1,5,3,102,105,103
Random Not,4,4,6,5,5,5,1,5,4,1,4,3,7,1,2,3,4,1,4,4,102,102,103
Random Not,4,2,6,5,4,7,4,5,5,5,6,6,5,1,2,3,3,7,2,4,107,109,112
Random Not,4,4,7,5,4,4,3,5,5,3,6,4,7,1,2,7,3,3,3,6,102,105,108
Random Not,4,4,4,4,6,5,3,5,3,5,6,6,3,5,2,5,6,6,3,4,102,108,110
Random Not,4,3,6,4,4,5,1,7,5,5,4,2,3,2,2,3,3,2,6,3,107,109,110
Random Not,4,3,6,6,4,7,2,3,5,4,5,5,6,3,3,7,2,2,3,6,100,107,107
Random Not,4,6,7,3,6,4,3,5,2,5,3,3,7,5,3,6,5,5,5,3,99,104,102
