gender,ethnic,gpa,searchforhappiness,happinesstotal
female,caucasian,2.53,20,93
male,caucasian, ,31,100
female,caucasian,3,26,113
male,caucasian,2.15,25,99
male,caucasian, ,28,84
female,caucasian,2.87,13,120
male,caucasian,3.5,22,86
male,caucasian,3.25,16,98
male,caucasian,2.5,26,101
male,caucasian,3,20,117
female,caucasian,2.5,28,107
male,caucasian,2.4,8,105
female,caucasian,2.5,22,92
female,caucasian,3,27,91
female,caucasian,3.5,35,124
female,caucasian,2.5,5,133
male,caucasian,3,23,88
female,caucasian,3,22,103
male,caucasian,1.8,21,103
female,caucasian,2.8,20,106
female,caucasian,3.43,23,101
male,caucasian, ,24,76
female,caucasian, ,16,116
female,caucasian,2.9,24,106
female,caucasian,3.5,29,132
male,caucasian,3.25,18,88
female,caucasian,3.5,32,115
female,caucasian,2.4,24,118
female,caucasian,2.5,24,114
male,caucasian,2.7,19,114
male,caucasian,2.4,24,106
male,caucasian,2.5,17,102
male,caucasian,2.8,30,76
male,caucasian,3.5,13,112
male,caucasian,2.5,20,91
female,caucasian,3.8,25,111
female,caucasian,2.4,19,117
male,caucasian,2.75,26,107
male,caucasian,2.75,25,97
female,caucasian,3.6,16,113
female,caucasian,3.8,31,105
female,caucasian,2.3,16,85
male,caucasian,3.5,5,128
male,caucasian,3.37,20,99
male,caucasian,3.23,23,101
female,caucasian,3.23,26,108
female,caucasian,3.81,30,107
male,caucasian,2.8,20,96
female,caucasian, ,23,71
male,caucasian,3,35,106
male,caucasian,3.35,22,127
female,caucasian,3.6,24,100
female,caucasian,3.2,23,108
female,caucasian,2.9,30,106
male,caucasian,3.5,29,120
male,caucasian,2,26,73
female,caucasian,2.94,22,109
female,caucasian,4,35,118
female,caucasian,2,25,102
female,caucasian,4,27,100
female,caucasian,3.33,17,108
female,caucasian,3.3,30,95
male,caucasian,3,31,131
male,caucasian,3,20,117
male,caucasian,3.38,31,112
female,caucasian,2.84,13,132
female,caucasian,3.5,24,94
female,caucasian,3.2,26,116
female,caucasian,3.35,16,107
female,caucasian,4,20,119
male,caucasian,3,22,120
male,caucasian,2.5,22,92
female,caucasian,2.3,26,107
male,caucasian,2.2,26,98
male,caucasian,3.2,35,112
female,caucasian,3,13,128
female,caucasian,3,29,125
female,caucasian,3,35,121
male,caucasian,2.5,22,97
female,caucasian,3.3,21,101
male,caucasian,3.1,26,75
male,caucasian,3,24,136
male,caucasian, ,5,131
male,caucasian,2.8,26,102
male,caucasian,3,30,113
female,caucasian,2.94,17,109
female,caucasian,3.1,18,111
female,caucasian,3.33,25,102
female,caucasian,3.1,15,123
female,caucasian,3.5,29,116
female,caucasian,3,11,114
female,caucasian,3,22,116
male,caucasian,2.47,23,112
female,caucasian,3.5,17,125
female,caucasian,3.3,31,117
female,caucasian,3.2,34,80
female,caucasian,2.8,21,101.02027027027
male,caucasian,3.78,29,107
female,caucasian,4,28,113
male,caucasian,2.5,27,92
female,caucasian,3.69,17,106
female,caucasian,2.5,20,111
female,caucasian,3.41,15,114
male,caucasian,2.5,33,123
female,caucasian,3.34,11,108
male,caucasian,3.2,18,114
male,caucasian,2.8,33,106
female,caucasian,2.9,31,99
female,african american,3.25,31,121
female,african american,2.7,25,118
female,african american, ,25,116
male,african american,2,30,114
female,african american,3.12,27,106
female,african american,2.2,31,126
female,african american,3.65,14,128
female,african american,3.2,26,90
female,african american,3,5,128
female,african american, ,29,104.5
female,african american,3,25,95
female,african american,3.3,27,113
female,african american,2,5,118
male,african american,2.86,26,106
female,african american,2.36,26,89
male,african american,2.68,22,114
male,african american,3.12,15,107
female,african american,2.7,32,108
female,african american, ,11,109
male,african american,3.88,8,104
female,african american,3.17,25,122
female,african american,3,9,126
male,african american,2.8,17,112
female,african american,3.7,30,124
female,african american,2.8,31,118
female,african american,2.75,29,83
female,african american,2.8,32,128
female,african american, ,25,70
female,african american,3,28,106
female,african american,3.5,30,117
female,african american,2.75,25,114
male,african american,2.5,22,115
female,african american,3,22,117
male,african american,1.6,20,106
female,african american,2,12,126
female,african american,3.2,30,102
male,african american,3.4,5,109
male,african american,2,29,102
female,african american, ,20,107
female,african american,2,31,103
female,african american,2.75,35,75
male,african american,2.37,24,118
male,african american,2.75,17,108
female,african american, ,29,111
male,african american,3.1,27,105
female,african american,3.4,13,132
female,african american,2.5,33,123
male,african american,2.83,24,110
female,african american,2.8,32,106
female,african american,2.3,24,122
female,african american,2,28,105.02027027027
female,african american,3.2,20,114
female,african american,2.5,23,94
female,african american, ,23,111
female,african american,2.8,29,99
female,african american,3.5,22,103
male,african american, ,19,117
female,african american,3.45,23,108
female,african american,3.4,28,105
male,african american, ,28,103
male,african american,2,29,103
