q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1
0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1
0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0
1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1
0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0
0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1
0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1
0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0.87,1,0,1
0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1
0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0
1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1
1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0
0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1
0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0
0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0
0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,0.9,0,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0
1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0
1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0
0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1
0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0
0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,0.93,1,0,1,1,1,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,1,0.84
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1
1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0
1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1
0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1
0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0
0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1
0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1
0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1
1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
