CHILDREN,RACE,CONTROL,ATTMAR,ATTROLE,SEL,ATTHOUSE,AGE,EDUC,WORKSTAT,MARITAL
Yes,White,8,18,27,62,29,8,15,working,Married
Yes,Non-white,7,44,27,62,26,4,14,working,Broken
Yes,White,8,19,36,16,23,3,16,working,Married
Yes,White,5,33,39,52,26,6,10,working,Married
Yes,White,9,25,35,39,21,6,12,working,Broken
Yes,White,5,14,48,19,22,7,12,working,Married
Yes,White,5,35,30,17,31,6,10,working,Broken
Yes,White,9,49,35,19,35,2,10,not working,Married
Yes,White,6,18,40,53,28,8,12,not working,Married
Yes,White,9,17,26,81,28,3,16,not working,Married
Yes,White,5,16,32,22,20,6,13,not working,Married
Yes,White,9,19,37,84,24,5,12,working,Married
Yes,White,6,36,39,40,25,5,14,not working,Married
No,White,9,22,40,49,25,1,13,working,Married
Yes,White,7,16,34,38,16,6,14,not working,Married
Yes,White,6,22,38,87,18,6,12,not working,Married
Yes,White,6,29,26,62,23,4,15,not working,Married
No,White,8,35,32,25,24,1,15,working,Single
Yes,White,6,30,42,17,29,4,12,working,Broken
Yes,Non-white,5,21,50,81,16,8,8,not working,Married
Yes,Non-white,7,22,38,65,22,1,12,working,Married
Yes,White,8,44,51,43,27,9,14,working,Broken
No,White,9,35,40,44,23,4,12,working,Single
Yes,White,8,26,34,62,26,3,13,working,Married
Yes,White,8,14,36,10,30,4,20,working,Married
Yes,White,7,13,47,61,23,8,12,not working,Married
Yes,White,7,30,47,62,26,8,12,working,Broken
Yes,White,5,29,23,62,30,4,14,working,Married
Yes,White,5,24,33,62,25,3,13,not working,Married
Yes,White,5,15,38,62,22,6,18,working,Married
Yes,White,8,25,43,38,21,2,12,not working,Married
No,White,5,14,32,72.5957157371125,16,8,16,not working,Married
Yes,White,7,27,35,43,23,3,12,not working,Married
No,White,6,25,36,62,25,1,16,not working,Single
No,White,5,20,32,74,20,1,13,working,Single
Yes,Non-white,9,27,44,19,18,1,9,not working,Married
Yes,White,6,38,40,49,23,4,7,not working,Married
Yes,Non-white,7,22,40,49,17,6,12,working,Married
Yes,Non-white,6,25,33,52,23,1,13,working,Single
Yes,Non-white,8,21,34,62,23,5,12,working,Married
No,Non-white,5,27,35,75,22,4,16,working,Married
Yes,White,6,25,40,51,22,8,12,working,Broken
Yes,White,10,23,34,43,28,3,12,not working,Married
Yes,White,7,18,38,49,17,2,12,working,Married
Yes,White,6,20,26,15,27,3,12,not working,Married
No,White,5,22,29,62,18,3,12,working,Married
Yes,Non-white,8,35,38,19,26,2,12,not working,Married
Yes,White,7,20,41,66,21,5,13,not working,Married
Yes,White,9,23,37,31,21,4,14,working,Married
Yes,White,6,23.6401581844513,32,39,24,6,10,working,Broken
Yes,White,5,17,28,92,26,2,16,not working,Married
Yes,White,6,22,46,71,21,5,12,not working,Married
No,White,7,28,37,57,18,1,14,working,Married
Yes,Non-white,7,16,43,17,24,4,11,working,Married
No,White,7,16,45,40.31364159293,28,8,10,not working,Single
Yes,White,8,16,40,11,26,3,13,not working,Married
Yes,Non-white,6,16,40,52,25,2,10,not working,Married
Yes,White,7,12,36,21,23,6,11,working,Married
Yes,White,6,16,26,21,22,2,12,working,Married
Yes,White,6,12,48,36,19,8,12,working,Married
Yes,White,7,15,37,72,26,5,14,working,Married
Yes,White,10,37,26,84,29,3,16,working,Married
Yes,White,7,34,35,77,20,2,12,not working,Married
Yes,White,6,15,45,46,20,5,13,not working,Married
No,White,7,15,30,19,19,2,15,working,Married
Yes,White,6,26,39,84,24,7,15,not working,Married
Yes,White,5,23,50,62,21,6,15,working,Married
Yes,White,9,42,35,11,32,7,10,not working,Married
Yes,White,6,22,37,65,18,3,14,not working,Married
Yes,White,5,12,39,59,22,5,15,not working,Married
Yes,Non-white,7,35,43,11,27,6,9,working,Broken
No,White,6,21.2853656854598,30,7,21,4,12,working,Single
No,White,10,25,33,44,19,1,16,working,Single
Yes,White,6,16,31,86,25,6,12,working,Married
No,White,6,25,32,71,17,1,17,working,Single
No,White,8,28,26,87,25,2,14,working,Married
No,White,9,30,40,44,31,1,12,not working,Single
No,White,5,12,25,77,16,1,12,working,Married
Yes,White,7,24,34,49,17,7,12,not working,Married
Yes,White,7,20,24,62,14,4,17,working,Broken
Yes,Non-white,7,38,44,90,30,7,14,working,Married
Yes,White,8,21,40,71,25,5,12,working,Married
Yes,White,6,22,31,39,28,2,12,not working,Married
Yes,White,5,16,29,92,22,3,16,working,Married
Yes,White,6,14,43,8,24,8,12,not working,Married
Yes,White,6,15,38,74,21,7,12,not working,Married
No,White,6,35,43,74,25,3,12,working,Single
Yes,White,9,31,37,19,27,2,12,not working,Married
Yes,White,6,16,32,72,20,5,12,working,Broken
Yes,White,5,20,23,65,26,4,20,working,Married
Yes,White,10,37,28,80,25,7,12,not working,Married
No,White,7,35,33,62,27,1,16,working,Single
Yes,White,8,12,35,12,23,8,12,not working,Married
Yes,White,6,26,35,37,27,3,13,not working,Married
Yes,White,7,41,33,59,21,4,10,working,Married
Yes,White,7,11,45,40.8780058595485,22,5,11,working,Married
Yes,White,5,27,49,50,19,7,14,not working,Married
Yes,White,9,43,31,62,26,2,12,not working,Married
Yes,White,8,25,36,19,25,6,12,working,Married
Yes,White,5,27,18,66,34,6,20,working,Married
Yes,Non-white,8,17,37,71,27,4,16,not working,Married
Yes,White,6,23,31,49,22,5,12,working,Married
No,White,5,13,19,61,14,4,12,working,Married
Yes,White,9,29,38,62,29,4,13,working,Married
Yes,White,10,20,26,16,29,2,15,not working,Broken
Yes,White,7,17,33,66,26,4,14,not working,Married
Yes,White,8,14,33,33,17,1,12,not working,Married
Yes,White,8,18,35,44,22,3,16,not working,Married
Yes,White,6,17,43,49,20,8,12,working,Married
Yes,White,5,15,47,37,30,8,11,not working,Married
Yes,White,5,14,33,87,17,7,16,not working,Married
Yes,White,7,22,34,78,21,4,14,not working,Married
No,White,7,15,28,63,22,1,12,not working,Married
Yes,White,9,29,38,52,29,2,13,not working,Married
Yes,White,8,22,28,92,22,7,17,not working,Married
Yes,White,9,25,34,13,20,5,12,working,Broken
Yes,White,7,32,36,62,30,6,12,not working,Married
Yes,White,7,20,43,62,25,7,15,not working,Married
Yes,White,8,19,25,49,18,2,13,working,Married
Yes,White,7,21,31,62,19,4,16,not working,Married
Yes,White,6,27,30,74,24,2,14,not working,Married
Yes,White,5,19,44,38,22,3,12,not working,Married
Yes,Non-white,7,25,38,8,21,8,6,working,Broken
Yes,White,8,34,38,96,29,4,13,not working,Married
Yes,White,6,18,37,87,22,5,13,working,Married
Yes,White,7,15,43,19,26,1,12,not working,Married
Yes,White,6,25,39,17,19,2,13,working,Single
No,White,10,35,37,44,23,1,14,working,Single
Yes,White,6,20,49,19,19,4,14,working,Broken
Yes,Non-white,6,16,49,34,31,3,12,not working,Married
Yes,White,8,16,28,41,26,2,14,working,Married
Yes,White,5,21,29,62,23,2,13,not working,Married
Yes,Non-white,8,35,38,30.8994137279611,29,8,6,not working,Broken
Yes,White,7,25,42,44,22,5,12,not working,Married
Yes,Non-white,6,29,23,80,29,8,19,working,Married
Yes,White,6,30,33,17,23,7,12,not working,Broken
Yes,White,5,16,44,62,17,5,15,not working,Married
Yes,White,6,16,27,65,26,3,14,working,Married
Yes,White,5,15,44,37,25,2,13,not working,Married
Yes,White,9,24,39,39,25,6,13,not working,Married
Yes,White,6,30,33,70,19,4,19,working,Broken
Yes,White,7,14,55,62,16,6,12,not working,Married
No,White,5,29,28,53,24,4.06978990274604,15,not working,Married
Yes,White,8,31,39,87,29,5.10365127044145,14,working,Married
Yes,White,8,13,39,13,20,3.95720299409278,13,not working,Married
Yes,White,8,42,29,25,25,3.13150923737718,13,working,Married
Yes,White,8,35,49,62,16,5,12,not working,Broken
No,White,7,13,31,65,35,2,16,not working,Married
Yes,White,7,26,42,39,24,8,10,not working,Married
Yes,White,6,19,43,19,19,6,12,working,Married
No,White,7,39,32,44,25,1,17,working,Single
Yes,White,8,24,24,62,29,3,12,working,Married
Yes,White,6,39,34,51,25,6,12,working,Broken
Yes,White,7,18,37,44,29,2,14,not working,Married
Yes,White,7,28,41,45,20,2,12,not working,Married
No,White,6,39,37,62.266511203092,25,5,16,not working,Broken
Yes,White,6,29,26,65,31,5,12,not working,Married
Yes,White,6,26,29,84,33,8,16,working,Married
Yes,White,7,22,39,36,24,2,13,not working,Married
Yes,White,6,30,32,87,26,7,14,working,Married
No,White,6,25,33,75,20,3,11,not working,Broken
Yes,White,6,16,39,66,17,6,12,working,Married
Yes,White,5,35,34,51,25,4,15,working,Broken
Yes,White,9,16,23,62,24,6,16,working,Married
No,White,8,20,25,11,27,1,15,working,Single
Yes,White,8,30,33,74,25,3,13,not working,Broken
Yes,White,7,39,35,44,28,8,12,working,Broken
Yes,White,5,13,21,62,29,3,13,working,Married
Yes,White,8,20,27,62,27,6,15,not working,Married
Yes,White,8,22,37,74,24,2,12,not working,Married
Yes,White,8,21,32,36,23,5,12,not working,Married
Yes,White,5,16,32,87,19,3,12,not working,Married
Yes,White,7,17,43,62,23,4,12,working,Married
No,White,5,17,25,84,24,7,14,not working,Married
Yes,White,6,12,40,62,21,8,17,not working,Married
Yes,White,6,20,34,87,22,4,15,not working,Married
Yes,White,6,17,38,65,21,5,13,not working,Married
Yes,White,6,25,35,61,30,4,12,not working,Married
Yes,White,5,12,22,92,32,4,24,working,Married
Yes,White,5,25,31,62,21,3,17,working,Married
No,White,7,39,30,85,19,2,18,not working,Single
Yes,White,6,15,31,70,24,6,12,not working,Married
Yes,White,8,28,29,65,28,7,15,not working,Married
Yes,White,9,44,44,62,28,7,10,not working,Broken
Yes,White,9,35,27,13,29,2,13,not working,Married
No,White,5,13,24,62,29,2,13,working,Married
Yes,White,6,30,35,71,23,7,18,working,Broken
Yes,White,7,16,29,26,26,4,12,working,Married
Yes,White,6,21,25,62,22,4,20,working,Married
No,Non-white,9,44,32,45,27.9007039441715,1,13,working,Single
Yes,Non-white,7,23,46,7,25,1,12,not working,Married
Yes,Non-white,7,22,36,77,19,4,12,not working,Married
Yes,White,6,16,37,74,22,7,13,working,Married
Yes,White,8,20,43,87,18,6,13,not working,Married
Yes,Non-white,6,12,43,15,25,2,10,not working,Married
Yes,White,6,19,37,44,23,6,12,working,Married
Yes,Non-white,8,19,38,19,19,6,12,working,Married
No,White,5,20,41,62,2,1,15,working,Single
Yes,White,6,28,34,7,26,3,12,working,Married
Yes,White,7,23,26,40,24,6,15,working,Married
No,White,5,25,31,17,30,3,12,working,Married
No,White,6,25,27,60.1966879740255,30,2,16,working,Married
Yes,White,6,17,38,85,22,8,17,working,Married
Yes,White,8,42,36,33,26,4,12,working,Married
No,White,7,21,22,65,30,2,16,working,Married
Yes,White,7,28,39,62,25,7,12,not working,Married
Yes,White,8,24,35,35,24,3,12,working,Married
Yes,White,6,26,35,87,23,7,12,not working,Married
Yes,White,5,14,36,27,18,6,13,working,Married
Yes,White,5,21,27,92,23,3,12,not working,Married
Yes,White,7,23,27,35,34,3,12,working,Married
Yes,White,7,22,33,62,23,4,11,not working,Married
Yes,Non-white,7,18,45,18,13,4,13,working,Married
No,White,7,19,36,39,27,8,12,not working,Married
Yes,White,5,26,23,87,21,4,12,working,Married
No,White,8,58,29,62,28,2,16,not working,Single
Yes,White,7,26.2951820089484,29,61,28,6,12,working,Broken
No,White,6,35,30,44,20,1,12,working,Broken
Yes,White,5,17,45,92,21,7,14,not working,Married
Yes,White,7,30,44,16,25,8,11,working,Broken
No,White,7,25,41,55,27,1,12,working,Broken
Yes,White,7,14,41,11,23,7,12,not working,Married
Yes,White,7,20,30,17,25,5,15,working,Broken
Yes,White,7,23,29,49,22,2,12,working,Married
Yes,White,6,20,32,22,24,3,13,not working,Broken
Yes,Non-white,5,16,35,62,15,6,11,working,Married
No,White,6,30,23,60,33,3,20,working,Broken
No,White,9,12,25,13,24,1,13,working,Married
No,Non-white,7,25,23,61,29,2,16,working,Single
Yes,White,5,42,35,44,21,5,12,working,Married
Yes,White,8,23,35,49,26,4,14,not working,Married
No,White,6,35,27,62,29,4,19,working,Single
Yes,White,7,20,30,62,21,6,14,working,Married
Yes,White,6,16,49,92,21,6,18,not working,Married
Yes,White,7,39,35,77,18,7,14,working,Broken
No,White,6,20,42,44,2,1,14,working,Single
Yes,White,7,25.2166161630096,31,57.4666085507127,28,4,15,not working,Broken
Yes,White,7,14,35,44,20,7,14,not working,Married
Yes,White,8,33,27,87,27,3,13,not working,Married
Yes,White,6.66401267130149,18,40,62,23,4,13,not working,Married
Yes,White,8,20,28,39,27,3,13,not working,Married
Yes,Non-white,8,28,32,62,27,4,14,not working,Married
Yes,White,8,16,33,62,25,1,12,not working,Married
Yes,White,6,30,33,74,22,7,14,working,Married
Yes,White,6,23,37,61,29,4,12,not working,Married
Yes,White,6,12,41,62,23,8,16,not working,Married
No,White,8,16,43,62,14,1,12,not working,Married
No,White,8,35,35,62,28,8,12,working,Broken
Yes,White,7,24,24,77,29,3,14,working,Married
Yes,White,5,39,36,62,27,4,14,working,Broken
Yes,White,5,35,32,61.9112700085682,23,8,13,not working,Broken
Yes,White,9,17,40,62,23,3,14,working,Married
Yes,White,7,22,34,43,20,3,13,not working,Married
No,White,7,22.2103613697729,21,7,24,2,18,working,Broken
Yes,White,7,22,38,61,26,4,14,working,Married
No,White,6,14,24,92,23,2,17,not working,Married
Yes,White,5,25,28,40,25,3,14,not working,Broken
Yes,White,7,26,31,49,28,4,12,working,Married
Yes,White,6,12,43,74,16,6,12,working,Married
No,White,7,20,18,39,29,1,15,working,Single
Yes,White,6,39,39,61,25,8,11,not working,Broken
Yes,White,8,14,32,66,22,6,14,working,Married
Yes,White,8,33,22,77,29,4,14,working,Married
Yes,White,7,23,26,40,23,8,18,working,Married
Yes,Non-white,8,21,44,32,26,2,6,working,Married
Yes,Non-white,8,21,37,49,19,2,9,working,Married
No,White,5,20,40,65,27,2,13,working,Broken
Yes,Non-white,8,20,33,25,21,5,16,working,Married
No,White,6,17,42,19,18,1,12,working,Married
Yes,White,6,11,31,34,19,7,12,not working,Married
Yes,Non-white,8,13,42,62,23,1,11,working,Married
Yes,Non-white,7,11,38,61,19,7,12,working,Broken
Yes,White,5,16,41,62,21,7,12,not working,Married
Yes,White,7,17,46,15,23,1,12,not working,Married
Yes,White,7,21,33,65,28,2,13,working,Married
Yes,White,5,24,33,15,24,2,11,not working,Married
Yes,White,6,15,25,65,27,2,12,working,Married
Yes,White,10,35,40,29.7116632117688,27,3,9,not working,Broken
No,White,8,25,28,44,25,1,12,working,Broken
Yes,White,7,44,34,17,29,4,12,not working,Broken
Yes,White,7,17,44,48,19,6,11,not working,Married
Yes,White,7,15,33,34,27,7,12,not working,Married
Yes,White,5,20,27,16,31,5,12,working,Broken
No,White,6,18,41,62,18,5,14,working,Married
Yes,White,5,35,41,74,23,7,14,working,Broken
Yes,White,8,44,21,84,32,7,19,working,Broken
Yes,White,6,35,39,44,20,6,12,working,Broken
Yes,White,7,18,38,60,21,2,12,working,Married
Yes,White,6,18,40,27,25,3,14,not working,Married
Yes,White,5,13,30,75,21,1,14,not working,Married
Yes,White,8,27,33,62,22,2,12,not working,Married
No,White,6,22,31,44,29,1,12,working,Married
No,White,6,30,30,75,23,1,16,working,Single
No,White,5,14,39,78,20,3,12,working,Married
Yes,White,5,24,32,80,21,5,14,not working,Married
Yes,White,6,18,35,77,26,4,16,working,Married
Yes,White,6,18,32,90,21,7,18,working,Married
Yes,White,8,19,27,62,24,3,18,working,Married
Yes,White,6,24,40,65,26,1,13,not working,Married
Yes,White,6,15,28,87,30,5,13,working,Married
No,White,7,16,42,39,18,6,17,working,Married
Yes,White,6,17,32,62,22,7,12,not working,Married
Yes,White,7,21,40,62,25,8,13,not working,Married
Yes,White,7,16,33,35,21,3,12,not working,Married
Yes,White,5,13,35,42,19,6,12,not working,Married
Yes,White,6,16,30,53,23,4,12,not working,Married
Yes,White,6,12,36,84,22,4,15,not working,Married
Yes,White,6,24,35,22,21,6,13,working,Married
Yes,White,5,28,45,65,22,6,9,not working,Married
Yes,White,8,38,27,44,24,1,12,working,Married
No,White,7,12,38,87,18,8,14,working,Married
Yes,White,8,15,39,33,18,7,12,working,Married
Yes,White,7,24,43,13,24,7,12,not working,Married
Yes,White,6,44,20,60,25,3,12,not working,Broken
Yes,White,7,14,41,62,19,7,14,working,Married
Yes,White,9,16,36,62,27,6,12,working,Married
Yes,White,9,28,30,87,29,7,14,working,Married
Yes,White,9,33,32,87,22,7,13,not working,Married
Yes,White,6,17,33,66,25,4,14,not working,Married
Yes,White,6,29,26,92,27,2,17,not working,Married
Yes,Non-white,5,30,34,74,26,2,14,working,Broken
Yes,White,6,18,40,72,28,6,17,working,Married
No,White,9,17,45,84,19,8,14,not working,Married
Yes,White,6,35,35,11,23,7,16,working,Broken
Yes,White,6,13,28,8,33,6,13,working,Married
No,White,6,53,40,44,24,1,14,not working,Single
Yes,White,8,28,35,18,28,8,12,working,Married
Yes,White,6,23,35,15,28,1,12,not working,Married
Yes,White,6,12,28,15,24,3,11,not working,Married
Yes,White,6,17,45,19,21,6,12,not working,Married
Yes,White,8,27,39,22,31,6,14,not working,Married
Yes,White,6,15,50,40,23,4,12,working,Married
No,White,6,21,38,62,26,1,12,not working,Married
Yes,White,7,44,43,80,26,4,12,not working,Married
Yes,Non-white,9,25,42,19,26,6,12,working,Married
Yes,White,7,18,40,62,24,4,13,not working,Married
No,White,5,12,36,84,18,5,14,not working,Married
Yes,White,8,25,31,51,21,7,13,working,Broken
Yes,White,7,16,35,62,19,3,13,working,Married
No,White,9,20,32,52,17,2,17,working,Broken
No,White,7,22,26,87,24,2,15,working,Married
No,White,7,16,35,40,24,1,13,working,Broken
Yes,White,8,30,27,17,31,1,13,not working,Broken
No,White,7,17,36,40,19,1,12,not working,Married
Yes,White,7,13,26,92,28,3,12,not working,Married
Yes,White,9,23,36,87,23,7,13,not working,Married
Yes,White,6,23,31,52,26,5,16,working,Married
No,White,8,30,29,62,26,2,13,working,Single
Yes,White,6,23,27,52,18,5,16,working,Married
Yes,White,5,20,41,62,16,7,12,not working,Married
Yes,White,7,17,35,92,29,3,14,not working,Married
Yes,White,6,14,32,11,14,4,14,not working,Married
Yes,White,8,18,42,49,23,7,12,not working,Married
No,White,9,36,36,62,29,3,12,not working,Married
Yes,White,7,19,45,53,19,4,13,working,Married
Yes,White,9,15,43,66,22,4,12,not working,Married
Yes,White,5,14,41,48,20,5,13,not working,Married
Yes,White,6,49,41,16,22,7,11,working,Broken
Yes,White,5,16,32,81,21,4,16,not working,Married
Yes,White,10,18,46,62,23,4,12,not working,Married
Yes,White,7,30,26,92,26,4,13,not working,Married
Yes,White,6,20,31,16,18,2,12,working,Broken
Yes,White,6,21,38,28,18,5,12,not working,Married
Yes,White,7,33,33,80,28,3,13,not working,Married
Yes,White,6,24,34,41,31,3,13,working,Married
Yes,White,6,13,27,74,22,5,15,working,Married
Yes,White,7,15,28,62,28,3,16,not working,Married
Yes,White,7,44,37,74,20,5,12,working,Broken
No,White,7,25,44,39,20,1,14,not working,Single
Yes,Non-white,7,29,38,8,26,1,12,not working,Married
Yes,White,6,13,28,62,27,6,14,working,Married
Yes,Non-white,6,20,42,13,11,2,4,not working,Married
No,White,10,32,24,17,26,1,12,working,Married
Yes,White,6,16,36,52,27,7,12,working,Married
Yes,White,6,11,38,13,16,7,11,working,Married
Yes,White,7,21,46,37,12,6,14,working,Married
Yes,White,8,14,36,66,20,6,14,not working,Married
No,White,6,35,36,19,19,7,12,working,Broken
Yes,White,7,27,26,16,26,2,14,not working,Married
Yes,White,7,11,42,49,20,7,13,working,Married
No,White,6,25,27,62,22,2,14,working,Broken
Yes,White,7,24,31,55,30,3,12,working,Married
Yes,White,7,18,35,80,25,5,12,working,Married
Yes,White,7,39,33,62,23,5,13,working,Broken
No,White,5,35,35,60.7541517200078,22,8,13,not working,Broken
Yes,White,6,40,34,27,24,6,14,working,Married
No,White,5,30,34,62,23,6,17,working,Single
No,White,5,30,39,66,27,1,13,working,Married
Yes,White,6,16,38,60,28,5,16,not working,Married
Yes,White,9,25,35,84,24,7,12,not working,Married
Yes,White,6,27,40,41,17,8,12,working,Married
Yes,White,9,26,43,27,22,5,10,not working,Married
Yes,White,6,20,29,87,23,3,17,not working,Married
Yes,White,8,20,29,70.4173780606088,16,8,16,working,Married
No,White,7,14,39,90,18,7,13,not working,Married
Yes,White,7,20,37,19,21,3,12,not working,Married
Yes,White,5,22,36,80,19,7,14,not working,Married
Yes,White,5,14,36,58,17,6,12,working,Married
Yes,White,5,20,42,80,17,7,12,not working,Married
Yes,White,7,12,41,87,19,7,14,not working,Married
No,White,6,20,35,65,23,7,12,not working,Married
Yes,White,6,19,45,52,18,6,12,not working,Married
